time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0033,-0.61,-0.37,-0.72
4.0233,-0.44,-0.4428,-0.5145
4.0433,-0.456,-0.454,-0.294
4.0633,-0.59,0.0173,-0.1382
4.0833,-0.5379,0.6264,-0.0579
4.1033,-0.4937,0.8089,-0.04
4.1233,-0.1746,1.0346,-0.08
4.1433,-0.1707,0.6785,-0.2107
4.1633,-0.4677,0.4611,-0.3989
4.1833,-0.8456,0.1916,-0.6656
4.2033,-1.06,-0.2911,-0.907
4.2233,-0.9042,-0.57,-0.9471
4.2433,-0.5671,-0.3171,-0.7271
4.2633,-0.1364,0.059,-0.381
4.2833,0.3073,0.1105,-0.1511
4.3033,1.2331,-0.4188,0.3244
4.3233,1.36,-0.4704,0.6288
4.3433,1.572,-0.604,1.052
4.3633,2.1683,-0.6059,1.3741
4.3833,2.5274,-0.0928,1.6774
4.4033,2.4639,0.4192,1.7469
4.4233,1.7451,0.6263,1.8637
4.4433,1.1663,0.6168,1.98
4.4633,0.7321,0.4734,1.8107
4.4833,0.3117,-0.0604,1.75
4.5033,0.7119,-0.8044,1.8944
4.5233,1.9047,-1.5947,2.12
4.5433,2.45,-2.2874,1.8226
4.5633,1.7726,-2.4079,1.63
4.5833,0.7775,-1.6163,1.7806
4.6033,0.5882,-1.0918,1.8
4.6233,1.1196,-1.2298,1.6002
4.6433,1.7042,-1.4,1.3205
4.6633,1.7752,-1.0852,1.0252
4.6833,1.1084,-0.9543,0.7414
4.7033,0.4386,-1.1006,0.4294
4.7233,-0.2039,-1.2091,0.08
4.7433,-0.3587,-0.1801,0.19
4.7633,-0.6918,0.6639,0.1121
4.7833,-1.4019,0.3289,-0.5426
4.8033,-2.1663,0.1863,-1.5527
4.8233,-2.1573,0.8464,-1.9327
4.8433,-1.739,1.6033,-2.2133
4.8633,-2.0771,2.117,-2.4115
4.8833,-2.52,3.7867,-1.6247
4.9033,-2.2304,4.1768,-0.7406
4.9233,-0.4603,3.7003,-0.2497
4.9433,-0.4119,1.677,-1.0837
4.9633,-0.6101,-0.2907,-1.4801
4.9833,-0.62,-1.0701,-1.7101
5.0033,-0.4848,-1.3052,-1.9
5.0233,-0.4324,-0.8703,-1.7427
5.0433,-0.7213,0.0226,-1.3525
5.0633,-1.1245,0.58,-1.0928
5.0833,-1.25,0.3884,-0.9584
5.1033,-1.1496,0.2196,-0.8096
5.1233,-0.9197,0.22,-0.5597
5.1433,-0.6149,0.0849,-0.33
5.1633,-0.4,-0.28,-0.2628
5.1833,-0.32,-0.1385,-0.34
5.2033,-0.293,-0.103,-0.357
5.2233,-0.07,-0.0348,-0.34
5.2433,-0.2238,0.3869,-0.4369
5.2633,-0.42,0.5784,-0.3516
5.2833,-0.38,0.6522,-0.2078
5.3033,-0.32,0.6862,-0.17
5.3233,-0.31,0.631,-0.16
5.3433,-0.5954,-0.0654,-0.2354
5.3633,-0.73,-0.15,-0.4037
5.3833,-0.65,-0.13,-0.5675
5.4033,-0.6,-0.2,-0.642
5.4233,-0.57,-0.2411,-0.66
5.4433,-0.449,-0.0381,-0.3681
5.4633,-0.1047,0.3618,-0.0382
5.4833,0.5619,0.2729,0.1524
5.5033,1.0964,-0.0643,0.2721
5.5233,1.4226,-0.22,0.4978
5.5433,1.8975,-0.17,0.9856
5.5633,2.3341,-0.073,1.4611
5.5833,2.0899,-0.33,1.76
5.6033,1.7442,-0.1312,2.0358
5.6233,1.2988,0.6268,2.22
5.6433,0.9169,1.3874,1.9969
5.6633,0.4853,1.4006,1.77
5.6833,0.108,-0.056,1.866
5.7033,0.6114,-1.6509,2.01
5.7233,0.6601,-1.7401,2.01
5.7433,1.9231,-2.6106,1.4969
5.7633,1.7302,-1.967,1.44
5.7833,1.3406,-1.1828,1.6394
5.8033,1.19,-0.6542,1.78
5.8233,1.19,-0.45,1.7352
5.8433,1.3278,-1.0078,1.3645
5.8633,1.1521,-0.8921,1.0621
5.8833,0.7283,-0.8106,0.7594
5.9033,0.4379,-1.0021,0.4859
5.9233,0.2664,-1.0364,0.27
5.9433,-0.0372,0.0717,0.35
5.9633,-0.505,0.73,0.2267
5.9833,-1.1673,0.2841,-0.4688
6.0033,-1.8846,-0.0285,-1.2576
6.0233,-1.9094,-0.0202,-1.2989
6.0433,-1.4476,1.4899,-2.135
6.0633,-1.4537,1.1663,-2.4775
6.0833,-2.5933,2.3397,-2.4635
6.1033,-2.0725,3.1339,-1.4686
6.1233,-1.7331,3.2616,-1.0742
6.1433,-0.4,3.6774,-0.7871
6.1633,-0.5853,1.6009,-1.3506
6.1833,-0.4949,-0.5062,-1.48
6.2033,-0.2,-1.7703,-1.66
6.2233,-0.2376,-2.2888,-1.6512
6.2433,-0.5639,-1.5369,-1.3274
6.2633,-1.0488,0.092,-0.9912
6.2833,-1.2,0.3354,-0.83
6.3033,-1.0569,0.5246,-0.6585
6.3233,-0.9437,0.6331,-0.5769
6.3433,-0.4172,0.0558,-0.47
6.3633,-0.27,-0.4074,-0.5142
6.3833,-0.31,-0.6323,-0.46
6.4033,-0.3782,-0.2864,-0.4818
6.4233,-0.3654,-0.1109,-0.53
6.4433,-0.3429,0.7488,-0.53
6.4633,-0.41,1.0728,-0.5072
6.4833,-0.4272,1.0028,-0.3356
6.5033,-0.49,0.7338,-0.21
6.5233,-0.45,0.4,-0.1594
6.5433,-0.4549,0.3451,-0.17
6.5633,-0.5903,0.2298,-0.2302
6.5833,-0.7927,0.0973,-0.3727
6.6033,-0.91,0.0091,-0.5309
6.6233,-0.91,0.0016,-0.5384
6.6433,-0.4775,0.0451,-0.6075
6.6633,-0.2355,0.459,-0.351
6.6833,0.0976,0.5241,-0.1241
6.7033,0.5151,0.3783,-0.08
6.7233,0.7539,0.2387,-0.09
6.7433,1.3983,-0.4624,0.3324
6.7633,1.6777,-0.7988,0.8065
6.7833,1.78,-0.8523,1.1569
6.8033,1.8,-0.9725,1.645
6.8233,1.6929,-1.4441,1.72
6.8433,1.5562,-1.53,1.73
6.8633,1.4232,-1.1961,1.74
6.8833,1.1841,0.0732,1.6247
6.9033,0.5943,1.2035,1.62
6.9233,0.4273,1.8761,2.0517
6.9433,1.5464,0.2436,2.1809
6.9633,1.6439,-1.6868,1.7616
6.9833,1.1978,-1.7085,1.46
7.0033,0.8885,-1.1223,1.6231
7.0233,1.0191,-0.4318,2.0691
7.0433,1.2564,-0.6557,2.0636
7.0633,1.31,-1.3962,1.7054
7.0833,1.2333,-1.8067,1.2298
7.1033,1.106,-1.632,0.842
7.1233,0.8212,-1.3106,0.5212
7.1433,0.5246,-1.0746,0.38
7.1633,0.2243,-0.5208,0.4
7.1833,-0.139,0.149,0.347
7.2033,-0.4763,0.3468,0.1205
7.2233,-0.8636,-0.1136,-0.4654
7.2433,-1.3086,-0.0709,-0.9986
7.2633,-1.6392,0.4853,-1.5877
7.2833,-1.4443,1.2672,-2.0886
7.3033,-1.0458,1.3629,-2.18
7.3233,-2.5293,1.3974,-2.2937
7.3433,-2.3119,2.7762,-1.7519
7.3633,-1.226,3.5592,-0.7524
7.3833,-0.22,3.8945,-0.3093
7.4033,-0.4622,3.0349,-1.0343
7.4233,-0.7,0.1408,-1.4752
7.4433,-0.414,-1.6961,-1.668
7.4633,-0.24,-2.377,-1.76
7.4833,-0.4638,-2.247,-1.5208
7.5033,-0.889,-1.0138,-1.2473
7.5233,-1.1073,-0.167,-1.1163
7.5433,-1.34,0.58,-0.9012
7.5633,-1.2899,0.53,-0.86
7.5833,-1.0907,0.4407,-0.7407
7.6033,-0.7699,-0.2003,-0.6399
7.6233,-0.5046,-0.8008,-0.58
7.6433,-0.306,-0.76,-0.55
7.6633,-0.0825,-0.4376,-0.5225
7.6833,-0.107,-0.1289,-0.266
7.7033,-0.5103,0.3705,-0.1902
7.7233,-0.6013,0.584,-0.21
7.7433,-0.5916,1.0516,-0.17
7.7633,-0.48,0.777,-0.15
7.7833,-0.4861,0.3717,-0.2361
7.8033,-0.53,0.0073,-0.3927
7.8233,-0.53,-0.1057,-0.4813
7.8433,-0.5422,-0.48,-0.68
7.8633,-0.7069,-0.2862,-0.72
7.8833,-0.7071,-0.1171,-0.5971
7.9033,-0.5497,-0.07,-0.4197
7.9233,-0.2834,0.02,-0.2323
7.9433,0.7387,-0.1743,0.07
7.9633,1.2081,-0.1119,0.1741
7.9833,1.5217,0.1917,0.5426
8.0033,2.0381,0.33,0.9581
8.0233,2.4533,0.38,1.3633
8.0433,2.3973,0.1273,1.77
8.0633,1.7376,-0.38,1.8312
8.0833,1.2796,-0.34,2.0704
8.1033,0.99,-0.0551,2.058
8.1233,0.9821,0.0215,2.0243
8.1433,0.2746,0.2973,1.8527
8.1633,1.0572,0.373,2.0834
8.1833,1.861,-1.5953,1.979
8.2033,1.5967,-3.0811,1.7244
8.2233,1.4843,-3.1779,1.6743
8.2433,0.9451,-0.8092,2.0802
8.2633,1.195,-0.15,2.1275
8.2833,1.4564,-0.5657,1.8472
8.3033,1.4141,-1.2917,1.4112
8.3233,1.2356,-1.5496,1.1356
8.3433,0.7087,-1.61,0.5774
8.3633,0.4655,-1.63,0.3355
8.3833,0.2044,-1.3088,0.2328
8.4033,-0.1357,-0.3501,0.32
8.4233,-0.6017,0.7117,0.2122
8.4433,-1.1534,0.5766,-0.3992
8.4633,-1.8896,0.2978,-1.1717
8.4833,-2.2111,1.162,-1.6389
8.5033,-1.6939,1.878,-1.734
8.5233,-1.265,2.015,-1.95
8.5433,-2.144,2.0321,-2.3339
8.5633,-1.6127,2.7843,-0.8584
8.5833,-1.2693,2.8388,-0.4893
8.6033,-0.5341,3.4941,-0.6965
8.6233,-0.7449,1.9066,-1.2897
8.6433,-0.6438,0.3752,-1.5462
8.6633,-0.3447,-0.4407,-1.8153
8.6833,-0.0699,-0.8499,-1.7799
8.7033,-0.2332,-0.5052,-1.3868
8.7233,-0.4719,-0.1381,-1.27
8.7433,-0.9456,0.0189,-1.22
