time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0039,-1.0874,-2.2853,-4.489,5.153
4.0239,-0.8321,-1.6706,-5.207,5.5389
4.0439,0.995,-0.9045,-4.065,4.2818
4.0639,1.3665,-0.7882,-2.7661,3.1875
4.0839,-0.0469,-0.1906,0.8172,0.8503
4.1039,1.8046,-2.1911,0.5983,2.9047
4.1239,3.2166,-1.9206,0.1521,3.7589
4.1439,3.0117,-0.2243,-3.438,4.5848
4.1639,3.07,0.4431,-5.6486,6.4444
4.1839,3.247,1.8757,-5.6463,6.7807
4.2039,3.4315,3.1163,-4.309,6.3338
4.2239,2.824,3.9437,-4.0096,6.294
4.2439,2.7261,3.8204,-3.8499,6.0707
4.2639,3.4483,3.5228,-3.7962,6.2218
4.2839,3.8425,3.3203,-4.6876,6.9119
4.3039,3.3668,4.5703,-4.9969,7.5642
4.3239,2.8538,5.1027,-3.2187,6.6751
4.3439,0.6416,3.7713,-0.3985,3.8608
4.3639,-0.1516,2.9298,3.5142,4.5891
4.3839,-3.1263,1.6608,-2.9732,4.7636
4.4039,2.7571,-1.2765,-6.0833,6.9935
4.4239,8.5799,-10.6881,1.3761,13.8237
4.4439,3.4962,-14.4295,-1.9286,15.0029
4.4639,-1.9648,-7.941,-3.3444,8.8677
4.4839,-3.2137,-3.4732,-1.1958,4.8831
4.5039,-1.9122,-2.0616,0.4401,2.8492
4.5239,-0.7778,0.6897,0.0169,1.0781
4.5439,0.4721,0.7838,-1.2185,1.5402
4.5639,0.9399,-0.9517,-2.612,2.9384
4.5839,0.1519,-1.513,-2.5551,2.9761
4.6039,-0.9287,-1.0718,-1.1876,1.8607
4.6239,-1.2194,0.0532,-0.0781,1.2259
4.6439,-1.1402,0.8524,-0.098,1.4299
4.6639,-1.0315,1.6506,-0.0087,1.9481
4.6839,-0.2744,2.155,0.7149,2.29
4.7039,0.3859,2.1251,1.0284,2.3922
4.7239,0.65,2.2688,1.075,2.5935
4.7439,0.3673,2.5274,1.4289,2.9287
