time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0029,0.51,-0.72,0.66
4.0229,0.5199,-0.3699,0.4099
4.0429,0.3535,-0.2235,0.3035
4.0629,0.1823,-0.0823,0.1623
4.0829,0.0727,0.0,-0.0073
4.1029,0.03,-0.46,-0.245
4.1229,0.0265,-0.9971,-0.4235
4.1429,-0.03,-1.1359,-0.55
4.1629,-0.11,-0.9769,-0.5469
4.1829,-0.2118,-0.6665,-0.49
4.2029,-0.3565,-0.1106,-0.5
4.2229,-0.4843,0.553,-0.57
4.2429,-0.53,0.9595,-0.61
4.2629,-0.5559,1.0441,-0.63
4.2829,-0.61,0.8589,-0.6255
4.3029,-0.72,0.5859,-0.6341
4.3229,-0.87,0.39,-0.69
4.3429,-0.85,0.2569,-0.6835
4.3629,-0.6714,-0.0173,-0.4727
4.3829,-0.57,-0.16,-0.2079
4.4029,-0.5943,-0.18,0.1786
4.4229,-0.72,0.0809,0.36
4.4429,-0.5653,0.5795,0.2526
4.4629,-0.1834,1.0166,0.1123
4.4829,0.0561,1.0139,-0.0481
4.5029,0.2042,-0.5503,-0.29
4.5229,-0.1558,-1.1242,-0.22
4.5429,0.1266,-0.3234,-0.24
4.5629,0.5608,0.0108,-0.0292
4.5829,0.09,0.8443,-0.11
4.6029,-0.6565,1.3096,0.1769
4.6229,-0.184,0.5275,0.2
4.6429,0.16,-0.1507,0.05
4.6629,0.0243,-0.4413,0.06
4.6829,-0.05,-0.7885,-0.0343
4.7029,-0.2508,-1.02,-0.1404
4.7229,-0.7245,-0.7955,-0.1985
4.7429,-1.0928,-0.2216,-0.1472
4.7629,-1.0729,0.1983,-0.1
4.7829,-0.89,0.6798,-0.1002
4.8029,-0.7117,0.7135,-0.04
4.8229,-0.5476,0.3329,0.01
4.8429,-0.369,-0.2415,0.1105
4.8629,-0.2322,-0.5478,0.25
4.8829,0.017,-0.637,0.397
4.9029,0.2722,-0.8222,0.45
4.9229,0.4718,-0.96,0.2982
4.9429,0.5726,-0.9174,0.0974
4.9629,0.54,-0.5939,-0.052
4.9829,0.5,-0.1169,-0.07
5.0029,0.52,0.02,-0.02
5.0229,0.496,0.1019,0.0
5.0429,0.55,0.33,-0.02
5.0629,0.6669,0.2761,-0.05
5.0829,0.6169,0.01,0.06
5.1029,0.4611,-0.1279,0.0111
5.1229,0.3255,-0.2955,-0.07
5.1429,0.1848,0.5219,0.1556
5.1629,0.4128,2.3399,0.6328
5.1829,0.932,3.11,0.8473
5.2029,1.6239,1.3066,0.8331
5.2229,1.4607,-0.6267,0.8593
5.2429,1.3267,-1.0933,0.9067
5.2629,1.0924,-1.2,0.8041
5.2829,0.797,-1.1934,0.75
5.3029,0.1627,-0.096,0.8127
5.3229,0.3538,0.8362,0.9362
5.3429,0.3434,-0.1698,0.6867
5.3629,0.2463,-1.0649,0.5263
5.3829,0.21,-1.19,0.4321
5.4029,0.2675,-0.835,0.24
5.4229,0.36,-0.6684,0.1284
5.4429,0.2298,-0.59,-0.0502
5.4629,-0.0159,-0.46,-0.2729
5.4829,-0.14,-0.2726,-0.3937
5.5029,-0.2,0.0716,-0.5016
5.5229,-0.2967,0.25,-0.6167
5.5429,-0.4507,0.3707,-0.7513
5.5629,-0.6119,0.5338,-0.8919
5.5829,-0.68,0.7477,-0.97
5.6029,-0.69,1.08,-1.0
5.6229,-0.66,0.8421,-0.85
5.6429,-0.7533,0.4667,-0.8733
5.6629,-1.0135,0.627,-1.0135
5.6829,-1.06,0.6505,-1.0052
5.7029,-0.98,-0.5384,-0.4477
5.7229,-0.8823,-1.2254,0.0454
5.7429,-0.643,-1.183,0.2985
5.7629,-0.52,-0.4694,0.2899
5.7829,-0.608,0.2157,0.25
5.8029,-0.7553,1.1994,0.1453
5.8229,-0.5756,1.0923,0.03
5.8429,-0.2284,0.4542,-0.1358
5.8629,0.2461,0.1079,-0.5061
