time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0032,1.9043,-3.7352,-3.1655,5.253
4.0232,0.5357,-1.6714,-2.2891,2.8883
4.0432,-1.1918,-1.9768,-0.0554,2.32
4.0632,-0.3629,-2.2254,1.1891,2.5553
4.0832,1.2396,-2.6075,0.7026,2.9818
4.1032,2.27,-3.8795,-1.3276,4.6924
4.1232,2.0965,-3.6837,-2.5969,4.9736
4.1432,-0.2809,-1.2441,-2.1754,2.5271
4.1632,-2.0036,0.8697,-0.9462,2.3875
4.1832,-3.0059,1.9269,0.0868,3.5715
4.2032,-2.949,0.2813,-0.1646,3.0007
4.2232,-2.377,-2.7673,-0.4863,3.6809
4.2432,-1.4224,-1.2894,-0.1655,1.9309
4.2632,0.2835,0.3115,0.4008,0.6004
4.2832,1.7289,0.8444,0.5127,1.9916
4.3032,2.2623,1.0122,-0.1929,2.4864
4.3232,1.8186,0.652,-0.5366,2.0055
4.3432,0.565,-0.2227,-0.2034,0.6525
4.3632,-1.7862,-0.2678,0.6317,1.9159
4.3832,-3.5083,0.6176,1.4754,3.857
4.4032,-4.3409,1.1197,2.4998,5.1331
4.4232,-4.8402,1.1927,3.5779,6.1361
4.4432,-3.8909,1.2614,3.5497,5.4167
4.4632,-1.3141,1.1094,2.4204,2.9712
4.4832,0.6458,1.1316,1.8393,2.2569
4.5032,2.3116,1.1088,1.327,2.8912
4.5232,3.0869,1.2087,0.3125,3.3325
4.5432,2.8081,2.3214,-0.8937,3.7565
4.5632,1.8989,2.7711,-1.5489,3.701
4.5832,1.0216,2.3638,-2.0371,3.2852
4.6032,-0.1148,1.8143,-2.2158,2.8687
4.6232,-1.032,0.6605,-2.2013,2.5273
4.6432,-1.9505,-0.9388,-1.2412,2.5008
4.6632,-2.6443,-1.9906,0.3923,3.3374
4.6832,-2.1574,-2.6725,2.9098,4.5057
4.7032,-0.7585,-3.5504,3.4285,4.9967
4.7232,-1.4743,-3.7184,1.7288,4.365
4.7432,-3.0432,-4.2801,0.5637,5.282
4.7632,-3.1563,-5.1885,1.53,6.264
4.7832,-1.2791,-5.6862,1.3786,5.9898
4.8032,0.8395,-4.3476,-0.1465,4.4321
4.8232,2.9033,-3.1969,-1.9721,4.7516
4.8432,3.6648,-2.5994,-3.2445,5.5427
4.8632,2.4603,-1.5914,-1.7831,3.4313
4.8832,0.5886,-1.228,-1.0653,1.7374
4.9032,-0.4488,-1.347,-0.7284,1.5975
4.9232,0.1389,-0.3424,-0.5974,0.704
4.9432,1.1209,0.6196,-1.0388,1.6499
4.9632,1.8481,1.1933,-1.4282,2.6228
4.9832,2.2358,1.6284,-2.1525,3.5049
5.0032,2.8124,2.0376,-2.4904,4.2738
5.0232,3.0477,2.3017,-2.7768,4.7222
5.0432,3.0882,2.4355,-2.8922,4.8819
5.0632,2.7324,2.531,-2.4754,4.4724
5.0832,2.4537,2.3549,-1.8681,3.8805
5.1032,2.5065,2.18,-1.7189,3.7407
5.1232,2.271,2.0521,-1.8011,3.5517
5.1432,1.4524,2.0923,-1.6995,3.063
5.1632,0.3334,2.0712,-1.4497,2.5536
5.1832,-1.1278,1.4982,-1.1032,2.1914
5.2032,-2.9906,0.272,-0.7523,3.1029
5.2232,-4.829,-0.5098,1.1433,4.9904
5.2432,-6.1526,0.1215,3.8037,7.236
5.2632,-5.5907,1.5501,4.0019,7.0496
5.2832,-3.0366,1.7724,1.8811,3.9907
5.3032,-0.8739,1.6769,0.3261,1.9296
5.3232,0.527,1.851,-0.2721,1.9483
5.3432,1.8097,1.1211,0.156,2.1514
5.3632,2.2663,-1.5874,1.7949,3.3084
5.3832,2.1293,-4.5997,1.8629,5.4021
5.4032,2.6894,-6.3401,1.4114,7.0313
5.4232,2.8647,-5.1886,0.103,5.9337
5.4432,0.7532,-1.1695,-1.5545,2.1096
5.4632,-1.6582,-0.4057,-1.7795,2.4695
5.4832,-2.2327,-1.3498,-1.93,3.2494
5.5032,-1.751,-3.2712,-1.4588,3.9997
5.5232,0.6571,-5.7095,0.0226,5.7516
5.5432,0.9924,-4.2073,0.7081,4.3805
5.5632,-0.2084,-1.2283,0.4614,1.33
5.5832,0.1947,-0.8395,-0.8062,1.1877
5.6032,0.3845,-0.4711,-2.2387,2.3228
5.6232,-0.1325,-0.2748,-3.2934,3.3082
5.6432,-0.821,-0.7601,-3.849,4.0097
5.6632,-1.2826,-0.5789,-2.6179,2.9738
5.6832,-0.9497,0.3168,-0.1299,1.025
5.7032,0.0102,1.0769,2.1088,2.3687
5.7232,1.0454,1.1909,2.8845,3.2916
5.7432,1.4031,0.867,2.6117,3.0897
5.7632,0.903,0.2565,1.9702,2.1863
5.7832,-0.8404,0.0498,1.6949,1.9022
5.8032,-2.3574,0.6651,1.7676,3.0227
5.8232,-3.2128,1.5323,1.9437,4.056
