time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0042,0.0,-0.03,-0.01
4.0242,0.0,-0.02,-0.02
4.0442,0.0002,-0.01,-0.02
4.0642,0.0,-0.01,-0.02
4.0842,0.0,-0.0122,-0.01
4.1042,0.0,-0.01,0.0
4.1242,0.0,-0.01,0.0
4.1442,-0.02,0.0,-0.01
4.1642,-0.02,0.01,-0.02
4.1842,-0.01,0.0476,-0.02
4.2042,-0.0143,0.0757,-0.01
4.2242,-0.02,0.08,0.0
4.2442,-0.01,0.07,0.01
4.2642,-0.01,0.05,0.01
4.2842,0.0,0.02,0.0092
4.3042,0.02,-0.02,0.0
4.3242,0.01,-0.0473,0.0
4.3442,0.01,-0.043,-0.01
4.3642,0.01,-0.04,-0.02
4.3842,0.0,-0.0321,-0.01
4.4042,0.0,-0.02,-0.0092
4.4242,0.0085,-0.01,0.01
4.4442,0.0,-0.02,0.01
4.4642,-0.01,-0.02,0.01
4.4842,-0.01,-0.01,0.0
4.5042,-0.01,0.02,0.0
4.5242,-0.01,0.03,-0.01
4.5442,-0.0048,0.04,0.0
4.5642,-0.0061,0.04,0.0
4.5842,0.0,0.03,0.0
4.6042,-0.0076,0.02,0.0
4.6242,-0.0037,0.01,0.0
4.6442,0.0,0.0084,0.0
4.6642,0.0,0.0,0.0
4.6842,0.0,-0.0107,0.0
4.7042,0.0,-0.02,0.0
4.7242,0.0,-0.02,0.0
4.7442,0.0004,-0.02,-0.0004
4.7642,0.006,-0.014,0.0
4.7842,0.0064,-0.01,0.0
4.8042,0.0031,-0.01,0.0
4.8242,0.0,0.0,0.0
4.8442,0.0,0.0,0.0
4.8642,0.0,0.01,0.0
4.8842,-0.01,0.01,0.0
4.9042,-0.0045,0.0145,0.0
4.9242,-0.0062,0.0138,0.0
4.9442,0.0,0.02,0.0
4.9642,0.0,0.01,0.0
4.9842,0.0,0.0,0.0
5.0042,-0.008,0.0,0.0
5.0242,0.0,0.0,0.0
5.0442,0.0,-0.01,0.0
5.0642,0.0,-0.01,0.0
5.0842,0.0058,-0.0058,0.0
5.1042,0.0,-0.01,-0.01
5.1242,0.0,-0.01,-0.0099
5.1442,0.0,0.0,0.0
5.1642,0.0,0.0,0.0
5.1842,0.0,0.0,0.0023
5.2042,0.0,0.0,0.01
5.2242,0.0,0.0,0.0
5.2442,0.0,0.0,0.0
5.2642,0.0,0.01,0.0
5.2842,0.0,0.0017,0.0
5.3042,-0.0029,0.0,0.0
5.3242,0.0,0.0,0.0
5.3442,0.0,0.0,0.0
5.3642,0.0,0.0076,0.0076
5.3842,0.0,0.0,0.0
5.4042,0.0,0.0,0.0
5.4242,0.0,0.0,0.0
5.4442,0.0,0.0,0.0
5.4642,0.0,0.0,0.0
5.4842,0.0,0.0,0.0
5.5042,0.0,0.0,0.0
5.5242,0.0,0.0,-0.0063
5.5442,0.0,-0.01,0.0
5.5642,0.0,-0.0023,0.0
5.5842,0.0,0.0,0.0
5.6042,0.0,0.0,0.0
5.6242,0.0,0.0,0.0
5.6442,0.0,0.0,0.0
5.6642,0.0,0.01,0.0
5.6842,0.0,0.0,0.0
5.7042,0.0,0.0,0.0
