time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0165,-0.702,-0.6816,1.0491,1.435
4.0365,-3.9814,1.9307,0.8407,4.5317
4.0565,-6.4105,4.526,-0.7821,7.887
4.0765,-0.8379,0.2979,-0.2746,0.9389
4.0965,0.0075,-0.1698,-0.0716,0.1927
4.1165,0.823,-0.6267,-0.6131,1.2028
4.1365,1.245,-0.7425,-0.5103,1.5378
4.1565,0.6051,-0.0754,0.0457,0.617
4.1765,-0.1341,0.1735,0.1187,0.2591
4.1965,-0.401,0.1688,-0.2169,0.4883
4.2165,-0.2877,0.0889,-0.3503,0.463
4.2365,-0.0009,-0.1317,-0.106,0.1704
4.2565,0.1071,-0.0223,0.0443,0.1205
4.2765,0.0704,0.0615,-0.1348,0.164
4.2965,0.0044,0.1097,-0.2173,0.2439
4.3165,0.0505,0.1373,-0.0723,0.1646
4.3365,0.1765,0.099,0.0394,0.2064
4.3565,0.3322,0.0109,0.0028,0.3325
4.3765,0.3894,-0.059,-0.0704,0.4003
4.3965,0.2937,-0.0506,-0.0944,0.3126
4.4165,0.1138,-0.0447,-0.0922,0.1542
4.4365,-0.0001,-0.0239,-0.0748,0.0789
4.4565,-0.0004,-0.0262,-0.1062,0.1094
4.4765,0.0214,0.0033,-0.0906,0.0937
4.4965,0.1046,0.081,-0.0481,0.1412
4.5165,0.1521,0.0913,-0.0427,0.1825
4.5365,0.1679,0.0504,-0.0891,0.1974
4.5565,0.1279,-0.0569,-0.1718,0.222
4.5765,0.0684,-0.1012,-0.1759,0.2153
4.5965,-0.0287,-0.0434,-0.1184,0.1306
4.6165,-0.1032,0.0608,-0.0937,0.152
4.6365,-0.0977,0.1173,-0.0923,0.1786
4.6565,-0.0039,0.1175,-0.1024,0.1566
4.6765,0.0927,0.0223,-0.1066,0.1429
4.6965,0.1458,-0.0567,-0.0875,0.1804
4.7165,0.1301,-0.1204,-0.1005,0.2038
4.7365,0.098,-0.1384,-0.0927,0.1937
4.7565,-0.013,-0.0935,-0.0827,0.127
4.7765,-0.0971,-0.0407,-0.078,0.1313
4.7965,-0.0933,0.0349,-0.1011,0.1423
4.8165,-0.0544,0.0585,-0.1067,0.133
4.8365,-0.0076,0.042,-0.1141,0.1221
4.8565,0.0377,0.0256,-0.0978,0.108
4.8765,0.0584,-0.001,-0.0826,0.1015
4.8965,0.0448,0.0327,-0.06,0.0818
4.9165,0.0571,0.033,-0.0319,0.0745
4.9365,0.0946,0.0556,-0.0074,0.11
4.9565,0.0998,0.0344,-0.0161,0.1066
4.9765,0.085,0.0013,-0.0012,0.0852
4.9965,0.1169,-0.0201,0.0226,0.1213
5.0165,0.1052,-0.0131,0.0066,0.106
5.0365,0.0983,-0.028,0.0115,0.1033
5.0565,0.1202,-0.015,0.0004,0.1215
5.0765,0.1048,-0.0291,-0.0166,0.1104
5.0965,0.0531,-0.0354,-0.0233,0.0682
5.1165,0.0097,-0.0269,-0.0802,0.0852
5.1365,-0.0501,-0.0236,-0.0695,0.0887
5.1565,-0.0667,0.0133,-0.07,0.0987
5.1765,-0.0791,0.0361,-0.0746,0.1146
5.1965,-0.0749,0.0385,-0.07,0.1095
5.2165,-0.0458,0.0396,-0.0703,0.0931
5.2365,-0.0185,0.0136,-0.0797,0.0831
5.2565,-0.0134,0.0268,-0.0494,0.0575
5.2765,0.0168,0.0088,-0.0387,0.0433
5.2965,0.0128,0.0092,-0.0374,0.0409
5.3165,0.0193,-0.0036,-0.022,0.0313
5.3365,0.0609,-0.0132,-0.0104,0.063
5.3565,0.0802,-0.0061,0.0168,0.0819
5.3765,0.075,-0.0124,0.0246,0.08
5.3965,0.0751,-0.0281,0.029,0.0856
5.4165,0.0776,0.0019,0.0193,0.0798
5.4365,0.064,0.0021,0.0078,0.0648
5.4565,0.0401,-0.007,0.0137,0.0427
5.4765,0.0342,-0.0006,-0.0009,0.0345
5.4965,-0.0031,0.0174,-0.024,0.0299
5.5165,-0.0231,0.0244,-0.0351,0.0485
5.5365,-0.0606,0.0131,-0.0488,0.0792
5.5565,-0.0325,-0.0357,-0.0439,0.0652
5.5765,-0.0402,-0.0548,-0.048,0.0834
5.5965,-0.0321,-0.032,-0.051,0.0681
5.6165,-0.0372,0.042,-0.0161,0.0588
5.6365,0.0001,0.048,0.0083,0.0486
5.6565,0.0445,0.0294,-0.0156,0.0558
5.6765,0.0461,-0.0024,-0.0148,0.0485
5.6965,0.0492,-0.004,0.0004,0.0493
5.7165,0.0421,-0.011,0.0148,0.0465
5.7365,0.0265,-0.0218,0.0039,0.0357
5.7565,0.0064,-0.0255,-0.0139,0.0308
5.7765,0.0143,0.0014,0.0115,0.0202
5.7965,0.0057,-0.0138,0.0071,0.0171
5.8165,0.0308,0.0019,-0.0113,0.0326
5.8365,0.0277,0.0033,-0.0223,0.037
5.8565,0.0035,-0.0051,-0.0055,0.0169
5.8765,-0.016,-0.0052,0.0036,0.0185
5.8965,-0.0096,0.0128,-0.0096,0.0208
5.9165,-0.0301,0.0064,-0.0262,0.0405
5.9365,-0.0102,0.0045,-0.0119,0.0165
5.9565,0.0033,0.0206,-0.015,0.0291
5.9765,0.0119,0.012,-0.0337,0.0389
5.9965,0.0096,0.0053,-0.0202,0.023
6.0165,0.0152,-0.0098,0.0032,0.0183
6.0365,0.0064,-0.0201,-0.0193,0.03
6.0565,0.01,-0.013,-0.0018,0.0164
6.0765,0.0239,-0.0113,0.0049,0.0271
6.0965,0.0334,0.0054,0.0039,0.0343
6.1165,0.0203,-0.0089,0.0069,0.0234
6.1365,0.0145,-0.0072,-0.0061,0.0178
6.1565,0.0043,0.0085,0.004,0.0119
6.1765,0.0241,0.0257,0.018,0.04
6.1965,0.0255,0.0225,0.0157,0.0371
6.2165,0.0121,0.0096,-0.0104,0.0213
6.2365,0.0088,-0.0174,-0.0056,0.0214
6.2565,-0.0216,-0.0503,-0.0201,0.0584
6.2765,-0.0365,-0.0134,-0.0173,0.0454
6.2965,-0.0256,0.0094,0.0127,0.0305
6.3165,-0.0235,0.0282,0.0297,0.0474
6.3365,0.0387,0.0242,-0.0117,0.0472
6.3565,0.0489,0.0063,-0.0173,0.0526
6.3765,0.0209,-0.0038,0.0067,0.0228
6.3965,-0.005,-0.0016,0.0053,0.0139
6.4165,-0.0051,-0.0167,-0.0016,0.021
6.4365,-0.0197,-0.0272,-0.0205,0.0394
6.4565,-0.0298,-0.0056,-0.0002,0.0309
6.4765,0.0124,-0.0006,-0.005,0.016
6.4965,0.0242,-0.0,-0.0136,0.0279
6.5165,0.0009,-0.016,-0.0075,0.0181
6.5365,-0.0183,-0.0102,0.0093,0.0274
6.5565,-0.0118,0.0128,0.0038,0.0189
6.5765,-0.021,0.0133,0.0049,0.0277
6.5965,-0.0066,0.0229,-0.0049,0.0248
6.6165,0.0139,0.002,0.0093,0.0215
6.6365,0.0121,0.001,0.0058,0.0138
6.6565,0.0043,-0.0114,-0.0187,0.027
6.6765,-0.0023,-0.0057,-0.0119,0.0151
6.6965,0.0106,-0.0076,0.0015,0.0258
6.7165,0.0015,-0.0116,-0.0071,0.0157
6.7365,-0.0154,-0.003,-0.0098,0.0216
6.7565,0.0057,0.0057,-0.0078,0.0132
6.7765,0.0056,-0.002,-0.0045,0.0098
6.7965,0.0138,0.0026,0.023,0.0285
6.8165,0.0024,0.023,0.0081,0.0246
6.8365,0.0141,0.0011,0.0172,0.0228
6.8565,0.0068,-0.0264,0.0021,0.028
6.8765,-0.0147,-0.052,-0.0219,0.0585
6.8965,-0.0335,-0.0086,-0.0145,0.0379
6.9165,-0.0436,0.0418,0.0208,0.0644
6.9365,-0.0288,0.0442,0.0281,0.0607
6.9565,0.0452,0.0185,0.0009,0.0496
6.9765,0.0448,0.004,-0.0126,0.0466
6.9965,0.0387,0.0042,-0.007,0.0409
7.0165,0.0155,0.0022,0.012,0.024
7.0365,-0.0288,-0.0075,-0.0118,0.032
7.0565,-0.0354,-0.0081,-0.0112,0.0383
7.0765,-0.0127,-0.0099,0.0076,0.022
7.0965,0.0023,-0.0219,-0.0089,0.0282
7.1165,0.0238,-0.0073,0.003,0.0256
7.1365,0.025,0.0019,0.0097,0.0273
7.1565,-0.0025,-0.0073,-0.0122,0.0148
7.1765,-0.0079,-0.0088,0.0119,0.0173
7.1965,-0.0052,-0.0021,-0.0068,0.0133
7.2165,-0.0227,0.0146,-0.0034,0.0295
7.2365,-0.0045,0.0069,0.0068,0.0114
7.2565,0.0124,0.0199,-0.0079,0.0253
7.2765,0.0195,-0.0013,-0.0067,0.0225
7.2965,0.0145,-0.012,0.0084,0.0205
7.3165,0.0075,-0.0051,0.0133,0.016
7.3365,-0.0136,-0.0154,0.0047,0.0246
7.3565,0.0031,-0.0137,-0.0119,0.0222
7.3765,-0.0114,0.0033,-0.0043,0.0136
7.3965,0.0066,0.0008,-0.0038,0.012
7.4165,-0.0024,-0.0011,0.0061,0.0081
7.4365,0.0255,0.0097,0.0008,0.0318
7.4565,0.029,0.0129,0.0092,0.0335
7.4765,0.0051,-0.0159,-0.0035,0.0184
7.4965,-0.0031,-0.0438,-0.0016,0.0446
7.5165,-0.018,-0.0144,-0.0377,0.0445
7.5365,-0.0309,0.0334,0.018,0.0493
7.5565,-0.0375,0.0374,0.0245,0.0589
7.5765,0.0148,0.0009,0.0107,0.0186
7.5965,0.0373,-0.0029,-0.006,0.0386
7.6165,0.0441,0.0105,-0.0181,0.0493
7.6365,0.0354,0.0158,0.0068,0.0395
7.6565,0.0036,-0.0157,0.0076,0.025
7.6765,-0.0174,-0.0305,-0.0119,0.0374
7.6965,-0.0209,-0.0103,-0.001,0.0234
7.7165,-0.0074,-0.0015,0.0141,0.0204
7.7365,-0.0071,-0.0023,0.0115,0.0167
7.7565,0.0135,0.0041,0.0032,0.0151
7.7765,0.0224,0.0099,0.0124,0.0282
7.7965,0.0003,-0.0046,0.0101,0.0114
7.8165,-0.013,0.0076,0.0021,0.0172
7.8365,-0.0048,-0.0043,0.0011,0.0123
7.8565,0.0093,-0.0007,-0.0015,0.0102
7.8765,0.023,-0.0025,-0.0119,0.0259
7.8965,0.0297,0.0114,0.007,0.0332
7.9165,0.0082,-0.0122,0.0027,0.015
7.9365,-0.0039,-0.0081,0.0092,0.0175
7.9565,-0.0046,-0.0249,0.0042,0.0273
7.9765,-0.0047,0.013,0.0005,0.015
7.9965,0.0078,0.0083,-0.0062,0.014
8.0165,0.0231,0.0091,0.0076,0.0294
8.0365,0.0024,0.0186,0.0181,0.0284
8.0565,-0.013,-0.0053,-0.0137,0.0201
8.0765,0.0032,-0.0033,0.0025,0.0122
8.0965,-0.0096,0.0149,0.008,0.02
8.1165,0.0039,0.0211,-0.0043,0.0229
8.1365,-0.0089,0.0239,0.0119,0.0291
8.1565,0.0039,-0.0062,0.0076,0.0225
8.1765,0.0029,-0.0611,-0.0153,0.0629
8.1965,-0.0274,-0.0486,-0.022,0.0598
8.2165,-0.0293,0.014,-0.0116,0.0354
8.2365,-0.0348,0.065,0.0204,0.077
8.2565,0.0058,0.0424,0.0266,0.0527
8.2765,0.0545,-0.0044,-0.0242,0.0605
8.2965,0.038,-0.0295,-0.0255,0.0566
8.3165,0.0235,-0.0219,0.0184,0.0371
8.3365,0.0099,-0.0122,0.017,0.024
8.3565,-0.0177,-0.017,-0.0055,0.025
8.3765,-0.0004,-0.0073,-0.009,0.0114
8.3965,-0.0283,0.0025,-0.0,0.0285
8.4165,0.005,-0.0051,-0.0053,0.0126
8.4365,0.0037,-0.0238,-0.0069,0.0251
8.4565,0.0189,-0.016,-0.0128,0.0302
8.4765,-0.0111,0.0124,0.0041,0.0185
8.4965,-0.0061,0.02,-0.0065,0.024
8.5165,-0.0173,0.0207,-0.0034,0.0285
8.5365,0.0032,0.0224,-0.0028,0.0238
8.5565,0.0031,0.0043,0.0193,0.0198
8.5765,0.0122,-0.0016,0.0084,0.0164
8.5965,0.0063,-0.0181,-0.0037,0.02
8.6165,0.0065,-0.0047,0.0148,0.0188
8.6365,-0.0108,-0.0008,-0.0043,0.0124
8.6565,-0.0252,-0.0165,-0.0062,0.0309
8.6765,0.0015,-0.0141,-0.0086,0.0175
8.6965,0.004,-0.0194,-0.0069,0.0235
8.7165,-0.007,0.0003,-0.0005,0.0085
8.7365,-0.0027,0.0033,0.0094,0.011
8.7565,0.0001,0.0071,0.0003,0.0077
8.7765,0.008,-0.0133,0.0116,0.0201
8.7965,0.0109,0.001,0.0077,0.0149
8.8165,0.0069,0.0112,0.0064,0.0145
8.8365,-0.0074,0.0103,0.003,0.0176
8.8565,-0.009,-0.0082,-0.0161,0.0198
8.8765,-0.0172,-0.0549,-0.009,0.0588
8.8965,-0.0145,-0.0284,-0.0142,0.036
8.9165,-0.0166,0.0216,0.007,0.0283
8.9365,-0.0038,0.0571,0.0216,0.0632
8.9565,0.0368,0.0283,-0.0004,0.047
8.9765,0.0358,-0.0032,-0.0031,0.0362
8.9965,0.02,-0.0099,-0.0108,0.0253
9.0165,-0.0118,-0.0123,0.0103,0.0216
9.0365,-0.022,-0.015,0.0228,0.0355
9.0565,-0.0159,-0.0252,-0.0168,0.0341
9.0765,-0.0083,-0.0104,0.0031,0.0145
9.0965,0.0117,0.0004,0.004,0.013
9.1165,0.0076,-0.0114,-0.0003,0.0151
9.1365,0.0089,-0.0012,-0.0041,0.0115
9.1565,0.0083,-0.0236,0.0068,0.0274
9.1765,-0.0191,0.0177,-0.0029,0.027
9.1965,-0.0165,0.0198,0.0064,0.0272
9.2165,-0.0,0.0135,0.0149,0.024
9.2365,0.0137,0.0076,0.0082,0.0186
9.2565,0.0297,0.0095,0.007,0.0323
9.2765,0.0171,0.0039,0.0024,0.0182
9.2965,0.0156,0.0021,0.0062,0.0171
9.3165,-0.0055,-0.0125,0.0077,0.0157
9.3365,-0.0207,-0.014,0.0092,0.0278
9.3565,-0.0004,0.0037,-0.0136,0.014
9.3765,-0.0036,0.0052,0.0009,0.0078
9.3965,0.0051,-0.0008,0.0058,0.0089
9.4165,0.006,-0.0186,0.0003,0.0222
9.4365,-0.0115,0.0013,0.0107,0.0168
9.4565,0.0097,-0.0085,0.01,0.0199
9.4765,0.0064,-0.0073,-0.0165,0.0196
9.4965,0.0161,0.0031,0.0025,0.0211
9.5165,0.0038,-0.0021,0.0002,0.0066
9.5365,-0.0138,0.0291,-0.0025,0.0338
9.5565,-0.0014,0.0199,0.0097,0.0223
9.5765,0.0102,-0.0262,-0.013,0.032
9.5965,-0.0101,-0.065,-0.0108,0.0665
9.6165,-0.0289,-0.0329,-0.0232,0.0509
9.6365,-0.0297,0.029,-0.0078,0.0423
9.6565,0.0027,0.077,0.045,0.0898
9.6765,0.0186,0.0204,-0.0002,0.0295
9.6965,0.0345,0.0081,-0.0062,0.0361
9.7165,0.041,0.0069,0.0038,0.0419
9.7365,0.0162,-0.0138,0.0166,0.0299
9.7565,-0.0338,-0.0218,-0.0101,0.0412
9.7765,-0.0436,-0.0219,-0.0029,0.0491
9.7965,0.0032,-0.002,-0.002,0.0072
9.8165,-0.0093,-0.0029,-0.0048,0.0131
9.8365,0.0126,-0.0048,-0.0019,0.0142
9.8565,0.0103,-0.0173,-0.0026,0.0207
9.8765,-0.0195,-0.0137,0.015,0.0291
9.8965,-0.0423,0.0187,0.0199,0.0508
9.9165,-0.0164,0.0283,0.0023,0.0328
9.9365,-0.0056,0.0062,0.0107,0.0149
9.9565,0.0178,0.0125,-0.0039,0.0224
9.9765,0.0139,0.0048,-0.0064,0.0194
9.9965,0.0099,-0.0056,-0.0032,0.0122
10.0165,0.0136,-0.0102,-0.0037,0.0195
10.0365,0.0097,-0.0075,0.0127,0.0192
10.0565,-0.0048,-0.015,0.0021,0.0195
10.0765,-0.0051,0.0065,-0.0121,0.0156
10.0965,0.0039,-0.0006,0.0003,0.0081
10.1165,0.0005,0.0083,-0.0046,0.0114
10.1365,0.0039,-0.0052,0.0134,0.015
10.1565,-0.0064,0.0055,-0.0037,0.0112
10.1765,-0.003,-0.0075,-0.004,0.0136
10.1965,-0.0009,-0.0035,-0.0135,0.0157
10.2165,0.0121,-0.0048,-0.0018,0.0139
10.2365,0.0044,0.0177,0.007,0.0202
10.2565,-0.0192,0.0044,0.004,0.0217
10.2765,-0.0005,-0.0061,-0.0006,0.009
10.2965,0.0089,0.0182,0.0125,0.0246
10.3165,-0.0042,0.0018,-0.0028,0.0103
10.3365,0.0119,0.0157,0.0086,0.0221
10.3565,0.0121,0.0104,0.0019,0.0183
10.3765,-0.0011,-0.0125,0.0008,0.0182
10.3965,-0.0153,-0.061,-0.0098,0.0638
10.4165,-0.0215,-0.0316,-0.0076,0.0401
10.4365,-0.0357,0.0277,0.0082,0.0459
10.4565,-0.0163,0.0632,0.0244,0.0697
10.4765,0.0021,0.0351,0.0108,0.037
10.4965,0.0293,0.0055,-0.0118,0.0322
10.5165,0.0246,-0.0109,-0.007,0.028
10.5365,0.0087,-0.0084,0.0115,0.0225
10.5565,-0.0129,-0.0037,0.0096,0.0163
10.5765,-0.0417,-0.019,-0.0046,0.0464
10.5965,-0.0274,-0.0161,-0.0007,0.0345
10.6165,-0.0013,-0.0117,0.0117,0.0194
10.6365,0.0048,-0.0122,-0.0081,0.0154
10.6565,0.0179,-0.001,-0.0171,0.0248
10.6765,0.0113,0.0048,0.0179,0.0217
10.6965,-0.0045,0.0071,0.0047,0.0172
10.7165,-0.0252,0.0211,-0.0029,0.034
10.7365,-0.0237,0.0032,0.0053,0.0262
10.7565,-0.0047,0.02,0.0131,0.0263
10.7765,0.0217,-0.0061,-0.0115,0.0264
10.7965,0.0144,-0.0063,0.0035,0.0161
10.8165,0.0137,-0.0013,-0.0069,0.0195
10.8365,0.0032,-0.0094,0.0071,0.0159
10.8565,-0.0067,-0.0058,0.0002,0.0115
10.8765,-0.0078,-0.0088,0.0046,0.0218
10.8965,-0.0095,0.0051,-0.0058,0.016
10.9165,0.0115,0.008,0.0089,0.0178
10.9365,0.007,0.0007,0.0138,0.0164
