time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0037,-0.12,0.14,0.27
4.0237,-0.1372,0.0615,0.3128
4.0437,-0.0483,-0.15,0.4217
4.0637,0.0208,0.3708,0.3692
4.0837,0.02,0.1963,0.2421
4.1037,0.05,-0.0785,0.0115
4.1237,0.01,-0.1812,-0.0388
4.1437,0.0166,0.0968,0.03
4.1637,0.03,0.08,0.02
4.1837,0.05,0.03,0.03
4.2037,0.06,0.02,0.02
4.2237,0.06,0.02,-0.01
4.2437,0.06,0.03,-0.03
4.2637,0.04,0.0605,-0.03
4.2837,0.03,0.09,-0.02
4.3037,0.02,0.09,-0.02
4.3237,0.02,0.09,-0.03
4.3437,0.02,0.06,-0.04
4.3637,0.02,0.04,-0.04
4.3837,0.02,0.04,-0.05
4.4037,0.01,0.04,-0.03
4.4237,-0.01,0.0272,0.0
4.4437,-0.0069,0.01,0.0
4.4637,0.02,-0.02,-0.02
4.4837,0.02,-0.02,0.0
4.5037,0.0,-0.03,0.0
4.5237,-0.01,-0.02,0.0
4.5437,-0.01,-0.01,0.0
4.5637,-0.0119,0.0,0.0
4.5837,-0.03,0.01,0.01
4.6037,-0.04,0.02,0.01
4.6237,-0.04,0.0209,0.0
4.6437,-0.0227,0.04,-0.01
4.6637,0.0,0.05,-0.01
4.6837,0.01,0.05,0.0
4.7037,0.02,0.0148,0.0148
4.7237,0.03,0.0,0.01
4.7437,0.05,0.0,0.0051
4.7637,0.05,0.0149,0.0
4.7837,0.05,0.02,-0.01
4.8037,0.05,0.02,-0.01
4.8237,0.03,0.0136,0.02
4.8437,0.02,0.03,0.0
4.8637,0.01,0.0473,0.0
4.8837,0.0,0.06,0.01
4.9037,0.0,0.06,0.01
4.9237,0.0,0.0593,0.0107
4.9437,0.0,0.03,0.04
4.9637,0.01,0.0299,0.0001
4.9837,0.019,0.02,-0.01
5.0037,0.01,0.01,-0.01
5.0237,0.0164,0.01,-0.01
5.0437,0.01,0.0049,0.0
5.0637,0.0,0.0,0.0
5.0837,-0.02,0.0016,0.01
5.1037,-0.02,0.01,0.0085
5.1237,-0.01,0.01,0.0
5.1437,-0.01,0.0,0.0
5.1637,0.0,-0.01,-0.01
5.1837,0.0,-0.02,-0.0102
5.2037,0.0,-0.01,-0.01
5.2237,0.0,-0.01,-0.01
5.2437,-0.0016,-0.01,-0.01
5.2637,0.0,-0.01,-0.01
5.2837,-0.0091,0.0,-0.0009
5.3037,-0.01,0.0,0.0
5.3237,-0.02,0.0,0.0001
5.3437,-0.02,0.01,0.0003
5.3637,-0.01,0.0143,0.0043
5.3837,-0.01,0.01,0.0068
5.4037,0.0,0.0,0.0
5.4237,0.0024,0.0,0.0
5.4437,0.0,0.0,0.0
5.4637,0.004,0.0,0.0
5.4837,0.01,0.01,0.0
5.5037,0.02,0.01,-0.0073
5.5237,0.01,0.0024,-0.0076
5.5437,0.01,0.0,-0.0052
5.5637,0.01,-0.01,-0.01
5.5837,0.01,0.0,0.0
5.6037,0.0,0.01,0.0
5.6237,0.0,0.0,0.0
5.6437,0.0,0.0,0.0
5.6637,0.0,0.0,0.0
5.6837,-0.01,0.0,0.0
5.7037,-0.0,0.0,0.0
5.7237,-0.001,0.0,0.0
5.7437,0.0,0.0,0.0
5.7637,0.0,-0.01,0.0
5.7837,0.0,-0.01,0.0
5.8037,-0.0003,0.0,0.0
5.8237,0.0,0.01,0.0
5.8437,0.0,0.0054,0.0
5.8637,0.0047,0.0,0.0
5.8837,0.0,-0.0021,0.0
5.9037,0.0,-0.01,0.0
5.9237,0.01,0.0,0.0
5.9437,0.0084,0.0084,0.0
5.9637,0.0,0.01,0.0
5.9837,0.0,0.0,0.0
6.0037,0.0,0.0,0.0
6.0237,0.0,0.0,0.0
6.0437,0.0,0.0076,0.0
6.0637,0.0,0.0,0.0
6.0837,0.0032,0.0,0.0
6.1037,0.0034,0.0,0.0
6.1237,0.0,0.0,0.0
6.1437,0.0,-0.01,0.0
6.1637,0.0,0.0092,0.0
6.1837,0.0,0.0,0.0
6.2037,0.0,-0.0037,0.0
6.2237,0.0,-0.01,0.0
6.2437,-0.01,0.0,0.0
6.2637,-0.0098,0.01,0.0
6.2837,0.0,0.01,0.0
6.3037,0.0,0.0,0.0
6.3237,0.0,0.0,0.0
6.3437,0.0,0.0,0.0
6.3637,0.0,0.0,0.0
6.3837,0.0,0.0,0.0
6.4037,0.0,0.0,0.0
6.4237,0.0,0.0,0.0
6.4437,0.0003,0.0,0.0
6.4637,0.0,0.0,0.0
6.4837,0.0,0.0,0.0
6.5037,0.0,0.0,0.0
6.5237,0.0,0.0,0.0
