time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0086,-1.2746,-1.9804,-0.5101,2.41
4.0286,0.3776,-0.963,-0.79,1.3069
4.0486,0.7785,-0.789,-0.1077,1.119
4.0686,-0.3549,-1.53,0.2114,1.5896
4.0886,-0.2365,-1.8151,0.169,1.8414
4.1086,0.3279,-1.3368,-0.2086,1.3932
4.1286,0.176,-0.9673,-0.3612,1.0476
4.1486,0.2634,-0.7114,-0.1568,0.775
4.1686,0.377,0.1652,0.528,0.6707
4.1886,0.9645,-0.0472,0.9151,1.332
4.2086,1.154,-0.2035,0.0919,1.1912
4.2286,0.6932,1.1508,-0.8777,1.6058
4.2486,0.8478,1.6987,-0.6318,2.0013
4.2686,0.6073,1.5389,-0.2813,1.6794
4.2886,0.2782,0.618,-0.3196,0.7517
4.3086,0.0114,-0.8617,0.0486,0.8637
4.3286,-0.8712,-0.8154,0.1502,1.2029
4.3486,-1.1949,-0.7626,-0.463,1.5071
4.3686,-1.69,0.6734,-0.9288,2.0483
4.3886,-1.7653,1.7553,-0.0817,2.4969
4.4086,-0.8846,0.2191,1.3421,1.6678
4.4286,-0.2019,-0.9911,0.7978,1.291
4.4486,-0.2815,-0.7173,0.0108,0.7802
4.4686,-0.1054,-0.2423,-0.4403,0.5138
4.4886,-0.0581,0.0949,-0.2284,0.2543
4.5086,-0.0128,-0.0043,-0.1645,0.1728
4.5286,-0.1723,-0.1238,0.012,0.2131
4.5486,-0.1048,-0.0509,0.019,0.1183
4.5686,0.0085,0.0663,-0.2322,0.2418
4.5886,-0.0226,0.1361,-0.2913,0.3225
4.6086,-0.0803,0.1113,-0.2077,0.2492
4.6286,-0.0685,0.0221,-0.0982,0.1216
4.6486,-0.064,0.0442,-0.0592,0.0984
4.6686,0.0287,-0.0609,-0.2031,0.2139
4.6886,0.0219,0.0186,-0.2065,0.2099
4.7086,0.0845,0.0363,-0.2508,0.2677
4.7286,0.062,0.0283,-0.2564,0.266
4.7486,0.0441,-0.0005,-0.2071,0.2115
4.7686,0.1013,0.0295,-0.1402,0.1753
4.7886,0.1366,0.0294,-0.1902,0.2361
4.8086,0.157,0.0271,-0.2103,0.2641
4.8286,0.145,0.0549,-0.1471,0.2143
4.8486,0.1807,0.0899,-0.0752,0.2158
4.8686,0.25,0.1696,-0.0522,0.3074
4.8886,-0.0286,0.4048,-0.2031,0.456
4.9086,-0.6614,0.4216,-0.4904,0.9285
4.9286,-1.2,-0.1162,-0.5404,1.3252
4.9486,-1.0742,-0.7416,-0.2864,1.3414
4.9686,0.1082,-1.064,0.3152,1.1169
4.9886,0.6404,0.0743,0.0607,0.6576
5.0086,0.8105,0.517,-0.2435,0.9919
5.0286,0.4299,0.1511,-0.0945,0.468
5.0486,-0.0807,-0.2909,0.1324,0.3292
5.0686,-0.2992,-0.1573,-0.0871,0.3498
5.0886,-0.5811,0.0328,-0.413,0.7136
5.1086,-0.5279,-0.035,-0.4107,0.6703
5.1286,-0.2169,-0.1097,-0.0925,0.2607
5.1486,0.0984,-0.0578,0.1026,0.1543
5.1686,0.1593,-0.044,0.1173,0.2025
5.1886,0.189,0.1204,-0.1958,0.299
5.2086,-0.1296,0.1957,-0.2652,0.3549
5.2286,-0.4185,0.0174,-0.1041,0.4339
5.2486,-0.2526,-0.1502,0.0843,0.3081
5.2686,0.2224,-0.0464,-0.074,0.2457
5.2886,0.0837,0.2037,-0.5592,0.6027
5.3086,-0.2388,-0.1269,-0.12,0.3093
5.3286,-0.1866,-0.4449,0.3078,0.5736
5.3486,0.1021,-0.1799,0.3128,0.3783
5.3686,0.2084,0.1963,-0.0799,0.2986
5.3886,0.1145,0.1992,-0.3136,0.3885
5.4086,-0.1543,0.0019,-0.1717,0.2351
5.4286,-0.3334,-0.1178,0.0461,0.3571
5.4486,-0.2641,-0.1039,0.0266,0.285
5.4686,0.0643,0.1099,-0.1846,0.2244
5.4886,0.2313,0.2206,-0.1863,0.37
5.5086,0.1416,0.1386,-0.1237,0.2338
5.5286,-0.0585,-0.0038,-0.0705,0.0949
5.5486,-0.1637,-0.0492,-0.0706,0.1853
5.5686,-0.1945,-0.0378,-0.1041,0.2242
5.5886,-0.0784,-0.044,-0.0708,0.1148
5.6086,0.0752,-0.0315,-0.0325,0.0896
5.6286,0.0861,0.0018,-0.0097,0.0865
5.6486,0.0562,0.0004,-0.0147,0.058
5.6686,0.0177,0.0005,-0.025,0.0311
5.6886,-0.0596,0.0228,-0.0769,0.0999
5.7086,-0.021,-0.0187,-0.0417,0.0507
5.7286,0.0174,-0.0148,-0.002,0.0242
5.7486,0.0055,-0.0017,-0.0304,0.0354
5.7686,-0.0067,0.0035,-0.0676,0.069
5.7886,-0.0259,-0.0336,-0.0292,0.0521
5.8086,-0.0084,-0.0572,0.0132,0.0605
5.8286,-0.0151,-0.02,-0.0189,0.0315
5.8486,-0.0198,-0.0118,-0.0489,0.055
5.8686,0.0117,0.0142,-0.0183,0.0271
5.8886,-0.014,-0.0283,-0.0045,0.0332
5.9086,-0.0199,-0.0178,-0.0364,0.0449
5.9286,0.0166,0.0112,-0.0387,0.0434
