time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0041,-0.01,-0.05,0.0
4.0241,-0.01,-0.0407,-0.0093
4.0441,-0.0064,-0.0364,-0.0136
4.0641,0.01,-0.03,-0.01
4.0841,0.0,-0.0391,0.0
4.1041,-0.0093,-0.02,0.0
4.1241,0.0,0.01,0.0
4.1441,0.0,0.0013,0.0
4.1641,0.0,-0.03,-0.01
4.1841,-0.0021,-0.02,-0.01
4.2041,-0.01,-0.02,-0.01
4.2241,-0.02,0.0,0.0
4.2441,-0.02,0.03,0.0
4.2641,0.0,0.03,-0.01
4.2841,0.01,0.01,-0.01
4.3041,0.01,0.03,0.0
4.3241,0.0,0.04,0.0
4.3441,0.0,0.01,0.01
4.3641,0.01,-0.02,0.01
4.3841,0.0,-0.02,0.0085
4.4041,0.0,-0.01,0.0
4.4241,0.0,-0.01,0.01
4.4441,0.02,-0.02,0.02
4.4641,0.03,-0.0207,0.03
4.4841,0.02,-0.01,0.02
4.5041,0.0,0.0,0.02
4.5241,0.01,0.01,0.02
4.5441,0.02,0.01,0.02
4.5641,0.02,0.01,0.02
4.5841,0.01,0.01,0.02
4.6041,0.0,0.0232,0.02
4.6241,-0.01,0.05,0.01
4.6441,-0.01,0.06,0.01
4.6641,0.0078,0.05,0.01
4.6841,0.04,0.02,0.01
4.7041,0.04,0.0,0.01
4.7241,0.02,-0.01,0.0098
4.7441,0.02,-0.02,0.01
4.7641,-0.01,-0.03,0.02
4.7841,-0.01,-0.04,0.03
4.8041,-0.0057,-0.0543,0.0257
4.8241,0.01,-0.0673,0.01
4.8441,0.02,-0.04,0.0
4.8641,0.01,0.01,-0.0017
4.8841,0.0006,0.02,-0.01
4.9041,0.01,-0.01,0.0
4.9241,0.02,-0.03,0.0078
4.9441,0.01,-0.04,0.01
4.9641,-0.01,-0.04,0.01
4.9841,-0.0059,-0.04,0.02
5.0041,0.01,-0.04,0.02
5.0241,0.03,-0.05,0.0018
5.0441,0.04,-0.0624,0.0
5.0641,0.04,-0.06,0.0
5.0841,0.0,-0.03,0.0148
5.1041,-0.01,-0.0001,0.0
5.1241,0.01,-0.01,0.0
5.1441,0.04,-0.0189,0.0
5.1641,0.04,0.0,0.01
5.1841,0.03,0.0,0.01
5.2041,0.02,0.0141,0.01
5.2241,0.02,0.04,0.0035
5.2441,0.0256,0.05,0.01
5.2641,0.04,0.05,0.03
5.2841,0.04,0.03,0.03
5.3041,0.02,0.02,0.0102
5.3241,0.0,0.0186,0.0
5.3441,-0.01,0.01,0.0
5.3641,-0.01,0.01,0.0
5.3841,-0.02,0.03,0.0
5.4041,-0.02,0.02,0.0
5.4241,-0.01,-0.0073,0.0027
5.4441,0.0,0.0,0.01
5.4641,-0.01,0.02,0.01
5.4841,0.0,0.04,0.01
5.5041,0.01,0.0424,0.01
5.5241,0.02,0.01,0.0
5.5441,0.01,-0.01,0.0
5.5641,-0.01,0.01,0.0
5.5841,-0.03,0.02,-0.01
5.6041,-0.04,0.014,-0.01
5.6241,-0.03,-0.007,0.0
5.6441,-0.02,-0.02,0.0
5.6641,-0.01,-0.05,0.0
5.6841,-0.01,-0.06,0.01
5.7041,-0.0169,-0.0369,0.01
5.7241,0.0,-0.02,0.02
5.7441,0.02,-0.03,0.03
5.7641,0.03,-0.04,0.03
5.7841,0.02,-0.03,0.02
5.8041,0.02,-0.01,0.01
5.8241,0.03,0.0,0.01
5.8441,0.0232,0.0068,0.01
5.8641,0.02,0.0,0.01
5.8841,-0.01,-0.03,0.0102
5.9041,-0.03,-0.0139,0.01
5.9241,-0.04,0.0,0.0
5.9441,-0.04,0.0,-0.01
