time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0051,-0.2038,-0.1747,0.09,0.283
4.0251,-0.4267,-0.0833,0.1721,0.4679
4.0451,-0.4472,-0.1169,0.1121,0.4764
4.0651,-0.0548,-0.2245,0.0929,0.2524
4.0851,0.2371,-0.2939,0.021,0.3782
4.1051,0.3332,-0.293,-0.0064,0.444
4.1251,0.2721,-0.2655,-0.0202,0.3809
4.1451,0.0643,-0.1184,-0.1965,0.2385
4.1651,0.053,-0.102,-0.2288,0.2558
4.1851,0.0975,-0.0928,-0.1263,0.1849
4.2051,0.0725,-0.1292,-0.0275,0.1505
4.2251,0.0042,-0.1907,-0.034,0.1939
4.2451,0.0549,-0.2215,-0.0971,0.2477
4.2651,0.0982,-0.2009,-0.0993,0.245
4.2851,0.1263,-0.1837,-0.0454,0.2276
4.3051,0.1724,-0.1753,-0.0105,0.2464
4.3251,0.2393,-0.1938,-0.0103,0.308
4.3451,0.354,-0.2431,-0.13,0.4492
4.3651,0.3262,-0.0663,-0.244,0.4144
4.3851,0.2659,0.0936,-0.3508,0.4504
4.4051,0.2229,0.0708,-0.3482,0.4192
4.4251,0.2529,-0.0949,-0.2341,0.3604
4.4451,0.3555,-0.3609,0.2405,0.5611
4.4651,0.2447,-0.2503,0.4265,0.553
4.4851,-0.1313,-0.095,0.4174,0.4484
4.5051,-0.3675,-0.1788,0.3144,0.5195
4.5251,-0.5485,-0.4095,0.0348,0.6856
4.5451,-0.5742,-0.3654,0.003,0.6806
4.5651,-0.3014,-0.0465,0.0555,0.314
4.5851,-0.0194,-0.3351,0.1438,0.3658
4.6051,0.0085,-0.1914,0.1684,0.2569
4.6251,-0.0474,-0.042,0.2137,0.2284
4.6451,-0.2037,0.116,-0.1167,0.2633
4.6651,-0.0853,-0.0501,-0.4589,0.4696
4.6851,0.1505,0.1039,-0.4662,0.5033
4.7051,0.4648,0.0044,-0.0675,0.4749
4.7251,0.7838,-0.2071,0.1902,0.8331
4.7451,1.0185,-0.3163,0.2288,1.0906
4.7651,0.6469,-0.1767,0.0409,0.6722
4.7851,0.0476,0.0029,-0.1227,0.1337
4.8051,-0.4353,0.0717,-0.255,0.5098
4.8251,-0.6643,0.0992,-0.3376,0.7515
4.8451,-0.7012,0.108,-0.3007,0.7709
4.8651,-0.4584,0.0708,0.2824,0.5457
4.8851,-0.1769,-0.0505,0.4127,0.4527
4.9051,-0.0099,-0.0847,0.1825,0.2029
4.9251,-0.0284,-0.036,-0.0883,0.0997
4.9451,0.0195,-0.056,-0.1103,0.1261
4.9651,0.0821,-0.084,0.0885,0.1472
4.9851,0.0904,-0.0985,0.1361,0.1913
5.0051,0.0899,-0.1371,0.03,0.1686
5.0251,0.0729,-0.1046,-0.1106,0.1688
5.0451,0.0282,0.0571,-0.0506,0.0854
5.0651,-0.0187,0.0368,0.1688,0.1747
5.0851,-0.1413,-0.2061,0.1619,0.2986
5.1051,-0.1265,-0.1768,-0.0006,0.2189
5.1251,-0.1113,-0.1383,-0.0573,0.1882
5.1451,0.0785,0.0068,-0.2224,0.2362
5.1651,0.1803,-0.127,0.053,0.2287
5.1851,0.0412,-0.1214,0.1532,0.2007
5.2051,-0.0734,-0.0202,0.0374,0.0862
5.2251,0.0045,-0.059,-0.1366,0.1523
5.2451,0.2237,-0.0623,-0.1331,0.2677
5.2651,0.347,-0.0735,0.0089,0.3555
5.2851,0.296,-0.0535,0.2,0.3618
5.3051,0.0161,-0.0101,0.1545,0.16
5.3251,-0.1508,-0.0074,0.0133,0.1552
5.3451,-0.2463,-0.0028,-0.1601,0.2943
5.3651,-0.1112,-0.0676,-0.0547,0.1422
5.3851,0.1286,-0.0517,0.1246,0.1869
5.4051,0.2254,-0.0682,0.1712,0.2911
5.4251,0.1503,-0.0564,0.0676,0.1746
5.4451,0.0836,-0.0629,-0.0059,0.1059
5.4651,-0.055,-0.0285,-0.0387,0.0744
5.4851,-0.0357,-0.0431,0.0191,0.0593
5.5051,0.049,0.003,-0.0156,0.0523
5.5251,0.1393,0.024,-0.0955,0.1705
5.5451,0.1046,0.0527,-0.1135,0.1631
5.5651,0.052,-0.0105,-0.1122,0.1258
5.5851,-0.0018,-0.0424,-0.0922,0.1027
5.6051,-0.0292,-0.0493,-0.032,0.0653
5.6251,0.0195,-0.0018,0.0166,0.0285
5.6451,0.0689,0.0097,0.0741,0.1017
5.6651,0.0787,-0.0097,0.1183,0.1429
5.6851,-0.0213,-0.0508,0.0534,0.0782
