time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0032,-1.82,-0.8,-0.76
4.0232,-2.4443,1.7036,-0.7643
4.0432,-2.0514,3.5086,-0.6228
4.0632,-0.9776,3.2214,-0.1779
4.0832,-0.3049,1.0717,-0.02
4.1032,-0.2642,-0.5034,-0.08
4.1232,-0.28,-1.0475,-0.1219
4.1432,-0.4692,-1.0861,-0.2846
4.1632,-0.8305,-0.4592,-0.35
4.1832,-0.9975,-0.2037,-0.39
4.2032,-1.11,0.1132,-0.49
4.2232,-0.95,0.3668,-0.53
4.2432,-1.0598,0.6298,-0.4802
4.2632,-0.8935,0.6745,-0.51
4.2832,-0.3357,0.2494,-0.49
4.3032,0.2727,-0.0237,-0.3737
4.3232,0.4087,0.12,-0.3
4.3432,0.3671,0.18,-0.2071
4.3632,0.23,0.26,-0.0602
4.3832,0.18,0.27,0.0624
4.4032,0.2481,0.1419,0.2481
4.4232,0.4563,-0.0826,0.5526
4.4432,0.7413,-0.4,0.7807
4.4632,1.0074,-0.35,1.0174
4.4832,1.1267,-0.3467,1.1367
4.5032,1.7165,-1.0347,1.16
4.5232,1.82,-1.6232,1.2666
4.5432,1.7,-2.09,1.3262
4.5632,1.8654,-1.4274,1.0491
4.5832,1.9,-0.7127,0.9058
4.6032,1.4466,-0.58,1.06
4.6232,0.8303,0.1687,1.0402
4.6432,0.8764,1.4828,1.0255
4.6632,1.3424,1.501,1.3148
4.6832,1.1679,-0.3529,1.3939
4.7032,0.6721,-2.8776,0.9382
4.7232,0.4922,-3.0866,0.5522
4.7432,0.3179,-2.2775,0.5021
4.7632,0.1967,-1.5166,0.6
4.7832,0.0336,-1.14,0.6168
4.8032,-0.1919,-1.16,0.4081
4.8232,-0.3447,-0.9906,0.0559
4.8432,-0.4593,-0.7307,-0.2486
4.8632,-0.6304,-0.5996,-0.5204
4.8832,-0.7334,-0.3498,-0.7134
4.9032,-0.7464,-0.1709,-0.7664
4.9232,-0.352,1.2069,-0.6531
4.9432,-0.1173,1.1647,-0.1733
4.9632,-0.1094,-0.0754,0.4294
4.9832,-0.4116,-0.69,0.31
5.0032,-0.6,-0.4617,0.38
5.0232,-0.6,-0.2144,0.3672
5.0432,-0.53,0.449,0.0555
5.0632,-0.4416,1.5144,-0.3784
5.0832,-0.1599,2.28,-0.5199
5.1032,-0.1155,1.9423,-0.1779
5.1232,-0.3975,1.1376,-0.3149
5.1432,-0.3994,0.6088,-0.26
5.1632,-0.1637,0.6063,-0.3263
5.1832,0.0088,0.9276,-0.6076
5.2032,0.09,1.1415,-0.8015
5.2232,0.16,2.226,-1.1593
5.2432,-0.0306,2.4265,-1.1294
5.2632,-0.1861,0.9886,-1.0139
5.2832,-0.7694,-0.5259,-1.0466
5.3032,-1.3478,-0.8408,-1.1554
5.3232,-2.17,-0.3638,-0.9856
5.3432,-1.7828,0.7558,-0.6621
5.3632,-0.9808,1.4815,-0.2262
5.3832,-0.3646,1.3491,-0.17
5.4032,-0.24,0.7571,-0.14
5.4232,-0.27,-0.1009,-0.15
5.4432,-0.3613,-0.2707,-0.2
5.4632,-0.5817,-0.1483,-0.3017
5.4832,-0.7653,0.0553,-0.45
5.5032,-0.8,0.0668,-0.5832
5.5232,-0.8899,-0.0799,-0.65
5.5432,-1.1397,-0.14,-0.5803
5.5632,-1.1754,-0.0654,-0.53
5.5832,-0.7343,0.0589,-0.53
5.6032,-0.436,0.1085,-0.52
5.6232,0.3557,0.5413,-0.3843
5.6432,0.44,0.71,-0.3132
5.6632,0.357,0.594,-0.227
5.6832,0.1568,0.4634,-0.17
5.7032,0.0428,0.4028,-0.1228
5.7232,0.0028,0.18,0.0956
5.7432,0.1537,0.1837,0.3174
5.7632,0.5425,0.0519,0.5862
5.7832,0.9972,-0.02,0.8281
