time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.007,0.6597,-0.4309,0.437,0.901
4.027,0.7758,-1.7611,-2.1047,2.852
4.047,1.3243,-3.2582,-3.7324,5.1285
4.067,1.118,-2.5832,-3.58,4.5554
4.087,0.9662,-1.6768,-3.2768,3.8061
4.107,0.7033,-1.416,-3.5098,3.8496
4.127,0.7414,-1.0008,-4.0973,4.2825
4.147,0.1073,-0.495,-2.566,2.6162
4.167,0.2337,-0.7081,-0.8135,1.1632
4.187,1.6768,-0.6702,1.9808,2.6913
4.207,2.6105,0.0327,-0.527,2.695
4.227,2.6951,1.5196,-4.0218,5.0788
4.247,2.7859,2.579,-5.3576,6.567
4.267,3.0557,3.2567,-5.3401,6.9615
4.287,3.2949,3.4426,-4.8588,6.8054
4.307,3.2085,4.0921,-3.9045,6.5033
4.327,3.1137,4.7288,-3.6951,6.7613
4.347,3.0317,4.7979,-2.9193,6.3831
4.367,2.1663,3.6964,-1.476,4.5339
4.387,1.0712,1.1547,1.491,2.2595
4.407,-1.3882,-3.5652,6.1523,7.2504
4.427,-5.8794,-6.8656,7.3893,11.6795
4.447,-7.135,-6.3738,6.9556,11.8286
4.467,-3.3471,-0.9024,2.5203,4.2953
4.487,-0.6147,1.224,0.7213,1.5867
4.507,2.3814,2.2914,-0.1681,3.3174
4.527,5.0518,0.1923,-1.2751,5.2437
4.547,4.2637,-3.4697,-3.2792,6.4214
4.567,3.9544,-8.1214,-3.448,9.685
4.587,2.5955,-7.765,0.1519,8.1937
4.607,-0.4691,-2.2545,2.6407,3.5237
4.627,0.1335,1.8398,0.1484,1.9136
4.647,2.8269,3.9099,-3.528,5.9773
4.667,4.118,4.3908,-5.3318,8.0459
4.687,3.7327,4.4388,-6.9189,9.0286
4.707,2.8521,3.1464,-5.6324,7.0552
4.727,2.4954,0.2403,-3.2026,4.1156
4.747,2.3085,-2.9798,-1.3716,4.0209
4.767,-0.5427,-4.0526,0.0799,4.1071
4.787,-3.048,-0.9585,-0.5381,3.241
4.807,-4.0682,0.0734,-1.273,4.2634
4.827,-5.1775,0.5549,-1.2649,5.362
4.847,-4.6621,0.9209,0.0793,4.7628
4.867,-1.8515,-0.5212,1.7261,2.5874
4.887,-0.8956,-0.3188,1.8374,2.0692
4.907,-0.2845,0.3213,0.984,1.0771
4.927,0.317,0.8308,0.2405,0.9312
4.947,0.5844,1.0049,-0.411,1.2345
4.967,0.8954,0.7422,-0.8505,1.4453
4.987,0.7231,0.4697,0.3152,0.9374
5.007,-0.5397,-0.3148,1.5884,1.7109
5.027,-1.519,-0.5241,2.7923,3.2217
5.047,-2.0028,-0.1789,3.5811,4.1075
5.067,-2.0368,-0.1614,3.6417,4.1759
5.087,-1.6241,-1.2424,2.3443,3.1138
5.107,-1.5666,-1.7207,1.0733,2.5657
5.127,-1.7973,-1.462,0.3265,2.3414
5.147,-2.1653,-0.9932,0.2544,2.3962
5.167,-2.7872,-0.9563,1.0624,3.1339
5.187,-3.2585,-1.7638,2.1397,4.2793
5.207,-3.7224,-3.6169,2.61,5.8096
5.227,-3.9846,-4.3778,2.8769,6.5813
5.247,-3.8585,-4.0205,2.8488,6.2593
5.267,-2.7144,-2.5624,3.6938,5.2553
5.287,-1.3356,-1.781,4.4232,4.9571
5.307,0.3367,-1.4544,3.1846,3.5223
5.327,1.3053,-1.7731,0.3958,2.2547
5.347,2.1751,-3.0117,-1.7035,4.0886
5.367,3.0616,-4.2754,-3.5017,6.3178
5.387,3.2416,-3.576,-3.4584,5.9376
5.407,3.0386,-2.3569,-3.1858,4.9941
5.427,2.0652,-1.4735,-3.1184,4.0219
5.447,1.0317,-0.3836,-3.0575,3.2528
5.467,0.761,0.3955,-2.1155,2.2844
5.487,0.9822,0.2916,0.2833,1.0793
5.507,2.2574,-0.233,0.2915,2.2928
5.527,2.8317,0.6098,-2.6358,3.917
5.547,2.8516,2.0469,-4.7697,5.9232
5.567,2.6787,2.9298,-5.2249,6.5626
5.587,2.8179,4.234,-5.5257,7.5099
5.607,3.2156,4.1384,-5.4997,7.5967
5.627,3.255,4.5986,-4.8602,7.4411
5.647,2.9432,4.8338,-4.5289,7.2487
5.667,2.6269,4.8728,-4.2473,6.9777
5.687,1.0186,1.9852,1.4927,2.7491
5.707,-0.6803,-3.9095,7.5679,8.556
5.727,-8.6506,-8.3415,11.7332,16.8022
5.747,-7.8913,-6.5412,7.1832,12.5221
5.767,-3.3738,-1.4211,1.0264,3.8233
5.787,-0.0245,1.5343,-0.3094,1.6008
5.807,3.2793,2.2489,-1.6256,4.3197
5.827,6.4736,-0.7614,-6.3342,9.1004
5.847,7.307,-3.2849,-6.7211,10.4643
5.867,10.7539,-5.1397,5.833,13.3271
5.887,3.1794,-2.031,2.7367,4.7501
5.907,-0.4858,-0.2957,-4.9343,4.9737
5.927,0.2684,0.8531,-7.1846,7.2427
5.947,0.488,2.1416,-7.0375,7.3726
5.967,0.4131,2.5079,-6.7979,7.2577
5.987,-0.2802,1.8974,-6.0558,6.3526
6.007,-0.3916,-0.3224,-3.8058,3.8484
6.027,-0.9334,-2.1556,-2.8706,3.7131
6.047,-2.6865,-3.1294,-1.5264,4.4167
6.067,-3.9405,-0.1952,0.0526,3.9687
6.087,-3.2754,1.4165,2.7117,4.4879
6.107,0.7959,0.517,4.5089,4.6218
6.127,1.9253,0.2927,2.3293,3.037
6.147,0.8657,0.0915,-0.4188,0.9959
6.167,-0.2036,-0.0672,0.0652,0.2396
6.187,-0.5218,0.2163,-1.666,1.7604
6.207,-0.6882,0.6358,-2.3944,2.5747
6.227,-0.5376,0.9643,0.0707,1.1415
6.247,-0.296,0.9404,1.1666,1.5348
6.267,-1.3532,-0.6888,2.2777,2.7423
6.287,-2.5071,-0.9668,2.4544,3.6392
6.307,-2.6712,-0.2033,2.5435,3.6939
6.327,-2.2976,0.0375,2.5749,3.451
6.347,-2.0023,-0.1481,2.2739,3.034
6.367,-1.7622,-0.8534,1.0008,2.2018
6.387,-2.0228,-1.1168,0.7535,2.4305
6.407,-2.4667,-1.2006,1.3986,3.0798
6.427,-3.1529,-1.0307,1.4508,3.6206
6.447,-3.4987,-1.08,1.2146,3.8591
6.467,-4.1549,-3.1439,1.2465,5.3576
6.487,-4.7437,-4.9447,2.1327,7.1774
6.507,-4.5465,-3.8711,2.899,6.64
6.527,-3.6692,-3.1395,3.858,6.1847
6.547,-2.2294,-2.8193,5.2795,6.3874
6.567,-0.1268,-1.7952,5.0329,5.35
6.587,1.216,-1.1026,2.2617,2.8012
6.607,1.6154,-2.207,-1.9854,3.3802
6.627,2.5716,-3.9271,-4.5888,6.5644
6.647,3.1063,-4.1438,-4.9434,7.1599
6.667,3.1188,-3.1163,-3.7234,5.7715
