time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0032,1.28,0.12,1.19
4.0232,1.2447,0.5853,1.14
4.0432,1.22,0.6,1.1802
4.0632,1.1686,0.5186,1.3514
4.0832,0.9614,0.1571,1.5443
4.1032,0.74,-0.3801,1.65
4.1232,0.7954,-0.76,1.71
4.1432,1.0214,-0.7293,1.6386
4.1632,1.1,-0.4857,1.3928
4.1832,0.8981,-0.179,1.33
4.2032,0.8,-0.2179,1.28
4.2232,0.851,-0.44,1.149
4.2432,0.8962,-0.4662,0.9562
4.2632,0.758,-0.398,0.748
4.2832,0.63,-0.2946,0.6746
4.3032,0.61,-0.1752,0.6152
4.3232,0.5937,-0.09,0.4574
4.3432,0.4728,-0.08,0.2328
4.3632,0.2999,-0.155,-0.025
4.3832,0.18,-0.19,-0.2968
4.4032,0.06,-0.15,-0.4854
4.4232,-0.0525,0.0651,-0.62
4.4432,-0.1913,0.4638,-0.67
4.4632,-0.3645,0.65,-0.64
4.4832,-0.5556,0.5944,-0.66
4.5032,-0.841,0.6155,-0.881
4.5232,-1.2046,0.72,-1.2569
4.5432,-1.1279,0.63,-1.6129
4.5632,-0.0317,0.3338,-1.9421
4.5832,-0.9288,0.4707,-1.8819
4.6032,-2.0477,1.9835,-0.8719
4.6232,-1.4114,1.41,-0.3729
4.6432,-1.0408,0.387,-0.6338
4.6632,-0.922,0.2339,-1.1979
4.6832,-1.1703,0.7354,-1.6751
4.7032,-1.5058,0.9921,-1.7321
4.7232,-1.65,0.8214,-1.6257
4.7432,-1.4851,0.4652,-1.5101
4.7632,-1.1249,0.0649,-1.3266
4.7832,-0.6962,-0.3938,-1.0662
4.8032,-0.6801,-0.3598,-0.98
4.8232,-0.9314,0.1441,-0.96
4.8432,-1.0822,0.5922,-0.95
4.8632,-1.0764,0.66,-0.9
4.8832,-0.9168,0.4268,-0.8
4.9032,-0.7431,0.2631,-0.76
4.9232,-0.5658,0.1958,-0.62
4.9432,-0.57,0.1706,-0.59
4.9632,-0.6,0.16,-0.58
4.9832,-0.56,-0.0022,-0.5639
5.0032,-0.4822,-0.2178,-0.47
5.0232,-0.44,-0.4648,-0.3376
5.0432,-0.39,-0.7016,-0.1984
5.0632,-0.36,-0.6579,-0.1
5.0832,-0.4849,-0.0704,-0.06
5.1032,-0.6141,0.4081,-0.12
5.1232,-0.623,0.47,-0.217
5.1432,-0.5033,0.3133,-0.34
5.1632,-0.2719,0.0019,-0.32
5.1832,-0.0286,-0.24,-0.3
5.2032,0.0715,-0.2515,-0.29
5.2232,0.2574,-0.5248,-0.2126
5.2432,0.4714,-0.76,-0.0686
5.2632,0.634,-0.574,0.142
5.2832,1.028,0.078,0.4127
5.3032,1.6833,0.33,0.51
5.3232,2.4881,0.1273,0.8254
5.3432,2.71,0.2283,1.0928
5.3632,2.5295,0.6808,1.2305
5.3832,2.1741,1.2519,1.3
5.4032,2.184,1.52,1.414
5.4232,2.0578,1.4126,1.6174
5.4432,1.3366,1.0909,1.7448
5.4632,0.1829,0.3814,1.8129
5.4832,0.3012,-0.3236,1.5388
5.5032,0.6542,-1.3827,1.39
5.5232,0.9557,-2.1343,1.4786
5.5432,1.4033,-2.1567,1.6878
5.5632,1.64,-1.29,1.8833
5.5832,1.3403,-0.4304,1.99
5.6032,0.8554,-0.1518,1.8736
5.6232,0.55,-0.2083,1.6217
5.6432,0.54,-0.39,1.45
5.6632,0.56,-0.4988,1.3456
5.6832,0.4803,-0.63,1.1205
5.7032,0.285,-0.5175,0.6325
5.7232,-0.0384,-0.3116,0.1516
5.7432,-0.452,-0.059,-0.211
5.7632,-0.7887,0.1387,-0.4844
5.7832,-1.0551,0.5255,-0.7302
5.8032,-1.3767,1.5567,-1.075
5.8232,-2.0833,3.0484,-1.565
5.8432,-2.1162,3.5275,-1.8694
5.8632,-0.7496,1.2628,-1.9717
5.8832,-1.4015,-0.7277,-2.3581
5.9032,-1.5935,-0.2562,-1.3762
5.9232,-0.6043,0.2341,-0.3581
5.9432,-0.416,-0.216,-0.574
5.9632,-0.7544,-0.2719,-0.8444
5.9832,-0.8995,0.0305,-1.4116
6.0032,-0.8,0.1685,-1.7385
6.0232,-0.7844,0.23,-1.7656
6.0432,-0.8755,0.25,-1.5145
6.0632,-1.0,0.393,-1.357
6.0832,-1.02,0.52,-1.34
6.1032,-0.98,0.3152,-1.1826
6.1232,-0.9782,-0.0236,-0.9582
6.1432,-0.8877,-0.16,-0.6988
6.1632,-0.7761,-0.0623,-0.5761
6.1832,-0.67,0.3,-0.5402
6.2032,-0.67,0.1809,-0.6464
6.2232,-0.71,-0.5587,-0.8577
6.2432,-0.6483,-1.0633,-0.89
6.2632,-0.5612,-1.0612,-0.8212
6.2832,-0.4551,-0.5802,-0.6251
6.3032,-0.3389,-0.1868,-0.4089
6.3232,-0.2086,0.14,-0.2786
6.3432,-0.14,0.1323,-0.1823
6.3632,-0.2108,-0.1615,-0.1492
6.3832,-0.4242,-0.37,-0.16
6.4032,-0.7053,-0.3147,-0.1847
6.4232,-0.7282,-0.2091,-0.19
6.4432,-0.3791,-0.27,-0.25
6.4632,-0.1007,-0.3146,-0.29
6.4832,0.261,-0.391,-0.271
6.5032,0.3748,-0.46,-0.2452
6.5232,0.4,-0.3355,0.0545
6.5432,0.7123,0.1342,0.2881
6.5632,1.3071,0.5448,0.3874
6.5832,2.3087,0.5928,0.7143
6.6032,2.57,0.4428,1.0072
6.6232,2.46,0.6497,1.1866
6.6432,2.3177,1.107,1.3347
6.6632,2.26,1.5364,1.4216
6.6832,2.25,1.9972,1.5314
6.7032,1.4518,2.7188,1.9523
6.7232,0.3697,2.3027,2.1615
6.7432,-0.1874,0.7868,2.2487
6.7632,0.3854,-1.1263,2.0
6.7832,0.9335,-2.7249,1.96
6.8032,1.4297,-3.1069,1.98
6.8232,1.9939,-2.2063,2.01
6.8432,2.1793,-0.9059,2.0
6.8632,1.7999,-0.275,1.975
6.8832,1.1116,0.0595,1.94
6.9032,0.7251,0.2524,1.8276
6.9232,0.61,0.235,1.65
6.9432,0.6515,0.037,1.3985
6.9632,0.69,-0.12,1.1763
6.9832,0.667,-0.107,0.924
7.0032,0.3897,-0.2006,0.2492
7.0232,0.2443,-0.2757,0.0387
7.0432,-0.1228,-0.0615,-0.3757
7.0632,-0.3848,0.3472,-0.6324
7.0832,-0.6431,0.7531,-0.8831
7.1032,-0.9338,0.84,-1.1038
7.1232,-1.4491,0.8873,-1.4846
7.1432,-1.9958,1.1416,-1.9337
7.1632,-1.4671,2.7047,-2.3437
7.1832,-0.9254,2.6917,-2.6318
7.2032,-2.069,0.061,-2.575
7.2232,-1.4701,0.8299,-1.0303
7.2432,-0.9543,0.28,-0.3329
7.2632,-0.81,-0.5276,-0.7534
7.2832,-0.83,-0.66,-1.2725
7.3032,-0.88,-0.4201,-1.9899
7.3232,-0.93,-0.1768,-2.29
7.3432,-0.92,-0.2428,-2.1272
7.3632,-0.84,-0.7118,-1.7186
7.3832,-0.79,-1.2022,-1.4439
7.4032,-1.0337,-0.9426,-1.39
7.4232,-1.4201,0.3205,-1.3299
7.4432,-1.3932,0.9084,-1.0932
7.4632,-1.007,0.861,-0.717
7.4832,-0.79,1.0469,-0.52
7.5032,-0.6898,1.1698,-0.6702
7.5232,-0.6,0.5307,-0.9557
7.5432,-0.61,-0.1392,-1.0
7.5632,-0.5707,-0.6178,-0.9207
7.5832,-0.3621,-0.9539,-0.7461
7.6032,-0.1462,-0.7446,-0.5123
7.6232,0.0527,0.266,-0.1447
7.6432,0.2063,0.6473,0.1263
7.6632,0.2355,-0.1571,0.16
7.6832,0.0592,-0.9216,0.1346
7.7032,-0.7044,-1.0178,0.1
7.7232,-1.6062,-0.2938,-0.05
7.7432,-1.137,0.7655,-0.2383
7.7632,0.1817,0.4477,-0.37
7.7832,0.7525,-0.1719,-0.29
7.8032,0.99,-1.2837,-0.3863
7.8232,0.93,-0.918,-0.0288
7.8432,1.1178,0.2916,0.4578
7.8632,1.5996,0.99,0.8648
7.8832,2.0241,0.6989,1.077
7.9032,2.3026,0.0574,1.3926
7.9232,2.4216,0.1531,1.44
7.9432,2.4986,0.6929,1.36
7.9632,2.5103,1.5189,1.3097
7.9832,2.2365,2.0502,1.4334
8.0032,0.7846,1.9611,1.9183
8.0232,-0.06,1.3133,2.17
8.0432,0.2993,0.0967,1.9153
8.0632,0.8742,-1.2684,1.74
8.0832,1.285,-1.925,1.745
8.1032,1.7844,-1.9556,1.8872
8.1232,1.7678,-1.5878,2.0922
8.1432,1.315,-1.215,2.3734
8.1632,0.9445,-0.5079,2.6355
8.1832,0.83,0.056,2.561
8.2032,0.721,0.141,1.8838
8.2232,0.5169,-0.02,1.2337
8.2432,0.2775,0.0,0.665
8.2632,0.1001,-0.0399,0.2502
8.2832,-0.0979,-0.224,-0.3119
8.3032,-0.4127,-0.1582,-0.8118
8.3232,-0.9416,0.3388,-1.2416
8.3432,-1.6417,1.0374,-1.6687
8.3632,-2.1938,1.5576,-2.0207
8.3832,-2.0431,2.682,-2.2394
8.4032,-1.6613,2.1766,-2.8304
8.4232,-2.2043,0.3373,-2.3146
8.4432,-1.3597,0.5139,-1.011
8.4632,-0.4735,0.2513,-0.54
8.4832,-0.438,-0.4261,-0.757
8.5032,-0.8613,-0.83,-1.2513
8.5232,-0.98,-0.7217,-1.5866
8.5432,-0.8758,-0.57,-1.74
8.5632,-0.7563,-0.54,-1.5963
8.5832,-0.6786,-0.6,-1.3557
8.6032,-0.62,-0.69,-1.06
8.6232,-0.736,-0.494,-1.12
8.6432,-0.8789,-0.35,-1.15
8.6632,-0.9764,-0.31,-1.0036
8.6832,-0.9666,-0.3266,-0.7031
8.7032,-0.95,0.129,-0.5002
8.7232,-1.01,0.8581,-0.49
8.7432,-0.9629,1.0458,-0.6171
8.7632,-0.7446,0.3038,-0.8127
8.7832,-0.59,-0.5671,-0.949
8.8032,-0.597,-0.903,-0.937
8.8232,-0.53,-1.07,-0.8476
8.8432,-0.52,-0.9783,-0.6883
8.8632,-0.55,-0.5689,-0.4722
8.8832,-0.4148,0.1107,-0.2548
8.9032,-0.18,0.48,-0.0577
8.9232,-0.1384,0.3231,-0.0316
8.9432,-0.3719,-0.046,-0.004
8.9632,-0.72,-0.19,0.01
8.9832,-0.4914,-0.0909,0.01
9.0032,-0.0328,0.1372,-0.0736
9.0232,0.15,0.4864,-0.1732
9.0432,0.2645,0.422,-0.26
9.0632,0.4926,-0.423,-0.26
9.0832,0.6718,-0.7659,-0.1782
9.1032,1.0115,-0.308,0.4515
9.1232,1.5729,0.06,0.7257
9.1432,2.2498,-0.0849,1.1073
9.1632,2.5924,-0.22,1.5271
9.1832,2.5443,0.1927,1.7957
9.2032,2.4691,1.0846,1.91
9.2232,2.3975,2.1124,1.88
9.2432,1.9523,2.8186,1.7705
9.2632,0.6426,2.6131,1.7217
9.2832,-0.3719,2.3668,1.9188
9.3032,0.0184,0.5132,2.005
9.3232,0.7813,-2.009,1.78
9.3432,1.2568,-3.5723,1.85
9.3632,1.6842,-3.2174,2.0828
9.3832,1.8467,-1.46,2.3567
9.4032,1.3767,-0.0667,2.46
9.4232,0.8309,0.0809,2.4355
9.4432,0.68,-0.11,2.2456
9.4632,0.6886,0.0407,1.728
9.4832,0.4382,0.0191,1.0465
9.5032,0.0729,-0.4641,0.4094
9.5232,-0.171,-0.76,-0.083
9.5432,-0.3702,-0.7149,-0.5202
9.5632,-0.7723,-0.2262,-0.9423
9.5832,-1.3188,0.8698,-1.4166
9.6032,-2.1015,1.9832,-2.0715
9.6232,-2.75,2.3218,-2.7505
9.6432,-1.9526,3.5366,-2.7158
9.6632,-1.4027,1.982,-2.82
9.6832,-1.79,0.1133,-2.2533
9.7032,-1.1599,-0.0256,-0.4427
9.7232,-0.2459,0.0965,0.0653
9.7432,-0.1971,-0.7886,-0.5729
9.7632,-0.4432,-1.0468,-1.4962
9.7832,-0.55,-0.8691,-1.9909
9.8032,-0.5666,-0.4966,-1.9931
9.8232,-0.5,-0.3223,-1.6555
9.8432,-0.45,-0.5453,-1.4273
9.8632,-0.604,-0.702,-1.482
9.8832,-1.0328,-0.4363,-1.58
9.9032,-1.35,0.3907,-1.4247
9.9232,-1.137,0.8515,-1.0055
9.9432,-0.8019,1.0881,-0.6038
9.9632,-0.71,1.3181,-0.44
9.9832,-0.68,1.2516,-0.4692
10.0032,-0.61,0.4372,-0.7076
10.0232,-0.57,-0.5544,-0.8886
10.0432,-0.59,-0.93,-0.88
10.0632,-0.4899,-0.8198,-0.6899
10.0832,-0.4301,-0.6602,-0.5801
10.1032,-0.1744,-0.08,-0.2144
10.1232,-0.2608,-0.1508,-0.14
10.1432,-0.522,-0.21,-0.12
10.1632,-0.96,-0.0633,-0.2167
10.1832,-1.0953,-0.2747,-0.4347
10.2032,-0.1217,-0.3531,-0.5277
10.2232,0.7772,0.2608,-0.2228
10.2432,0.84,0.2727,-0.1127
10.2632,0.68,0.2232,-0.0136
10.2832,0.7504,0.3604,0.1108
10.3032,0.8568,0.4334,0.2468
10.3232,1.7553,0.6282,1.0735
10.3432,2.2169,0.47,1.4269
10.3632,2.38,0.6922,1.7515
10.3832,2.4,1.0559,2.0919
10.4032,2.3262,1.7538,2.4362
10.4232,2.0847,1.81,2.2147
10.4432,1.4498,1.868,1.778
10.4632,0.1038,1.4717,1.7996
10.4832,-0.5742,0.9205,2.0242
10.5032,0.1054,-1.1615,1.9408
10.5232,1.0459,-2.4368,1.8592
10.5432,1.7166,-2.1178,2.0189
10.5632,1.8715,-0.7504,2.237
10.5832,1.4462,-0.29,2.36
10.6032,0.6769,-0.8431,2.4131
10.6232,0.8665,-0.6435,2.5683
10.6432,1.06,-0.29,2.4925
10.6632,0.7712,-0.4759,1.7453
10.6832,0.4096,-0.57,1.0184
10.7032,0.242,-0.57,0.592
10.7232,0.1257,-0.3857,0.2757
10.7432,-0.2301,-0.13,-0.1501
10.7632,-0.6008,0.0308,-0.5862
10.7832,-0.9295,0.3864,-1.0895
10.8032,-1.4113,0.7613,-1.5935
10.8232,-1.8589,1.4154,-1.9877
10.8432,-1.8591,2.655,-2.5805
10.8632,-1.63,3.2402,-3.0399
10.8832,-1.7454,1.3096,-3.6607
10.9032,-1.486,-0.0735,-2.992
10.9232,-0.8924,0.0518,-1.0212
10.9432,-0.67,-0.4308,-0.12
10.9632,-0.5523,-1.1955,-0.471
10.9832,-0.4748,-1.1544,-1.0609
11.0032,-0.44,-0.8098,-1.4902
11.0232,-0.41,0.2029,-2.03
11.0432,-0.5728,0.67,-1.6916
11.0632,-0.79,0.6251,-1.3151
11.0832,-0.8327,0.6073,-1.492
11.1032,-0.76,0.56,-1.9124
11.1232,-0.77,0.6827,-1.7619
11.1432,-0.7532,0.8768,-1.2629
11.1632,-0.5442,0.6913,-0.6113
11.1832,-0.3853,0.3506,-0.3253
11.2032,-0.33,0.24,-0.2321
11.2232,-0.41,0.0545,-0.1755
11.2432,-0.6346,-0.1093,-0.3493
