time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0053,-4.5325,-2.0371,-1.2259,5.118
4.0253,2.9491,-0.7344,2.3041,3.8477
4.0453,5.1948,0.2119,2.171,5.6377
4.0653,0.41,-0.1798,-0.3267,0.6149
4.0853,-1.172,0.5242,-0.8449,1.5609
4.1053,-0.8874,0.6165,0.1958,1.1417
4.1253,-0.6578,-0.0133,-2.087,2.2208
4.1453,1.5096,0.6593,-1.4291,2.2542
4.1653,-2.1721,1.7354,-0.7835,2.9275
4.1853,-0.5123,0.975,-0.3513,1.156
4.2053,-0.0373,0.8449,-0.2163,0.8789
4.2253,-0.5173,-0.2523,-0.903,1.0874
4.2453,0.0022,-0.208,-0.3223,0.3855
4.2653,-0.2861,0.1793,0.4849,0.5933
4.2853,-0.7282,-0.6352,0.4882,1.1011
4.3053,-1.6241,-0.8477,0.369,1.8703
4.3253,-3.4548,-1.0943,1.9349,4.1099
4.3453,-18.3551,8.2256,6.9223,21.4757
4.3653,6.5179,-2.7856,-2.0788,7.5856
4.3853,5.6794,-2.1644,-9.1561,10.9985
4.4053,1.8868,-0.2438,-4.5305,4.926
4.4253,1.3799,0.3472,-2.6091,2.998
4.4453,0.8271,1.1228,-3.8889,4.1335
4.4653,-0.2931,1.8362,-0.9247,2.1308
4.4853,0.7137,2.0119,1.8078,2.8059
4.5053,1.3763,1.846,1.8004,2.9301
4.5253,2.2489,-0.0832,-2.3106,3.2269
4.5453,0.952,-0.9808,-0.0857,1.394
4.5653,0.3307,0.7711,2.5268,2.6632
4.5853,2.1507,0.9513,2.6039,3.543
4.6053,5.6869,0.1313,0.8392,5.7546
4.6253,2.6716,0.4565,0.6563,2.7959
4.6453,-2.502,-0.0443,2.6249,3.6338
4.6653,-2.6219,-1.8105,-0.5961,3.2684
4.6853,-0.8924,-1.4783,-2.364,2.9325
4.7053,-0.6629,0.7418,-1.8564,2.1104
4.7253,-0.6576,1.0198,-1.7409,2.1239
4.7453,-3.4217,0.0823,-7.7923,8.5295
4.7653,-1.0638,-2.4046,-4.8297,5.5234
4.7853,-2.8848,-4.4191,9.3745,10.7668
4.8053,-3.6901,-4.711,9.1278,10.9282
4.8253,-2.1067,-2.9395,-1.1527,3.8017
4.8453,-0.228,-2.5298,0.0644,2.55
4.8653,0.6044,-2.0452,0.531,2.1978
4.8853,0.7037,-2.6297,-0.116,2.7271
4.9053,0.0135,-2.4226,-0.4781,2.4924
4.9253,-0.3278,-2.2163,-0.6313,2.3309
4.9453,-0.0528,4.2983,0.3982,4.3185
4.9653,-1.1764,1.7202,0.8527,2.4765
4.9853,-0.0005,0.7438,1.1339,1.4575
5.0053,4.1071,0.9543,2.194,4.7579
5.0253,4.0221,1.2997,1.6037,4.5215
5.0453,-0.79,-0.6754,-2.8877,3.0691
5.0653,-1.9355,0.151,-2.046,2.8369
5.0853,-3.3158,1.6601,2.6598,4.5746
5.1053,-0.8952,5.5377,3.8855,6.8463
5.1253,0.9356,2.5541,-0.8445,2.8744
5.1453,0.514,3.6255,-0.2723,3.6887
5.1653,-1.4341,-2.3001,-0.6854,2.8498
5.1853,-1.3097,-3.3877,-3.4954,5.0426
5.2053,-1.8175,-2.1489,-2.4238,3.7398
5.2253,-0.2123,2.0584,0.36,2.1062
5.2453,-0.0712,4.8799,1.2442,5.0484
5.2653,-2.7948,4.8859,2.3645,6.1097
5.2853,-2.6627,1.9432,-1.1502,3.5355
5.3053,-0.6585,-0.4076,-2.6117,2.7455
5.3253,0.5221,-4.1149,-0.4119,4.175
5.3453,0.4027,-6.4276,0.8908,6.504
5.3653,0.02,-1.0595,2.6315,2.9336
5.3853,1.4616,2.2531,1.6349,3.1794
5.4053,2.5081,3.5486,-2.339,4.9351
5.4253,0.7926,2.0421,-1.1294,2.4669
5.4453,-0.3481,-2.4025,-0.7942,2.5576
5.4653,-1.0888,-2.0716,-1.6199,2.8556
5.4853,-0.529,-3.0754,-1.1156,3.3161
5.5053,-1.6781,-2.0238,0.7188,2.7372
5.5253,-1.3433,0.4665,0.7669,1.6593
5.5453,-0.2418,-1.4712,1.0775,1.8458
5.5653,-1.3245,-4.2235,1.0092,4.5405
5.5853,-2.4448,-4.0399,0.9276,4.816
5.6053,-1.355,-3.3877,1.1103,3.8158
5.6253,-1.194,-3.6427,1.0508,3.9766
5.6453,-1.3713,-8.0438,-0.2649,8.1645
5.6653,-1.5901,-6.0533,0.1769,6.2609
5.6853,-1.4315,-2.1069,-0.3821,2.5819
5.7053,-1.1359,1.6,-0.0646,1.9654
5.7253,-0.8723,2.0657,0.4233,2.2819
5.7453,-0.9572,0.7092,-0.6496,1.3612
5.7653,-1.2167,0.4814,-0.891,1.6142
5.7853,-0.9079,0.9365,1.6977,2.1442
5.8053,-0.3557,0.1587,2.9643,2.9903
5.8253,-0.3251,-0.3483,3.072,3.1249
5.8453,-0.3462,-2.7277,-0.255,2.7721
5.8653,0.6505,-1.3796,-1.8584,2.4139
5.8853,1.692,-0.2537,-0.9119,1.9653
5.9053,2.1284,1.7352,-0.0288,2.7797
5.9253,0.8228,3.967,-0.7093,4.1199
5.9453,0.4972,4.2419,-0.7811,4.3449
5.9653,-0.4851,1.0224,0.2078,1.1546
5.9853,0.6977,0.8107,-0.0239,1.0715
6.0053,1.1844,0.523,-0.298,1.3299
6.0253,1.2748,0.3907,-0.3483,1.3806
6.0453,2.7822,-1.7885,-2.2597,4.0062
6.0653,3.5643,-1.6562,-2.5076,4.6668
6.0853,4.3004,-0.6315,-0.3684,4.3676
6.1053,3.9664,-0.1187,0.1801,3.972
6.1253,3.5537,-0.0526,0.046,3.5548
6.1453,3.4189,-0.0841,-0.0079,3.4203
6.1653,0.4051,-0.3776,-1.6784,1.7751
6.1853,-0.6512,-0.1088,-1.5617,1.7018
6.2053,-0.9775,0.3412,-1.1696,1.563
6.2253,-0.5707,0.3662,-0.8193,1.066
6.2453,-0.4005,0.3595,-0.7403,0.9155
6.2653,2.1149,0.7782,-0.6054,2.3333
6.2853,2.8968,1.6185,-1.1797,3.5225
6.3053,2.7784,2.4509,-1.3714,3.9506
6.3253,2.7369,2.5438,-1.3215,3.9646
6.3453,1.4263,2.8574,-0.8185,3.2982
6.3653,0.1123,2.0075,-0.2883,2.0371
6.3853,-1.4341,1.3195,-0.8875,2.1539
6.4053,-2.7403,0.9952,-2.117,3.6063
6.4253,-5.6796,1.2936,3.447,6.8523
6.4453,-7.5483,-7.32,5.4157,11.8657
6.4653,-4.103,-10.1711,2.4564,11.257
6.4853,1.8621,-2.2421,-2.5165,3.8862
6.5053,2.7623,0.5639,-1.3482,3.1279
6.5253,2.4803,0.1684,-1.6097,2.9665
6.5453,2.2881,-0.7208,-2.3101,3.3307
6.5653,0.9372,-1.629,-2.4319,3.0743
6.5853,-0.5099,-2.3128,-1.6422,2.8849
6.6053,-1.5498,-2.2141,-0.6842,2.7914
6.6253,-2.4203,-1.6436,-0.4288,2.9611
6.6453,-0.8756,0.6298,-1.1783,1.6256
6.6653,0.9862,1.5129,-1.3347,2.2487
6.6853,1.8429,2.024,-1.1141,2.956
6.7053,2.7583,2.4027,-1.0878,3.8164
6.7253,3.7298,2.7451,-1.6663,4.9219
6.7453,2.989,3.3011,-0.5762,4.4984
6.7653,1.7284,3.6822,1.0323,4.1983
6.7853,0.4409,2.8539,1.2265,3.1413
6.8053,-0.4172,2.2701,0.5966,2.384
6.8253,-0.6154,1.7998,0.4554,1.9557
6.8453,-1.2567,1.066,0.0677,1.6517
6.8653,-2.5174,0.2392,0.1168,2.5319
6.8853,-4.3233,-0.832,-0.0373,4.403
6.9053,-5.6059,-1.2318,0.5177,5.7637
6.9253,-5.6938,-1.2514,0.7752,5.8837
6.9453,-2.3347,0.2604,1.4723,2.775
6.9653,-1.4018,0.3536,0.1598,1.4573
