time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0052,0.18,-0.91,-0.19
4.0252,-0.0373,-0.8327,-0.0427
4.0452,-0.1825,-0.4724,0.05
4.0652,-0.1462,-0.0124,0.1638
4.0852,0.0274,0.1474,0.24
4.1052,0.04,0.19,0.17
4.1252,-0.01,0.0346,0.0923
4.1452,-0.01,-0.12,0.04
4.1652,0.0,-0.011,0.01
4.1852,0.0937,0.1437,0.01
4.2052,0.1286,0.0986,0.01
4.2252,0.07,0.023,0.017
4.2452,0.03,-0.0575,0.0025
4.2652,-0.02,-0.09,0.0146
4.2852,-0.08,-0.1361,0.0
4.3052,-0.12,-0.2,-0.03
4.3252,-0.12,-0.126,0.01
4.3452,-0.07,-0.03,0.04
4.3652,-0.02,0.0545,0.03
4.3852,0.04,0.17,0.01
4.4052,0.0914,0.24,0.0086
4.4252,0.0889,0.26,0.0
4.4452,0.05,0.2,-0.0191
4.4652,0.04,0.16,-0.05
4.4852,-0.03,0.12,-0.0133
4.5052,-0.06,0.11,0.02
4.5252,0.0304,0.11,0.0204
4.5452,0.1539,0.1,0.0339
4.5652,0.3219,0.2737,0.0719
4.5852,0.31,0.3933,0.15
4.6052,0.2423,0.26,0.16
4.6252,0.22,-0.0379,0.17
4.6452,0.25,-0.1439,0.11
4.6652,0.2221,0.2879,0.23
4.6852,0.3586,0.2586,0.1557
4.7052,0.5135,0.1965,0.1065
4.7252,0.63,-0.0012,-0.0912
4.7452,0.5267,-0.1,-0.23
4.7652,0.3267,-0.18,-0.21
4.7852,0.194,0.1081,-0.074
4.8052,0.3134,0.38,0.0734
4.8252,0.4458,0.2684,0.16
4.8452,0.635,0.165,0.265
4.8652,0.69,0.3391,0.24
4.8852,0.65,0.34,0.2
4.9052,0.64,0.4,0.1956
4.9252,0.62,0.41,0.15
4.9452,0.5968,0.4768,0.2935
4.9652,1.0477,1.0477,0.8277
4.9852,1.6852,1.1648,1.4852
5.0052,2.341,0.848,1.6355
5.0252,2.45,-0.0565,1.8753
5.0452,2.3705,-0.3995,1.8505
5.0652,1.7465,-0.2443,1.0587
5.0852,1.014,0.266,0.6385
5.1052,0.5351,1.2947,0.6375
5.1252,0.2361,1.4222,0.8569
5.1452,-0.0737,0.409,1.0937
5.1652,-0.08,0.3572,1.09
5.1852,-0.01,0.53,1.04
5.2052,-0.01,0.1838,0.9984
5.2252,-0.0436,-0.859,0.8664
5.2452,-0.09,-1.6495,0.6503
5.2652,-0.08,-1.4462,0.2731
5.2852,-0.1134,-0.6832,-0.1468
5.3052,-0.3166,-0.27,-0.4166
5.3252,-0.49,0.276,-0.698
5.3452,-0.55,0.6775,-0.9475
5.3652,-0.53,0.79,-1.3202
5.3852,-0.46,0.76,-1.5768
5.4052,-0.3759,0.76,-1.59
5.4252,-0.2768,0.5136,-1.52
5.4452,-0.2,-0.0494,-1.54
5.4652,-0.5474,-0.6774,-1.4606
5.4852,-1.1731,-1.2531,-1.1846
5.5052,-1.2016,-1.49,-0.9116
5.5252,-0.8596,-1.3231,-0.6631
5.5452,-0.4113,-0.6766,-0.1827
5.5652,-0.29,0.2596,0.0649
5.5852,-0.2927,0.928,0.12
5.6052,-0.3481,1.4338,0.12
5.6252,-0.372,1.468,0.1
5.6452,-0.4792,0.5657,-0.1876
5.6652,-0.9013,0.5404,-0.2296
5.6852,-0.9138,0.0663,-0.3175
5.7052,-0.4494,-0.6137,-0.5069
5.7252,0.1266,-0.2501,-0.5
5.7452,-0.0185,2.2365,-0.35
5.7652,-0.9527,2.2174,-0.5173
5.7852,-0.4726,-0.3634,-0.1042
5.8052,0.3859,-2.1497,-0.089
5.8252,0.72,-3.1002,-0.2434
5.8452,0.4143,-3.0422,-0.34
5.8652,-1.0522,-0.5849,-0.35
5.8852,-1.8779,1.8716,-0.1914
5.9052,-1.5466,2.4566,-0.0273
5.9252,-0.5881,1.4763,-0.134
5.9452,-0.09,0.0233,-0.4799
5.9652,0.0069,0.53,-0.5766
5.9852,0.19,0.4106,-0.4
6.0052,0.101,0.538,-0.341
6.0252,0.01,0.7821,-0.2479
6.0452,0.1918,0.5147,-0.14
6.0652,0.1977,0.063,-0.12
6.0852,-0.0851,-0.22,-0.1525
6.1052,-0.27,-0.2348,-0.33
6.1252,-0.1786,-0.4214,-0.29
6.1452,0.3166,-0.9675,-0.0217
6.1652,0.9353,-1.3636,0.18
6.1852,1.15,-1.5158,0.2342
6.2052,1.0092,-1.3184,0.28
6.2252,0.78,-1.01,0.33
6.2452,0.5688,-0.79,0.3188
6.2652,0.2858,-0.7329,0.24
6.2852,0.0331,-0.5915,0.21
6.3052,0.018,0.43,0.418
6.3252,1.1345,3.7404,1.3245
