time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0088,1.8734,0.0298,-1.3859,2.33
4.0288,2.3998,0.8547,-0.7325,2.6509
4.0488,2.3212,1.2716,-0.7365,2.7479
4.0688,1.6926,1.3918,-0.9608,2.3934
4.0888,1.2835,1.4179,-1.1472,2.2305
4.1088,1.3827,1.4459,-0.9295,2.2069
4.1288,2.1176,1.3651,-0.7151,2.6191
4.1488,2.4114,1.4851,-0.7781,2.9367
4.1688,2.3888,1.6918,-0.8319,3.0431
4.1888,1.9388,1.7226,-0.6984,2.6858
4.2088,0.9571,1.2972,-0.3287,1.6478
4.2288,0.0336,0.9445,-0.0637,0.9559
4.2488,-1.8143,1.0206,-0.1509,2.0876
4.2688,-2.1417,1.9093,0.5576,2.9246
4.2888,-2.0361,2.4092,1.3809,3.4446
4.3088,-1.7031,1.7689,2.0416,3.1931
4.3288,-1.5899,1.1142,1.7602,2.6211
4.3488,-1.3114,1.5298,0.5311,2.092
4.3688,-0.804,2.0847,-0.6935,2.3445
4.3888,-0.2046,2.3846,-1.5011,2.8257
4.4088,0.2591,2.5181,-1.1233,2.7715
4.4288,0.983,2.2308,0.0664,2.4391
4.4488,1.4752,1.8248,1.3402,2.7028
4.4688,1.5249,1.6884,1.5209,2.7373
4.4888,0.0846,-1.2229,-0.333,1.2811
4.5088,0.5495,-3.3404,-2.0695,3.9688
4.5288,0.8832,-5.4778,-2.5546,6.1085
4.5488,1.6318,-8.4185,-2.5971,8.9609
4.5688,2.1888,-10.2374,1.1616,10.5345
4.5888,1.3854,-6.0188,2.0246,6.5011
4.6088,0.9449,-1.9657,-0.3839,2.2226
4.6288,0.6582,-1.3042,-1.0634,1.8108
4.6488,-1.3616,-1.8003,-1.7505,2.8585
4.6688,-2.5326,-1.8154,-3.0321,4.3493
4.6888,-2.4797,-1.1416,-4.5496,5.3061
4.7088,-1.7376,-0.6338,-2.7997,3.3591
4.7288,-0.9745,1.3236,1.3618,2.1371
4.7488,-0.3919,2.1255,3.2258,3.884
4.7688,0.964,1.8261,2.027,2.8995
4.7888,1.5221,1.0342,-0.5756,1.9285
4.8088,0.9686,1.6628,0.6239,2.0354
4.8288,-1.0336,1.065,1.9917,2.4933
4.8488,-2.2101,1.0735,1.5812,2.9238
4.8688,-2.2798,0.4893,1.0537,2.5608
4.8888,-2.3088,0.1713,0.7883,2.4461
4.9088,-2.4449,1.2582,0.7577,2.8544
4.9288,-2.4035,2.2164,0.9383,3.4021
4.9488,-1.7244,3.1226,0.9529,3.6919
4.9688,-1.7892,2.8614,0.4811,3.4094
4.9888,-1.4559,2.7463,0.4272,3.1382
5.0088,-0.7194,4.1502,0.6366,4.2614
5.0288,0.03,4.4347,-0.0037,4.4373
5.0488,-0.0929,3.8015,-1.2427,4.0016
5.0688,-1.7952,1.1972,-1.6862,2.747
5.0888,-2.878,-0.0393,-1.8014,3.3973
5.1088,-4.9822,1.2284,-0.812,5.2024
5.1288,-7.265,-0.0188,2.0585,7.5571
5.1488,-6.3954,-2.9512,3.8453,8.0504
5.1688,0.6699,-10.2547,5.3859,11.6385
5.1888,4.7071,-6.7226,-0.5765,8.2501
5.2088,7.0457,-4.6291,-4.2591,9.4457
5.2288,7.0092,-5.1,-5.4508,10.2428
5.2488,4.8484,-8.5619,-4.8982,11.0052
5.2688,-1.0253,-7.729,-1.1827,7.9214
5.2888,-4.242,-1.8068,2.5997,5.3186
5.3088,-4.6895,0.2287,3.4859,5.8486
5.3288,-3.1088,0.2812,1.6866,3.5486
5.3488,0.8133,-0.09,-0.2023,0.8451
5.3688,3.2317,0.2309,0.4111,3.2664
5.3888,5.3417,1.5275,-0.2237,5.5635
5.4088,6.9777,3.2732,-1.2926,7.8155
