time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0039,1.02,0.91,-0.66
4.0239,0.3904,1.0911,-0.36
4.0439,-0.33,0.6999,-0.33
4.0639,-0.561,0.1154,-0.511
4.0839,-1.0892,-0.4069,-0.9046
4.1039,-2.0284,-0.3279,-1.2842
4.1239,-2.26,-0.5575,-1.1538
4.1439,-2.4491,-2.11,-0.6418
4.1639,-2.6415,-1.94,-0.46
4.1839,-0.5645,-0.1524,-0.23
4.2039,0.4645,0.0491,-0.1891
4.2239,0.568,0.5537,-0.5437
4.2439,1.4037,0.8637,-0.4213
4.2639,0.948,2.4102,-1.0784
4.2839,0.68,2.0439,-1.3277
4.3039,0.3592,1.2692,-0.7492
4.3239,0.1006,0.9385,-0.4194
4.3439,0.29,0.3155,-0.28
4.3639,0.148,-0.3473,-0.3046
4.3839,-0.398,0.2487,-0.4807
4.4039,-0.4722,0.5843,-0.5011
4.4239,0.051,0.361,-0.349
4.4439,0.08,0.4049,-0.31
4.4639,-0.031,0.481,-0.119
4.4839,-0.1398,0.6798,0.1499
4.5039,-0.27,0.8137,0.3431
4.5239,-0.1121,0.3152,0.479
4.5439,0.19,0.0296,0.3035
4.5639,0.2354,1.0629,0.0254
4.5839,0.19,1.1381,-0.1
4.6039,0.12,0.0618,0.0382
4.6239,0.17,0.3436,0.4524
4.6439,0.1,0.2018,0.6961
4.6639,0.13,-0.3387,0.69
4.6839,0.13,-0.465,0.645
4.7039,0.08,-0.6848,0.48
4.7239,0.0047,-0.4341,0.3647
4.7439,-0.04,0.0766,0.3222
4.7639,-0.06,0.4016,0.37
4.7839,0.0474,0.4374,0.44
4.8039,-0.0166,0.8432,0.51
4.8239,-0.3534,1.3645,0.7245
4.8439,-0.47,1.1267,0.88
4.8639,-0.2369,-0.0108,0.6238
4.8839,-0.1368,-0.4937,0.0552
4.9039,-0.6867,0.1567,-0.9978
4.9239,-0.8074,-0.0577,-0.6923
4.9439,-0.5702,-0.5794,-0.2306
4.9639,-0.2987,-0.7013,0.0827
4.9839,-0.1477,-0.6677,0.1923
5.0039,-0.0148,-0.65,0.18
5.0239,0.1187,-0.6113,0.05
5.0439,0.2574,-0.2077,0.1074
5.0639,0.21,0.4958,0.1008
5.0839,0.3104,1.1218,0.01
5.1039,0.595,1.805,-0.4775
5.1239,0.5567,1.3667,0.223
5.1439,0.5132,1.37,0.3932
5.1639,0.3158,1.0658,0.09
5.1839,0.11,1.3585,-0.0196
5.2039,0.12,1.52,-0.0983
5.2239,0.5225,-0.8505,-0.1575
5.2439,0.2582,-1.2306,0.0718
5.2639,-0.0111,-0.4958,0.15
5.2839,-0.13,-0.23,0.09
5.3039,-0.1488,-0.22,0.09
5.3239,-0.2222,-0.5303,0.3
5.3439,0.1532,-0.6434,0.3632
5.3639,0.3168,-0.0995,0.7468
5.3839,0.3,-0.0175,0.5976
5.4039,0.1334,0.1666,0.2167
5.4239,-0.06,0.4139,-0.1061
5.4439,0.0433,0.0268,-0.18
5.4639,0.11,-0.35,-0.05
5.4839,0.08,-0.2941,0.04
5.5039,0.04,-0.1471,0.06
5.5239,-0.0152,0.0352,0.03
5.5439,-0.05,0.07,0.0264
5.5639,-0.0541,0.1,0.03
5.5839,-0.0406,0.1,0.0394
5.6039,-0.04,0.11,0.03
5.6239,-0.03,0.18,0.02
5.6439,0.0,0.15,0.0043
5.6639,0.02,0.12,-0.01
5.6839,0.01,0.12,-0.0265
5.7039,0.01,0.08,-0.03
5.7239,0.02,0.04,-0.03
5.7439,0.02,0.01,-0.02
5.7639,0.03,0.0,-0.01
5.7839,0.03,0.0,-0.01
5.8039,0.01,-0.01,-0.0219
5.8239,0.01,-0.04,-0.02
5.8439,0.02,-0.07,-0.01
5.8639,0.02,-0.07,0.0
5.8839,0.01,-0.06,0.0
5.9039,0.0,-0.06,0.0
5.9239,0.0,-0.0534,0.0
5.9439,0.0,-0.03,0.0
5.9639,-0.01,0.01,0.0
5.9839,-0.01,0.02,0.0
6.0039,-0.0105,0.03,0.0
6.0239,-0.0117,0.05,0.0
6.0439,-0.01,0.0561,0.0
6.0639,-0.0026,0.05,0.0
6.0839,-0.0039,0.05,0.0
6.1039,-0.01,0.0814,0.0
6.1239,-0.0252,0.12,0.02
6.1439,-0.03,0.13,0.03
6.1639,-0.02,0.11,0.03
6.1839,-0.0161,0.1,0.02
6.2039,-0.01,0.09,0.01
6.2239,0.01,0.04,-0.02
6.2439,0.02,0.0,-0.03
6.2639,0.0149,0.0,-0.02
6.2839,0.01,-0.0297,0.0
6.3039,0.01,-0.041,0.0
6.3239,0.01,-0.07,0.01
6.3439,0.0,-0.06,0.01
6.3639,-0.01,-0.04,0.0
6.3839,-0.01,-0.04,0.0
6.4039,-0.01,-0.0498,0.0
6.4239,0.0,-0.04,0.0
6.4439,-0.0044,0.0,0.0
6.4639,-0.01,0.01,0.0
6.4839,0.0,0.01,0.0
6.5039,0.0,0.02,0.0
6.5239,0.0,0.0245,0.0
6.5439,0.0,0.03,-0.01
6.5639,0.0,0.05,-0.0282
6.5839,-0.0047,0.04,-0.02
6.6039,-0.0016,0.04,-0.02
6.6239,0.01,0.0,0.0
6.6439,0.01,-0.01,0.0
6.6639,-0.01,0.0,0.0
6.6839,-0.01,0.0,0.0
6.7039,-0.0071,0.0,0.0
6.7239,0.0,-0.01,0.0
6.7439,0.0,-0.01,0.0
6.7639,0.0,-0.01,0.0
6.7839,-0.0057,-0.0243,0.0
6.8039,0.0,-0.02,0.0
6.8239,0.0,0.0,0.0
6.8439,0.0,0.0,-0.01
6.8639,0.0,-0.01,-0.0044
6.8839,0.0035,-0.01,0.0
6.9039,0.0,-0.01,0.0
6.9239,0.0,0.0,0.0
6.9439,0.0,0.01,0.0
6.9639,0.0,0.01,-0.01
6.9839,0.0,0.0,-0.0067
7.0039,0.0,0.0,0.0
7.0239,0.0,0.01,0.0
7.0439,0.0,0.0,-0.01
7.0639,0.0,0.0,-0.002
7.0839,0.0,0.0,-0.0051
7.1039,0.0,0.0,-0.01
7.1239,0.0,0.0059,-0.0041
7.1439,0.0,0.0,0.0
7.1639,0.0,-0.01,-0.0037
7.1839,0.0067,-0.01,0.0
