time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.006,0.122,0.3173,0.1047,0.356
4.026,-1.1641,0.7193,-1.5454,2.2018
4.046,-1.0127,-3.4026,-1.949,4.0642
4.066,0.7766,-0.1848,0.309,0.94
4.086,0.7795,0.8884,1.8317,2.1805
4.106,1.1724,0.6817,0.5772,1.4817
4.126,1.4097,1.6725,0.0011,2.189
4.146,0.5663,2.7657,0.3925,2.8536
4.166,0.4294,0.4602,-0.0728,0.6599
4.186,-0.4419,-0.7634,-1.7418,1.9658
4.206,-1.1416,-1.1555,-1.5056,2.2223
4.226,-1.3366,-3.7698,-0.3933,4.0231
4.246,-0.6019,2.4914,-0.6689,2.7384
4.266,0.3571,2.6602,-0.7633,2.8128
4.286,0.4781,1.7361,-1.2529,2.1949
4.306,-0.2792,-0.3206,-0.3574,0.566
4.326,0.0488,-0.0369,0.1555,0.1958
4.346,-0.4598,4.0574,-4.2137,5.8743
4.366,1.3234,0.3741,0.2117,1.411
4.386,1.478,1.6324,-1.5171,2.8517
4.406,0.3661,-0.1974,-1.5828,2.1552
4.426,-1.9168,-2.6588,0.8857,3.481
4.446,-0.5391,-1.6789,2.3286,2.9306
4.466,-0.4855,0.7397,-0.4162,1.0192
4.486,-0.8936,-0.88,-0.9731,1.6165
4.506,0.7321,-0.9775,-0.0292,1.4391
4.526,2.0479,1.8308,0.5435,2.8024
4.546,-0.7183,0.136,0.5393,1.1407
4.566,-0.4993,0.1337,-0.3979,0.6543
4.586,-0.9771,-0.6047,-1.1608,1.6474
4.606,-0.4341,-0.3279,0.1559,0.5726
4.626,-0.9221,-2.1858,-0.5539,2.4655
4.646,0.7431,0.4229,-0.4285,0.9949
4.666,2.4762,0.3624,0.3043,2.5458
4.686,0.4159,-0.5338,0.3065,0.7817
4.706,-0.2845,-0.5947,-0.1612,0.7324
4.726,0.9643,0.2883,-0.857,1.3257
4.746,1.0724,-0.7336,0.3611,1.3518
4.766,2.0509,-0.6655,0.0846,2.1657
