time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0032,-0.93,-1.61,0.49
4.0232,-1.2106,-2.2912,0.72
4.0432,-2.3881,-4.0219,0.8595
4.0632,-3.77,-7.2687,1.1987
4.0832,-4.439,-7.0891,1.7735
4.1032,-0.4591,-0.2103,0.7552
4.1232,0.894,0.6133,0.5847
4.1432,1.06,1.3636,0.3291
4.1632,0.6824,2.5963,0.3418
4.1832,-0.26,2.3816,-0.1553
4.2032,0.1465,1.7171,-0.2318
4.2232,0.46,1.5843,-0.3636
4.2432,0.2752,1.8774,-0.3674
4.2632,-0.08,1.9938,-0.2838
4.2832,0.1382,1.8491,-0.1691
4.3032,0.3895,2.0191,-0.2586
4.3232,0.4919,2.0681,-0.17
4.3432,0.4939,2.0278,-0.22
4.3632,0.4364,1.6691,-0.3636
4.3832,0.3622,1.0706,-0.3884
4.4032,0.2944,0.6744,-0.3
4.4232,0.21,0.54,-0.27
4.4432,0.27,0.63,-0.0576
4.4632,0.1154,0.4563,-0.01
4.4832,-0.053,-0.209,0.02
4.5032,-0.1464,-0.5228,-0.0264
4.5232,-0.1454,-0.1508,-0.1446
4.5432,-0.11,-0.2038,-0.25
4.5632,-0.07,-0.1699,-0.25
4.5832,0.01,0.0019,-0.329
4.6032,0.1,0.6365,0.0143
4.6232,0.15,0.6425,0.03
4.6432,0.17,0.3268,-0.0783
4.6632,0.15,-0.0567,-0.28
4.6832,0.15,-0.0231,-0.2856
4.7032,-0.1039,-0.3518,-0.37
4.7232,-0.1193,-0.3393,-0.33
4.7432,-0.03,-0.13,-0.3829
4.7632,0.0394,-0.2722,-0.5911
4.7832,-0.1207,-0.9978,-0.7093
4.8032,-0.04,-1.1944,-0.9044
4.8232,-0.0022,-1.2883,-1.02
4.8432,-0.2337,-1.6681,-1.1881
4.8632,-0.4102,-1.37,-0.8095
4.8832,-0.4753,-1.1406,-0.5247
4.9032,-0.188,-0.808,-0.61
4.9232,-0.0125,-0.3787,-0.4587
4.9432,-0.0285,-0.3708,-0.4508
4.9632,-0.39,0.0035,-0.8844
4.9832,-0.4998,-0.2998,-1.0799
5.0032,-0.7426,-0.4914,-0.84
5.0232,-0.1206,-0.1564,-0.5753
5.0432,-0.1154,0.0062,-0.55
5.0632,-1.1156,-0.3152,-0.14
5.0832,-0.0595,-0.8122,-0.2161
5.1032,0.482,-0.412,-0.3
5.1232,-0.14,0.55,-0.26
5.1432,-0.15,0.5396,-0.2596
