time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0058,-1.2585,0.0937,0.2013,1.278
4.0258,0.3198,1.2396,0.2621,1.3753
4.0458,0.4165,0.8254,0.146,1.0171
4.0658,-0.416,-0.2471,0.2539,0.6848
4.0858,-0.1815,-0.0752,-0.5417,0.5852
4.1058,-0.1084,1.0975,-0.7278,1.331
4.1258,0.5326,1.2743,0.0359,1.3902
4.1458,1.4805,-1.3765,0.3045,2.0467
4.1658,0.4928,-1.5947,-0.5634,1.7642
4.1858,-0.3395,1.1909,-0.8969,1.533
4.2058,-2.2554,2.5087,-0.2517,3.4031
4.2258,-0.1694,-2.1287,-0.5801,2.2274
4.2458,0.3798,-0.482,-0.5006,0.8821
4.2658,0.969,-1.4862,0.1327,1.7995
4.2858,0.6022,0.0696,-0.7353,0.9672
4.3058,-0.3823,1.361,-2.2546,2.6629
4.3258,-1.5706,0.1216,-3.144,3.5244
4.3458,-1.0649,1.156,-3.19,3.5879
4.3658,0.5972,-6.5911,1.7659,7.044
4.3858,-0.7783,-4.5103,10.813,11.7516
4.4058,-0.2058,-0.8705,-1.8397,2.1076
4.4258,0.5556,-0.9492,-3.6827,3.8482
4.4458,1.1266,-0.3713,0.5315,1.3111
4.4658,1.0253,-0.8423,0.6435,1.4763
4.4858,1.1526,0.1145,1.129,1.6201
4.5058,0.9535,-0.5097,0.1392,1.1024
4.5258,0.2058,-0.744,0.6629,1.0186
4.5458,-0.1387,-0.89,-0.3324,0.9626
4.5658,0.0814,-0.2875,-0.2521,0.3922
4.5858,0.4555,0.1394,-0.2511,0.5538
4.6058,0.4158,0.1969,0.024,0.4675
4.6258,0.2175,-0.3272,0.2757,0.4825
4.6458,-0.4375,0.1704,0.559,0.7302
4.6658,-0.3009,-0.4264,0.0639,0.5261
4.6858,-0.0854,-0.5982,-0.2288,0.6559
4.7058,-0.187,-0.528,0.1276,0.5742
4.7258,-0.044,-0.7618,0.2028,0.7927
4.7458,-0.0292,-0.7988,0.1801,0.8226
4.7658,-0.3925,-0.8734,-0.3131,1.0089
4.7858,-0.4806,-0.0865,-0.5221,0.7153
4.8058,-0.3198,-0.3348,-0.6282,0.7804
4.8258,-0.3944,-0.7592,-0.0753,0.8628
4.8458,-0.7172,-0.9967,-0.2508,1.2626
4.8658,-0.6471,0.0292,-0.595,0.8983
4.8858,-0.5867,0.6123,-0.5014,0.9852
4.9058,-0.3054,0.3445,-0.6431,0.7985
4.9258,-0.2548,0.8222,-0.4341,0.9754
4.9458,-0.4066,1.2851,-0.9872,1.673
4.9658,-0.5335,1.2159,-1.3066,1.8629
4.9858,-0.8677,1.172,-0.8009,1.665
5.0058,-0.6751,1.4857,-0.7272,1.7886
5.0258,-0.5778,1.3525,-0.8155,1.6821
5.0458,-0.2562,0.5983,0.0434,0.6548
5.0658,-0.1473,0.6446,-0.1251,0.6728
5.0858,-0.2461,0.8222,-1.0,1.3176
5.1058,-0.3109,1.0075,-1.286,1.6634
5.1258,-0.7963,0.6897,-0.8889,1.3813
5.1458,-1.1112,0.3809,-0.5791,1.3117
5.1658,-1.9642,-0.212,-0.0641,1.9785
5.1858,-1.4051,-0.1779,0.1225,1.4218
5.2058,-0.5269,0.141,-0.1399,0.5649
5.2258,-0.1727,0.053,-0.3423,0.387
5.2458,-0.0312,-0.3221,-0.1145,0.3442
5.2658,0.0509,-0.5177,-0.1566,0.544
5.2858,0.4199,-0.686,-0.6951,1.0633
5.3058,0.3163,-0.4939,-0.4378,0.7324
5.3258,0.0986,-0.377,0.1802,0.4531
5.3458,-0.0903,-0.1314,0.6326,0.6529
5.3658,0.1744,-0.225,0.2903,0.4101
5.3858,0.3398,-0.7316,-0.0465,0.8083
5.4058,0.5161,-0.9488,-0.1395,1.0888
5.4258,0.5046,-0.7089,0.0194,0.8709
5.4458,0.0538,-0.3924,0.4282,0.5914
