time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0035,0.06,-0.03,-0.02
4.0235,0.07,-0.07,-0.01
4.0435,0.07,-0.0402,-0.01
4.0635,0.03,0.0332,-0.03
4.0835,0.02,0.06,-0.03
4.1035,0.0197,0.02,-0.0197
4.1235,-0.01,0.02,0.01
4.1435,-0.06,0.01,0.04
4.1635,-0.04,-0.03,0.05
4.1835,-0.05,0.01,0.05
4.2035,-0.005,0.03,0.03
4.2235,0.07,-0.0394,-0.01
4.2435,0.07,-0.06,-0.01
4.2635,-0.01,-0.0182,0.02
4.2835,0.0,0.0,-0.0067
4.3035,0.0,0.0005,-0.05
4.3235,0.01,-0.02,-0.04
4.3435,-0.0341,0.0,-0.04
4.3635,-0.1768,0.1268,-0.03
4.3835,-0.1283,0.16,-0.03
4.4035,-0.042,0.218,-0.078
4.4235,0.0186,0.21,-0.11
4.4435,0.08,0.139,-0.06
4.4635,0.0845,0.08,-0.03
4.4835,0.08,0.05,-0.01
4.5035,0.31,-0.17,-0.0656
4.5235,0.1104,-0.32,-0.0035
4.5435,-0.124,-0.26,0.0
4.5635,-0.1,-0.281,0.01
4.5835,-0.05,-0.1964,-0.0318
4.6035,-0.2071,0.2819,-0.2478
4.6235,-0.0366,0.3734,-0.0167
4.6435,0.1419,0.47,-0.0081
4.6635,0.21,0.4612,0.1688
4.6835,0.29,0.2325,0.4075
4.7035,0.29,0.186,0.428
4.7235,0.12,0.3491,0.1903
4.7435,0.3702,0.8581,-0.068
4.7635,-0.5002,0.9159,-0.4741
4.7835,-0.6347,0.0093,-0.833
4.8035,-0.5178,-0.1115,-0.9622
4.8235,-0.05,-0.3579,-2.0534
4.8435,-0.19,0.4997,-2.6797
4.8635,0.0155,0.14,-2.6845
4.8835,-0.066,2.1984,-1.8099
4.9035,0.096,2.5494,-1.6447
4.9235,0.4236,0.3222,-1.0607
4.9435,0.0504,-0.9184,-0.8
4.9635,0.3837,-1.9575,-1.0437
4.9835,0.2868,-2.0268,-1.1265
5.0035,0.1915,-1.9115,-1.17
5.0235,0.0403,0.1295,-0.4097
5.0435,0.0035,0.4459,-0.2435
