time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0054,0.8079,-0.7139,0.7081,1.29
4.0254,0.8685,-0.1105,-0.0904,0.8805
4.0454,0.4242,-0.1672,-0.8779,0.9911
4.0654,0.0422,-0.3018,-1.3384,1.3739
4.0854,-0.3943,-0.5321,-1.0487,1.2422
4.1054,-0.2345,-0.1895,-0.0979,0.3318
4.1254,0.0405,-0.1336,0.5409,0.5593
4.1454,0.0706,-0.1641,0.7462,0.7677
4.1654,-0.2768,1.1294,0.052,1.1676
4.1854,-0.1853,1.8747,-0.5756,1.9703
4.2054,-0.1063,1.0435,-0.4445,1.1398
4.2254,-0.2213,-0.0472,-0.4824,0.5525
4.2454,-0.5643,-1.3555,-0.7806,1.6732
4.2654,-1.1208,0.3745,0.4858,1.2782
4.2854,-0.9309,-0.1472,0.1014,0.9765
4.3054,-1.088,-0.5329,0.0465,1.2447
4.3254,-2.7504,0.8951,-0.3501,2.915
4.3454,-2.4477,-1.2124,0.5378,2.7942
4.3654,0.2043,-1.7743,0.5722,1.8761
4.3854,2.0478,-0.695,0.3356,2.1895
4.4054,1.6765,-0.4801,0.0076,1.7464
4.4254,-1.0117,-0.0456,-0.6483,1.218
4.4454,-1.2267,0.8124,0.6175,1.5983
4.4654,-1.2705,0.5793,1.0747,1.7644
4.4854,1.0671,0.1375,1.8093,2.114
4.5054,3.4487,0.8417,1.6402,3.9123
4.5254,2.3848,0.1931,-0.0094,2.4495
4.5454,0.7217,0.0943,-1.9835,2.1135
4.5654,1.0759,-0.0122,-0.9458,1.4532
4.5854,2.0042,-0.3996,0.1782,2.0531
4.6054,3.0683,0.4277,-0.4301,3.1332
4.6254,1.911,0.9248,-0.7201,2.2442
4.6454,-1.9767,0.0554,-1.9977,2.8132
4.6654,-2.824,-0.0888,-3.0313,4.1463
4.6854,-0.4676,-0.2105,0.0289,0.74
4.7054,4.3577,1.0813,-1.3741,4.6995
4.7254,1.4364,1.2916,0.0803,2.0357
4.7454,-1.2007,0.7007,-1.2945,1.9233
4.7654,-1.0575,-0.4069,-2.8631,3.0893
4.7854,-1.1069,-1.2498,-0.889,1.9141
4.8054,0.3995,-3.1849,0.7396,3.2972
4.8254,-0.865,-2.4402,1.5396,3.0152
4.8454,-2.5726,-1.9021,0.1356,3.2096
4.8654,-3.2778,-1.0268,0.6708,3.5187
4.8854,-3.4441,-0.016,0.9881,3.5854
4.9054,-1.7312,-0.631,0.5386,1.9212
4.9254,-0.8001,-1.5735,-1.318,2.2094
4.9454,-0.4753,-2.7623,-0.4207,2.8344
4.9654,0.239,-1.9474,1.3034,2.3703
4.9854,0.7472,-2.3846,2.8432,3.7881
5.0054,2.5357,-2.0126,2.8514,4.3206
5.0254,2.2395,-0.1932,2.6275,3.4623
5.0454,2.3927,-0.3758,1.8273,3.0665
5.0654,1.5847,0.287,0.0462,1.6517
5.0854,0.1425,1.2452,-0.9765,1.6057
5.1054,-1.3879,1.7334,-1.3249,2.5858
5.1254,-1.9502,1.3519,-1.286,2.6999
5.1454,-2.3117,1.0978,-0.9997,2.7476
5.1654,-1.5794,0.5837,-0.6906,1.8205
5.1854,-0.6819,0.1434,-0.416,0.8128
5.2054,-0.0304,-0.0191,0.0905,0.097
5.2254,-0.1933,0.0263,0.4452,0.4864
5.2454,-0.5857,-0.2652,1.1264,1.2972
5.2654,-0.3783,-0.1757,1.6265,1.679
5.2854,-0.4445,-0.0556,1.1699,1.2539
5.3054,-0.5342,0.0384,0.3312,0.6366
5.3254,-0.4454,0.3327,-0.2583,0.6143
5.3454,-0.5394,0.1238,-0.5972,0.8146
5.3654,-0.1953,0.0808,-1.0264,1.0482
5.3854,0.1805,-0.1431,-1.2111,1.2328
5.4054,0.4203,-0.0561,-1.3126,1.3797
5.4254,0.4766,-0.2502,-1.0529,1.1826
5.4454,0.3974,-0.3256,-0.5795,0.7767
5.4654,0.2047,-0.3287,-0.1809,0.4276
5.4854,0.0703,-0.2751,0.0599,0.2902
5.5054,0.1248,-0.2811,0.2307,0.3847
5.5254,0.1142,-0.5401,-0.0633,0.5576
5.5454,0.0002,-0.1349,-0.1421,0.2032
5.5654,-0.4656,0.4736,-0.5829,0.8867
5.5854,-0.7376,0.6452,-0.0819,0.9899
5.6054,-0.4571,-0.7506,0.4849,1.0904
5.6254,-0.4737,0.7238,0.1172,0.9176
5.6454,-0.9001,1.3569,0.5833,1.7308
5.6654,-0.9012,0.7275,-0.4488,1.2523
5.6854,-0.4265,0.1902,0.0104,0.5199
5.7054,0.4523,-1.3144,-0.2378,1.411
5.7254,1.1684,-1.2195,0.3243,1.7213
5.7454,0.6106,-0.344,0.8394,1.0973
5.7654,-0.0115,-0.4367,0.3073,0.5468
5.7854,0.1739,-0.4538,-0.6707,0.831
5.8054,0.1262,0.0051,-0.3041,0.3309
5.8254,-0.1043,-0.0775,-0.0603,0.1464
5.8454,-0.0935,0.0378,-0.1143,0.1588
5.8654,0.2161,-0.4225,-0.6277,0.7873
5.8854,0.4102,-0.7342,-0.771,1.1427
5.9054,0.8841,-1.351,0.5258,1.7094
5.9254,0.3765,0.2032,0.1896,0.5235
5.9454,-0.3465,1.0793,0.1097,1.1447
5.9654,-0.5447,0.0886,-0.0359,0.5543
5.9854,-0.3603,0.1616,-0.3867,0.5543
6.0054,0.0057,-0.1436,-0.3277,0.3597
6.0254,0.2057,-0.301,-0.026,0.3658
6.0454,0.1533,-0.2924,0.184,0.3789
6.0654,-0.0831,-0.0835,0.062,0.1363
6.0854,-0.2883,0.0794,-0.0408,0.3022
6.1054,-0.3918,0.1595,0.0042,0.4234
6.1254,-0.6219,0.3245,0.1781,0.7239
6.1454,-0.5933,0.2972,0.2248,0.7004
6.1654,-0.5484,0.2259,0.2631,0.649
6.1854,-0.4589,0.1674,0.094,0.4976
6.2054,-0.4436,0.1194,-0.0656,0.4643
6.2254,-0.3495,0.2137,-0.1527,0.4376
6.2454,-0.2723,0.1658,-0.1863,0.3695
6.2654,-0.1444,0.072,-0.1909,0.2501
6.2854,-0.1054,0.038,-0.1261,0.1714
6.3054,0.0204,0.0373,-0.2928,0.2958
6.3254,0.0566,-0.0731,-0.1984,0.2189
6.3454,0.0162,-0.1244,-0.0285,0.1305
6.3654,-0.0217,-0.1441,0.0703,0.1623
6.3854,-0.0551,-0.103,0.1267,0.1723
6.4054,-0.1097,-0.0922,0.2236,0.2653
6.4254,-0.2139,-0.0252,0.1504,0.2637
6.4454,-0.1036,0.0306,0.0051,0.1085
6.4654,0.1455,-0.0908,-0.0035,0.1718
6.4854,0.1471,-0.1818,0.0271,0.2354
6.5054,0.0465,-0.2384,0.0469,0.2476
6.5254,-0.0158,-0.169,0.0271,0.1716
6.5454,0.0142,-0.0482,-0.0672,0.0856
6.5654,0.0361,-0.0047,-0.08,0.0878
6.5854,0.024,-0.0663,0.0081,0.0718
6.6054,0.0441,-0.1461,0.0408,0.1578
6.6254,0.0613,-0.1164,-0.0756,0.1521
6.6454,0.0874,-0.1339,-0.1125,0.1959
6.6654,0.1542,-0.176,-0.0607,0.2418
6.6854,0.1593,-0.1641,-0.0504,0.2347
6.7054,0.1445,-0.1254,-0.066,0.2023
6.7254,0.0816,-0.0645,-0.1095,0.1511
6.7454,0.0394,-0.0464,-0.0989,0.1162
6.7654,0.0312,-0.0743,-0.026,0.085
6.7854,0.0514,-0.0422,0.0142,0.0678
6.8054,0.0993,-0.0144,-0.0218,0.1027
6.8254,0.0884,-0.0291,-0.1365,0.165
6.8454,0.0652,-0.1141,-0.1005,0.1657
6.8654,-0.0257,-0.1113,-0.0474,0.124
6.8854,-0.0706,0.0035,-0.1123,0.133
6.9054,-0.0893,0.043,-0.1377,0.1695
6.9254,-0.044,0.0004,-0.141,0.1485
6.9454,0.0398,-0.1386,-0.0623,0.1575
6.9654,0.0925,-0.0829,0.0437,0.1336
6.9854,-0.0058,-0.0294,0.0978,0.1037
7.0054,-0.0706,0.0169,0.0354,0.0819
7.0254,0.0052,-0.0224,-0.0662,0.0718
7.0454,0.1622,-0.0179,-0.0646,0.179
7.0654,0.0695,-0.0968,-0.0288,0.1238
7.0854,0.1146,-0.0725,-0.0094,0.136
7.1054,-0.0139,-0.0813,-0.0477,0.0974
7.1254,-0.0821,-0.1005,-0.027,0.133
7.1454,0.0083,-0.0089,-0.1352,0.137
7.1654,0.0688,0.012,-0.1711,0.1853
7.1854,0.1165,-0.0678,-0.136,0.1928
7.2054,0.1559,-0.0952,-0.1024,0.2102
