time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0031,0.1,-1.41,1.64
4.0231,0.02,-1.2312,1.5156
4.0431,-0.0895,-1.0405,1.3705
4.0631,-0.2903,-0.8293,1.1997
4.0831,-0.5576,-0.5424,0.9624
4.1031,-0.7764,-0.3736,0.6872
4.1231,-0.9573,-0.2255,0.3355
4.1431,-1.1109,0.1419,-0.0019
4.1631,-1.3448,0.5695,-0.3695
4.1831,-1.4534,0.7369,-0.6303
4.2031,-1.406,0.6179,-1.0781
4.2231,-1.0593,-0.0545,-1.2531
4.2431,-0.432,-0.68,-0.816
4.2631,-0.24,-0.0864,0.1736
4.2831,-0.1297,0.6007,0.9207
4.3031,0.2136,0.6491,1.0664
4.3231,0.1646,0.28,0.8946
4.3431,-0.5333,0.6827,0.4294
4.3631,-1.2036,0.3364,-0.5838
4.3831,-1.39,-0.4504,-1.2476
4.4031,-0.9768,-1.7679,-0.7716
4.4231,0.3761,-2.0277,0.2449
4.4431,0.4239,0.308,0.3304
4.4631,-0.2189,1.8589,-0.3482
4.4831,-0.48,1.795,-0.885
4.5031,-0.2238,0.6975,-1.4487
4.5231,0.1689,0.0156,-1.6889
4.5431,0.35,0.2752,-1.9807
4.5631,-0.3273,2.4343,-2.1475
4.5831,-0.7759,3.1659,-2.1196
4.6031,-1.5,1.6679,-1.2288
4.6231,-1.2117,0.4672,-0.4117
4.6431,-0.5321,-0.4179,-0.0105
4.6631,-0.1903,-0.6403,0.2294
4.6831,-0.1907,-0.3578,0.2893
4.7031,-0.3189,-0.0011,-0.0478
4.7231,-0.4916,0.1692,-0.4116
4.7431,-0.7431,0.17,-0.6831
4.7631,-0.87,0.15,-0.8294
4.7831,-0.8578,-0.0144,-0.8822
4.8031,-0.7835,-0.3265,-0.7935
4.8231,-0.76,-0.0079,-0.71
4.8431,-0.7091,0.6026,-0.73
4.8631,-0.3958,0.7458,-0.79
4.8831,-0.0561,0.3841,-0.77
4.9031,0.0629,0.05,-0.68
4.9231,-0.08,0.2622,-0.5878
4.9431,-0.0326,0.5274,-0.2852
4.9631,0.0771,0.6671,-0.12
4.9831,0.2581,0.5178,-0.17
5.0031,0.48,-0.0997,-0.1103
5.0231,0.6787,-0.2491,0.5478
5.0431,1.4951,-0.5561,1.2261
5.0631,2.1532,-0.8232,1.4832
5.0831,2.0786,-0.9328,1.8941
5.1031,1.99,-1.0901,2.3803
5.1231,2.0685,-0.893,2.4815
5.1431,2.11,-0.1213,2.015
5.1631,2.16,1.0815,1.5008
5.1831,2.067,1.67,1.0755
5.2031,2.0502,1.67,1.0503
5.2231,0.966,-0.458,0.688
5.2431,0.8,-0.8626,0.9249
5.2631,0.83,-0.6642,1.4073
5.2831,0.8224,-0.6676,1.5876
5.3031,0.4704,-1.2245,1.5352
5.3231,0.1161,-1.463,1.2561
5.3431,-0.0918,-1.0129,0.8547
5.3631,-0.147,-0.279,0.486
5.3831,-0.17,0.1029,0.2685
5.4031,-0.3329,0.3958,-0.1058
5.4231,-0.6034,0.7134,-0.4701
5.4431,-0.9602,1.0001,-0.8604
5.4631,-1.2861,1.2287,-1.4448
