time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0029,1.4227,-0.5295,0.9089,1.769
4.0229,2.1205,0.5518,1.2612,2.5353
4.0429,1.461,0.9038,0.5598,1.8089
4.0629,-0.4782,-2.4267,-0.8711,2.6223
4.0829,-1.1872,-4.0512,-0.7667,4.2942
4.1029,-2.684,-4.7287,0.427,5.4565
4.1229,-1.4335,-2.4401,1.0014,3.0206
4.1429,0.4253,-1.0533,1.5835,1.9605
4.1629,1.1163,1.1848,-0.0452,1.6584
4.1829,0.2994,3.8385,-0.0975,3.8546
4.2029,-1.744,1.7686,-1.2597,2.8275
4.2229,-3.0159,-1.0641,-1.5119,3.5433
4.2429,-1.7419,0.9378,1.009,2.2671
4.2629,-0.2968,0.1346,1.3469,1.4025
4.2829,0.6788,-0.8888,-0.3493,1.1781
4.3029,0.9642,-0.9319,-1.3088,1.8743
4.3229,0.3235,-0.4437,-0.7043,0.8933
4.3429,-0.3373,-0.2174,-0.5119,0.6528
4.3629,-0.3117,-0.0097,-0.6534,0.7256
4.3829,-0.6123,-0.1099,0.0407,0.6364
4.4029,-0.619,-0.3181,0.6476,0.9514
4.4229,-0.4214,-0.3807,0.0782,0.5779
4.4429,-0.4728,-0.162,-0.3978,0.641
4.4629,-0.5101,0.019,-0.3915,0.6433
4.4829,-0.6634,0.0379,-0.2264,0.7021
4.5029,-0.5794,0.1392,0.0683,0.6014
4.5229,-0.5921,0.2519,0.2973,0.7094
4.5429,-0.5533,0.3055,0.628,0.8908
4.5629,-0.5224,0.1962,0.4503,0.7182
4.5829,-0.3672,-0.1376,0.1682,0.4269
4.6029,-0.517,0.0192,0.1644,0.543
4.6229,-0.5016,0.1649,0.1066,0.5391
4.6429,-0.5495,0.186,0.4698,0.7469
4.6629,-0.5885,-0.2732,0.5198,0.8331
4.6829,-0.4398,-0.5779,0.5266,0.8981
4.7029,-0.1697,-0.8064,0.7927,1.1444
4.7229,-0.0689,-0.7726,0.9699,1.2422
4.7429,-0.6777,-0.523,0.7565,1.1475
4.7629,-1.6703,-0.4562,0.443,1.7876
4.7829,-2.4587,-0.2194,0.5351,2.5266
4.8029,-2.9535,0.3304,0.7314,3.0605
4.8229,-3.7462,0.0673,0.8599,3.8447
4.8429,-4.0398,-0.3151,1.2428,4.2392
4.8629,-3.9662,-0.3148,1.7993,4.3667
4.8829,-4.67,-0.3979,1.7881,5.0163
4.9029,-4.869,-0.3448,1.4919,5.1037
4.9229,-4.0336,0.3873,1.6849,4.3889
4.9429,-3.6285,0.8304,2.0889,4.2688
4.9629,-2.8569,1.1197,2.4522,3.9295
4.9829,-0.9469,1.7973,2.2224,3.0198
5.0029,0.3367,1.9557,1.2241,2.3376
5.0229,1.1525,0.6346,0.1686,1.3471
5.0429,0.8347,-1.1835,-0.694,1.6131
5.0629,1.5976,-2.5398,-2.2189,3.7331
5.0829,2.7113,-3.2781,-3.76,5.6773
5.1029,2.562,-3.8315,-3.3099,5.6768
5.1229,0.8974,-3.02,-0.8186,3.266
5.1429,-0.9434,-1.7917,1.2538,2.4188
5.1629,-2.2305,0.2419,0.8029,2.3916
5.1829,-1.4573,0.9087,-0.3324,1.7552
5.2029,0.0815,0.852,-1.1688,1.4514
5.2229,0.9968,0.5606,-2.0441,2.3423
5.2429,1.7762,0.2268,-2.6753,3.2197
5.2629,2.9434,0.2974,-2.6615,3.9803
5.2829,3.8638,0.605,-2.5132,4.6492
5.3029,4.3893,0.696,-2.399,5.0504
5.3229,4.6461,0.8035,-2.2778,5.2365
5.3429,4.6733,1.0634,-2.2481,5.2941
5.3629,4.2413,1.8845,-1.9613,5.0395
5.3829,3.8624,2.2184,-1.5774,4.7251
5.4029,3.3964,1.3403,-0.1878,3.6586
5.4229,1.4122,-0.3424,3.1415,3.499
5.4429,-3.4095,-1.7937,8.0636,8.9395
5.4629,-8.9414,-2.6989,9.6803,13.457
5.4829,-13.6934,-1.9834,0.5767,13.8576
5.5029,-5.589,0.9014,1.8327,5.9588
5.5229,-1.5795,2.8113,1.2147,3.4497
5.5429,1.7903,2.466,-1.6419,3.4654
5.5629,3.0493,-1.5437,-2.641,4.3841
5.5829,2.1465,-6.9316,-3.587,8.095
5.6029,1.9698,-7.3028,-1.5363,7.7411
5.6229,2.9561,-9.2944,2.9811,10.2118
5.6429,5.544,-5.0479,-1.7542,7.7743
5.6629,6.9727,0.3226,-4.4883,8.3012
5.6829,6.9612,1.1859,-4.0259,8.1292
5.7029,5.8816,0.7845,-2.7361,6.5342
5.7229,4.7622,-0.6102,-3.106,5.7206
5.7429,1.8818,-1.8395,-4.0046,4.8124
5.7629,-0.8257,-2.5828,-3.8095,4.6904
5.7829,-2.9085,-1.0084,-0.1348,3.1413
5.8029,-3.4037,2.2531,2.8004,4.9612
5.8229,-2.6887,3.9081,1.243,4.9108
5.8429,-1.4198,3.4844,-1.6606,4.1275
5.8629,-0.9004,2.354,-2.7321,3.7168
5.8829,0.2878,0.5249,-0.226,0.6486
5.9029,1.2989,-1.3903,2.6741,3.2842
5.9229,0.2797,-1.1937,2.4028,2.6992
5.9429,-0.416,0.3231,0.1766,0.6227
5.9629,-0.7418,1.1336,-1.1606,1.7852
5.9829,-0.6308,0.9826,-1.6859,2.0504
6.0029,0.0506,-0.0495,0.435,0.4914
6.0229,0.3551,-1.721,3.4084,3.8355
6.0429,0.2156,-2.1493,2.9268,3.6383
6.0629,-0.6414,-1.3306,1.2035,1.9118
6.0829,-2.0451,-0.1825,1.5227,2.5607
6.1029,-4.5158,0.4697,1.2138,4.702
6.1229,-5.3823,2.2572,0.8877,5.9092
6.1429,-4.7741,3.1339,0.9901,5.7969
6.1629,-5.0934,-0.1888,2.1423,5.5349
6.1829,-7.1362,-1.9823,1.8662,7.6379
6.2029,-5.629,0.0314,1.8721,5.9399
6.2229,-3.9037,1.646,0.634,4.2905
6.2429,-3.0126,1.5799,-0.2137,3.4089
6.2629,-0.3996,-3.291,0.5282,3.3713
6.2829,2.0412,-8.0213,1.0759,8.348
6.3029,5.3799,-9.0295,-1.1503,10.5761
6.3229,6.9135,-7.9574,-4.0227,11.2841
6.3429,6.5221,-5.1418,-3.4696,9.0023
6.3629,4.3835,-1.3509,-2.0159,5.0163
