time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0043,2.25,-0.34,2.52
4.0243,0.8083,-1.2609,2.3123
4.0443,0.24,-1.2915,2.1358
4.0643,0.4,-1.7335,1.98
4.0843,0.45,-2.5963,1.9006
4.1043,0.59,-3.0246,1.5893
4.1243,0.57,-2.9146,1.4219
4.1443,0.257,-1.895,0.717
4.1643,-0.235,-0.855,0.25
4.1843,-0.5425,-0.055,-0.0825
4.2043,-0.6772,0.3889,-0.25
4.2243,-0.7869,0.93,-0.38
4.2443,-0.5294,0.8206,-0.5306
4.2643,-0.5237,1.0558,-0.7558
4.2843,-1.3919,1.3071,-1.2813
4.3043,-1.4648,1.7615,-1.9487
4.3243,-1.7646,0.6146,-0.653
4.3443,-1.4774,3.4775,-1.6413
4.3643,-0.5294,1.5528,-1.5082
4.3843,-0.48,0.5888,-1.35
4.4043,-0.7353,0.42,-1.4251
4.4243,-1.0125,0.2125,-1.82
4.4443,-0.5712,0.0744,-1.5667
4.4643,-0.5,0.3701,-1.0198
4.4843,-0.6766,0.3001,-0.7334
4.5043,-0.8087,-0.3451,-0.64
4.5243,-0.6559,-0.77,-0.6741
4.5443,-0.56,-0.6701,-0.72
4.5643,-0.6921,-0.4179,-0.7279
4.5843,-0.78,-0.763,-0.5628
4.6043,-0.65,-1.45,0.0709
4.6243,-0.6492,-0.4392,0.64
4.6443,-0.7147,1.4789,0.7653
4.6643,-0.4543,1.973,0.5573
4.6843,-0.5331,0.4393,-0.0992
4.7043,-0.4292,-0.0495,0.0505
4.7243,0.1364,0.3176,0.31
4.7443,0.5092,0.5496,0.27
4.7643,0.6617,0.63,0.24
4.7843,0.4116,0.4148,0.1616
4.8043,0.4051,-0.1326,0.12
4.8243,0.7192,-0.3654,0.0154
4.8443,0.6716,0.2845,-0.2523
4.8643,-0.142,0.7173,-0.9033
4.8843,-0.9889,0.9038,-1.6026
4.9043,-1.3697,1.0997,-2.2697
4.9243,-1.485,0.815,-1.64
4.9443,-1.0307,0.2684,-1.22
4.9643,-0.2511,-0.0022,-0.9733
4.9843,0.6181,0.03,-0.6388
5.0043,1.2203,0.0051,-0.0343
5.0243,1.5343,0.1481,0.6205
5.0443,2.214,0.667,1.5725
5.0643,2.7834,0.7566,2.1902
5.0843,2.5664,0.59,2.41
5.1043,1.9704,0.7174,2.1678
5.1243,1.3657,0.6929,1.6929
5.1443,0.1138,0.2279,0.8559
5.1643,-0.4074,-0.1351,0.2823
5.1843,0.0305,-0.3899,-0.1602
5.2043,1.4748,0.3048,-0.1282
5.2243,1.9296,1.7407,0.0702
5.2443,0.9569,2.0813,0.7344
5.2643,0.1963,0.9476,1.3006
5.2843,0.2153,-1.136,2.1107
5.3043,0.7264,-1.5641,2.8664
5.3243,0.99,-2.2851,2.935
5.3443,0.7616,-3.5268,2.4132
5.3643,0.5584,-3.8284,1.7936
5.3843,0.45,-3.0213,1.1842
5.4043,0.48,-2.2074,0.6374
5.4243,0.4144,-1.9231,0.4031
5.4443,0.022,-1.5,0.27
5.4643,-0.2684,-1.1039,0.1516
5.4843,-0.5173,-0.256,-0.0773
5.5043,-0.7385,0.5378,-0.3085
5.5243,-0.9632,0.7132,-0.5364
5.5443,-1.12,1.0621,-1.1241
5.5643,-1.2449,1.3917,-1.5932
5.5843,-1.8563,1.0037,-2.221
5.6043,-0.7032,1.7547,-1.5156
5.6243,-2.5097,0.6758,-0.5564
5.6443,-0.8542,2.343,-1.3212
5.6643,-0.3203,1.0076,-1.4832
5.6843,-0.3844,0.4688,-1.4244
5.7043,-0.5884,0.69,-1.5084
5.7243,-0.66,0.5173,-1.3373
5.7443,-0.721,0.391,-1.24
5.7643,-0.8843,0.7087,-1.1057
5.7843,-0.93,1.1407,-0.8746
5.8043,-1.0574,0.9253,-0.92
5.8243,-1.14,0.5748,-0.98
5.8443,-0.6598,-0.0867,-0.8433
5.8643,-0.4642,-0.7097,-0.5773
5.8843,-0.741,-1.9027,-0.2393
5.9043,-1.1498,-2.7898,0.109
5.9243,-1.2919,-2.037,0.7056
5.9443,-1.0855,0.2271,0.7652
5.9643,-0.2405,2.2932,0.5468
5.9843,0.4,1.5002,0.1351
6.0043,0.1219,0.2229,-0.07
6.0243,-0.18,0.2238,0.1776
6.0443,-0.003,0.343,0.2065
6.0643,0.2,0.2339,-0.0277
6.0843,0.21,0.26,-0.1521
6.1043,-0.0272,0.1128,-0.3358
6.1243,-0.4134,-0.2234,-0.7234
6.1443,-0.7239,-0.1344,-1.2456
6.1643,-0.7855,1.2064,-1.71
6.1843,-0.8448,1.0905,-1.6
6.2043,-1.08,1.11,-1.64
6.2243,-0.7923,0.6038,-1.403
6.2443,-0.4362,0.1562,-1.0362
6.2643,0.693,0.29,-0.3178
6.2843,1.1508,0.2454,0.3617
6.3043,1.5103,0.8204,0.9904
6.3243,2.1112,1.3547,1.6112
6.3443,2.63,1.672,2.6502
6.3643,2.3446,1.1265,3.1527
6.3843,1.9472,0.303,2.903
6.4043,1.3678,0.1269,1.6325
6.4243,0.5942,0.2862,0.9962
6.4443,0.4188,-0.1851,0.6237
6.4643,1.1305,0.2132,0.1724
6.4843,2.1537,2.2189,0.1758
6.5043,1.841,2.258,0.8555
6.5243,1.0128,1.3382,1.8158
6.5443,0.18,-0.1647,3.5213
6.5643,0.4761,-0.3282,3.632
6.5843,0.979,-1.9341,3.262
6.6043,1.0688,-3.9592,2.3731
6.6243,0.95,-4.5626,1.6771
6.6443,0.8129,-3.6074,0.8516
6.6643,0.648,-2.808,0.479
6.6843,0.4394,-2.4782,0.35
6.7043,0.112,-2.164,0.336
6.7243,-0.2805,-1.2975,0.25
6.7443,-0.41,-0.4062,0.27
6.7643,-0.5519,0.2737,0.2591
