time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0047,-0.8115,-4.6796,1.2721,4.917
4.0247,0.5438,-5.7293,1.9514,6.0791
4.0447,0.8209,-5.7094,2.4208,6.2557
4.0647,0.0022,-6.3043,2.6808,6.8533
4.0847,-0.7352,-5.5399,3.9866,6.8708
4.1047,-1.344,-3.7942,4.8558,6.314
4.1247,-0.9013,-1.1754,6.1684,6.3522
4.1447,-0.4709,0.0905,7.5236,7.5391
4.1647,-0.0034,-0.6723,4.5594,4.6112
4.1847,1.2557,-3.0472,0.1176,3.3294
4.2047,0.7818,-1.8135,-3.9937,4.4708
4.2247,1.6678,0.6669,-3.3402,3.8002
4.2447,1.5479,0.4248,-7.4549,7.6256
4.2647,1.7195,0.3823,-8.4398,8.6224
4.2847,-1.1101,1.4723,-6.2784,6.5601
4.3047,-0.2726,0.1093,1.8872,1.9919
4.3247,0.7199,0.0903,9.2261,9.2568
4.3447,0.7055,-1.0302,-0.3863,1.363
4.3647,0.6755,-0.0573,-6.8214,6.8558
4.3847,1.4344,0.4355,-6.6038,6.7716
4.4047,1.3381,0.8672,-4.7022,4.9653
4.4247,1.5206,0.9756,-4.0856,4.4739
4.4447,1.8265,1.5633,-3.1295,3.9489
4.4647,2.7288,4.0496,-2.5917,5.5294
4.4847,2.6138,6.1756,-2.509,7.16
4.5047,1.8574,6.4601,-3.3896,7.5285
4.5247,0.8686,4.9933,-2.9461,5.8625
4.5447,-0.2699,3.4198,-0.9397,3.5673
4.5647,-1.2726,2.3078,3.1188,4.1361
4.5847,-4.0731,0.7474,5.3484,6.792
4.6047,-4.5648,-0.5026,2.1193,5.0994
4.6247,5.9466,-3.5768,2.5707,7.4505
4.6447,7.483,-9.1572,-0.6326,11.8462
4.6647,4.846,-10.1327,-2.2637,11.4644
4.6847,0.164,-1.3684,-3.4757,3.8278
4.7047,-0.7095,1.2459,-6.0778,6.246
4.7247,-0.2596,-0.1938,-5.47,5.4825
4.7447,0.2339,-2.4853,-3.4154,4.2366
4.7647,-0.2996,-3.3644,-1.8349,3.844
4.7847,-1.2223,-3.0736,-0.2632,3.3271
4.8047,-2.047,-0.8453,0.7635,2.3574
4.8247,-1.1738,1.6957,0.6668,2.1928
4.8447,0.4243,3.5947,0.6249,3.6779
4.8647,0.7661,3.2551,0.9498,3.4768
4.8847,0.8719,2.5238,0.9041,2.8205
4.9047,-0.4396,1.825,1.1136,2.1864
4.9247,-1.7603,0.9711,2.0842,2.9065
4.9447,-4.3389,0.024,1.5647,4.6138
4.9647,-5.2714,-0.7663,0.8146,5.3993
4.9847,-2.3715,-0.8134,-1.4422,2.9175
5.0047,-1.6459,0.3721,1.1927,2.0815
5.0247,1.748,0.7113,4.3484,4.7583
5.0447,2.672,0.2513,3.7843,4.6428
5.0647,1.2327,-1.3929,0.8159,2.0672
5.0847,-0.3227,-3.2991,-0.1752,3.321
5.1047,-0.6981,-4.8558,0.7073,4.9576
5.1247,0.0983,-5.6637,2.3898,6.1502
5.1447,0.7649,-5.4151,3.7004,6.6033
5.1647,0.2546,-4.6304,3.8132,6.0052
5.1847,-2.0676,-5.9736,3.6864,7.3183
5.2047,-1.915,-3.5275,4.9948,6.4213
5.2247,-1.6449,-0.6831,5.2299,5.5303
5.2447,-0.3202,-0.0421,6.5318,6.54
5.2647,0.0817,-1.4196,6.4447,6.6025
5.2847,0.8509,-3.4047,0.9086,3.6737
5.3047,1.7387,-3.9088,-3.7732,5.7239
5.3247,-0.1706,0.4516,-5.2518,5.3017
5.3447,0.9439,-0.3603,-6.8341,6.9151
5.3647,4.3217,-0.6262,-9.0289,10.0369
5.3847,2.0559,2.1983,-7.0875,7.7041
5.4047,-0.6021,1.3002,4.9215,5.1319
5.4247,-0.9702,0.231,8.7752,8.8367
5.4447,-0.9001,-1.1419,-0.5087,1.7456
5.4647,0.0772,0.0385,-3.8557,3.8679
5.4847,1.8604,0.0979,-5.1388,5.4668
5.5047,1.7239,0.8335,-5.3831,5.7138
5.5247,2.1513,1.7456,-4.0922,4.9439
5.5447,2.7425,3.0628,-3.0487,5.1195
5.5647,2.5103,4.4597,-3.9884,6.4995
5.5847,2.3274,8.2012,-2.7091,8.9457
5.6047,1.5472,6.9975,-3.0364,7.7836
5.6247,0.3741,4.7406,-2.3845,5.3217
5.6447,-1.023,2.6097,0.0299,2.8396
5.6647,-2.2728,1.1826,1.2592,2.8978
5.6847,-1.2158,-2.4099,5.1815,5.8516
5.7047,5.2138,-7.0275,1.1821,8.8586
5.7247,4.7105,-8.4976,1.6958,9.8758
5.7447,1.4876,-6.5878,-2.1567,7.0982
5.7647,0.5262,-1.5965,-2.7381,3.213
5.7847,0.7373,1.6752,-4.6694,5.0156
5.8047,1.2856,0.5177,-5.066,5.2614
5.8247,1.454,-2.1297,-4.3869,5.095
5.8447,0.3806,-3.3799,-4.1954,5.4012
5.8647,0.0107,-3.6812,-4.202,5.5873
5.8847,-1.511,-2.5464,-2.9712,4.1989
5.9047,-2.2367,-0.1317,-0.9838,2.4748
5.9247,-1.8746,2.2192,1.7096,3.3869
5.9447,-0.7562,3.1874,3.1775,4.568
5.9647,0.046,2.925,3.2859,4.3999
5.9847,-0.4294,1.566,1.6869,2.3466
6.0047,-1.9274,1.0343,0.9488,2.3956
6.0247,-3.2915,0.2298,-0.455,3.3315
6.0447,-3.6231,0.0462,-0.5531,3.666
6.0647,-3.481,-0.1351,-0.365,3.5032
6.0847,-0.7612,0.9077,1.189,1.6854
6.1047,0.9535,0.4265,3.3109,3.484
6.1247,2.2275,-0.2012,2.832,3.6086
6.1447,1.9802,-0.5103,2.3694,3.1305
6.1647,1.2966,-1.0926,2.0216,2.6489
6.1847,-2.9352,-3.8186,2.0186,5.2237
6.2047,-4.3235,-5.2525,2.4151,7.2188
6.2247,-2.6247,-5.6063,2.0247,6.5179
6.2447,-0.2177,-5.0394,2.0121,5.4335
6.2647,0.969,-5.0278,2.3629,5.6451
6.2847,0.9888,-6.4473,4.3654,7.8538
