time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0037,-0.11,-0.19,-0.18
4.0237,0.011,0.4125,-0.1895
4.0437,0.2,0.8996,-0.08
4.0637,0.0863,0.6326,-0.03
4.0837,0.01,0.3073,0.0742
4.1037,-0.0335,-0.2669,0.2735
4.1237,-0.2755,-0.7166,0.4611
4.1437,-0.1431,-0.6397,0.8102
4.1637,0.6541,0.4088,1.1798
4.1837,1.1765,1.1964,1.3566
4.2037,1.88,1.9758,1.6121
4.2237,1.7376,1.4652,1.67
4.2437,1.1245,-0.0613,1.6648
4.2637,0.7663,-0.7656,1.4044
4.2837,0.65,-0.3216,0.7733
4.3037,0.56,0.2499,0.1952
4.3237,0.45,0.2573,-0.2155
4.3437,0.3253,-0.1347,-0.4747
4.3637,0.1098,-0.3705,-0.52
4.3837,-0.1226,-0.6526,-0.58
4.4037,-0.3229,-0.8529,-0.6329
4.4237,-0.4925,-0.77,-0.7662
4.4437,-0.687,-0.64,-0.927
4.4637,-0.8694,-0.6697,-1.1197
4.4837,-0.9297,-0.6899,-1.1797
4.5037,-1.3388,-0.9288,-1.28
4.5237,-1.4394,-1.18,-1.2594
4.5437,-1.2421,-1.19,-1.0543
4.5637,-1.2679,-0.9474,-0.7737
4.5837,-0.9853,0.1695,-0.3489
4.6037,-0.3391,0.8713,-0.2
4.6237,-0.1462,1.21,-0.08
4.6437,-0.0289,1.0478,-0.11
4.6637,0.16,0.7959,-0.14
4.6837,0.2752,0.7148,-0.0648
4.7037,0.1944,0.6156,0.01
4.7237,-0.0751,0.6849,0.03
4.7437,-0.09,0.5046,-0.01
4.7637,-0.07,0.2286,-0.04
4.7837,-0.0997,0.1105,-0.0797
4.8037,-0.3675,-0.1775,-0.2475
4.8237,-0.42,-0.3467,-0.0833
4.8437,-0.1788,-0.5075,0.05
4.8637,-0.1233,-0.6233,0.23
4.8837,0.0,-1.1629,0.2029
4.9037,-0.1484,-1.0516,0.27
4.9237,-0.5729,-0.0592,0.3264
4.9437,0.0833,3.71,0.39
4.9637,1.5953,1.6863,0.47
4.9837,1.242,-0.1776,0.47
5.0037,-0.6312,-1.0503,0.3194
5.0237,-1.0171,-1.3141,0.0388
5.0437,-0.9667,-1.3067,-0.2666
5.0637,-0.9279,-0.6644,-0.35
5.0837,-1.0424,0.2889,-0.34
5.1037,-1.08,0.6404,-0.35
5.1237,-0.4961,1.6059,-0.54
5.1437,0.7296,1.7868,-0.3868
5.1637,0.9407,1.3414,-0.1103
5.1837,0.6434,0.9668,-0.02
5.2037,0.2669,-0.3777,-0.0015
5.2237,-0.0272,-0.6628,-0.0786
5.2437,-0.0427,-0.4454,-0.18
5.2637,0.4147,-0.2818,-0.2
5.2837,0.6059,-0.3677,-0.18
5.3037,0.61,-0.76,0.2524
5.3237,0.51,-0.62,0.37
5.3437,0.3503,-0.5603,0.3403
5.3637,0.1623,-0.4645,0.1445
5.3837,0.0428,-0.2011,-0.0145
5.4037,0.1,1.2049,-0.11
5.4237,0.1193,1.079,0.0503
5.4437,-0.06,0.5097,0.2252
5.4637,0.0618,0.09,0.5118
5.4837,0.4604,0.3604,0.8382
5.5037,1.2524,0.83,1.38
5.5237,1.7089,0.9389,1.4011
5.5437,1.6977,0.96,1.41
5.5637,1.2148,0.6997,1.49
5.5837,0.9109,0.3164,1.4855
5.6037,0.6208,0.16,1.0725
5.6237,0.51,0.1665,0.6248
5.6437,0.3445,-0.2232,0.2345
5.6637,0.165,-0.54,-0.045
5.6837,0.0743,-0.757,-0.1557
5.7037,-0.1435,-1.247,-0.24
5.7237,-0.3571,-1.43,-0.2771
5.7437,-0.5,-1.1418,-0.36
5.7637,-0.5633,-0.6733,-0.4633
5.7837,-0.59,-0.4942,-0.5458
5.8037,-0.658,-0.358,-0.718
5.8237,-0.71,-0.5935,-0.82
5.8437,-0.6472,-0.76,-0.86
5.8637,-0.54,-0.6697,-0.89
5.8837,-0.5051,-0.6051,-0.8551
5.9037,-0.4487,-0.58,-0.7087
5.9237,-0.3198,-0.4298,-0.62
5.9437,-0.3,-0.2245,-0.5645
5.9637,-0.36,0.2106,-0.4398
5.9837,-0.2545,0.8066,-0.37
6.0037,-0.1,0.9779,-0.2558
6.0237,-0.08,0.7351,-0.1651
6.0437,-0.332,0.438,-0.14
6.0637,-0.56,-0.0252,-0.07
6.0837,-0.54,-0.3191,-0.0745
6.1037,-0.45,0.0367,-0.0933
6.1237,-0.3978,0.5544,-0.1022
6.1437,-0.1135,0.71,-0.18
6.1637,-0.0101,0.775,-0.16
6.1837,-0.2777,0.6123,-0.0323
6.2037,-0.4612,-0.0442,0.31
6.2237,-0.3118,-1.1092,0.3
6.2437,0.0294,-1.3088,0.2412
6.2637,-0.1349,-0.8952,0.31
