time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0062,-3.0284,4.8707,-1.4079,5.906
4.0262,-1.7401,4.6129,-1.0619,5.0443
4.0462,-0.5064,2.6883,-0.1878,2.7425
4.0662,-1.0099,-0.9599,-0.634,1.5552
4.0862,-2.1151,-3.8292,-0.8175,4.4509
4.1062,-3.0613,-2.3121,-0.3362,3.8664
4.1262,-1.2795,0.3783,-0.1261,1.3485
4.1462,-0.2379,0.5462,-0.8662,1.0538
4.1662,-0.4025,-0.8036,-1.8413,2.0547
4.1862,-1.2858,-5.0313,-2.3396,5.706
4.2062,-2.7596,-10.7098,0.3637,11.0728
4.2262,-1.2622,-11.2006,4.9618,12.3267
4.2462,1.7397,-8.3798,5.1045,9.9718
4.2662,3.6613,-5.167,3.3783,7.1849
4.2862,3.5167,-2.6153,1.8259,4.7613
4.3062,3.4845,1.5565,1.0101,3.9502
4.3262,2.6163,1.9563,0.619,3.3251
4.3462,1.3298,0.8148,-0.1284,1.5726
4.3662,0.0676,-1.6031,-1.79,2.405
4.3862,-0.2576,-2.1291,-2.5589,3.3405
4.4062,0.8203,0.0177,-3.2261,3.3428
4.4262,2.0403,2.2566,-2.826,4.1592
4.4462,2.9211,3.6932,-2.0928,5.1544
4.4662,3.2293,4.3295,-1.5494,5.6191
4.4862,3.1329,3.7813,-1.2228,5.0608
4.5062,2.5732,3.0788,-0.922,4.117
4.5262,2.3523,2.3784,-0.4941,3.3824
4.5462,1.9647,1.6367,-0.082,2.5587
4.5662,1.7081,0.7721,-0.0984,1.8786
4.5862,0.4236,1.3779,0.9388,1.7392
4.6062,-1.0464,1.0078,1.0208,1.7776
4.6262,-2.6684,-0.0582,1.6194,3.1255
4.6462,-3.9493,1.9785,2.1885,4.9324
4.6662,-4.1562,3.7255,1.3989,5.7582
4.6862,-3.5387,4.3668,0.2995,5.6304
4.7062,-2.6137,4.8378,0.4418,5.5175
4.7262,-1.5343,3.4287,0.9354,3.873
4.7462,-0.5371,-0.6662,2.9117,3.0671
4.7662,0.6991,-6.5788,3.7766,7.6273
4.7862,2.6012,-11.2201,2.6205,11.8219
4.8062,3.2512,-11.3258,1.5459,11.8956
4.8262,2.5143,-2.1894,-8.0452,8.7198
4.8462,0.1239,-2.5959,-6.0962,6.7178
4.8662,-1.2204,-10.457,-3.3526,11.0656
4.8862,-4.6157,-9.1195,-0.4335,10.2968
4.9062,-2.9469,-3.246,10.2256,11.1445
4.9262,-0.0869,-0.6098,6.036,6.0721
4.9462,1.9638,0.3464,-0.905,2.1978
4.9662,1.6855,0.5955,-2.1526,2.805
4.9862,1.413,1.1074,-3.7718,4.1799
5.0062,0.0614,1.8304,-5.8351,6.1175
5.0262,0.5089,2.5382,-0.6423,2.691
5.0462,0.1611,2.6709,0.4523,2.7147
5.0662,-1.2786,3.2223,1.9738,3.9893
5.0862,-2.5762,4.0571,4.2041,6.389
5.1062,-2.846,3.6008,7.1358,8.487
5.1262,-2.8706,3.6845,4.9107,6.7834
5.1462,-3.8255,3.8239,1.2267,5.5523
5.1662,-2.8589,3.1366,-1.7785,4.6057
5.1862,-1.8016,4.2458,-1.9813,5.0256
5.2062,-0.8804,2.3659,-2.645,3.6607
5.2262,-0.4574,-1.2189,-2.3901,2.7288
