time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0088,0.0,-0.01,0.0
4.0288,0.0,-0.01,0.0
4.0488,0.0,-0.006,0.0
4.0688,0.0,0.0,-0.0008
4.0888,0.0,-0.0045,0.0
4.1088,0.0,0.0,-0.0091
4.1288,-0.0067,0.0,-0.01
4.1488,0.0,0.0,-0.01
4.1688,0.0,-0.01,0.0
4.1888,-0.0084,0.0,0.0
4.2088,0.0,0.0154,0.0
4.2288,-0.0004,0.02,0.0
4.2488,-0.01,0.01,0.0
4.2688,-0.01,0.01,0.0
4.2888,-0.0077,0.02,0.0
4.3088,0.0,0.02,0.0
4.3288,0.01,0.02,0.0
4.3488,0.0,0.01,0.0
4.3688,0.0,0.0,0.0
4.3888,0.0,0.0,0.0
4.4088,0.0,0.0,0.0
4.4288,0.0,0.0,0.01
4.4488,0.01,0.01,0.01
4.4688,0.01,0.01,0.0
4.4888,0.0078,0.01,0.0
4.5088,0.0,0.0,0.0
4.5288,0.0,0.01,0.0
4.5488,0.01,0.02,0.0
4.5688,0.0,0.01,0.0
4.5888,-0.01,0.0,0.0
4.6088,0.0,0.0,0.0
4.6288,0.0,0.0061,0.0
4.6488,0.0075,0.01,0.0
4.6688,0.01,0.0177,0.0
4.6888,0.0,0.01,0.0
4.7088,0.01,0.0,0.0
4.7288,0.01,0.0,0.0
4.7488,0.01,0.0041,0.0
4.7688,0.01,0.0,0.0
4.7888,0.0,0.0,-0.01
4.8088,0.0,-0.013,-0.01
4.8288,0.01,-0.01,-0.01
4.8488,0.0,0.0,-0.0038
4.8688,0.0,0.0,0.0
4.8888,-0.01,0.0,0.01
4.9088,-0.02,0.0029,0.01
4.9288,-0.01,0.01,0.0
4.9488,-0.0096,0.02,0.0
4.9688,0.0,0.03,0.0
4.9888,0.0023,0.03,0.0
5.0088,0.0,0.02,0.01
5.0288,-0.02,0.04,0.02
5.0488,0.0,0.02,0.03
5.0688,0.02,-0.02,-0.01
5.0888,0.01,-0.01,-0.02
5.1088,-0.02,0.04,-0.01
5.1288,-0.02,0.05,-0.01
5.1488,-0.01,0.05,0.0
5.1688,0.0,-0.01,0.0
5.1888,-0.0071,-0.04,0.0
5.2088,-0.01,-0.04,-0.01
5.2288,-0.0028,-0.03,-0.01
5.2488,0.0,-0.01,-0.01
5.2688,0.02,0.02,0.0
5.2888,0.01,0.03,0.0
5.3088,-0.01,0.02,-0.01
5.3288,0.0,0.01,-0.01
5.3488,0.0,0.01,-0.01
5.3688,0.0062,0.0,-0.01
5.3888,0.0,0.0,-0.0011
5.4088,0.0,-0.01,-0.01
5.4288,0.0,0.01,-0.01
5.4488,0.0,0.02,0.0
5.4688,-0.01,0.0131,0.01
5.4888,-0.01,0.007,0.01
5.5088,-0.01,0.0,0.0
5.5288,0.0,-0.01,0.0
5.5488,0.01,-0.0096,0.0
5.5688,0.01,0.0028,0.0
5.5888,0.01,0.0,-0.01
5.6088,0.0052,0.0,-0.01
5.6288,0.0,-0.0071,-0.01
5.6488,0.0,0.0,-0.01
5.6688,0.01,0.0,-0.02
5.6888,0.01,-0.02,-0.03
5.7088,0.01,-0.0479,-0.02
5.7288,0.02,-0.05,-0.01
5.7488,0.0105,-0.0305,0.0
5.7688,-0.01,-0.01,0.0
5.7888,-0.01,-0.01,0.0
5.8088,-0.01,0.0,0.0
5.8288,-0.01,-0.0023,0.0
5.8488,-0.01,0.0,0.0004
5.8688,0.0,0.02,0.0094
5.8888,0.01,0.04,0.01
5.9088,0.01,0.04,0.0
5.9288,0.0,0.02,0.0
5.9488,0.0,0.02,0.0
5.9688,-0.01,0.02,0.0
5.9888,0.0,0.01,0.0
6.0088,0.01,0.0,0.0
6.0288,0.01,0.0,0.0
6.0488,0.0,0.0,0.0
6.0688,-0.0037,0.0063,0.0
6.0888,-0.0042,0.01,0.0058
6.1088,-0.0067,0.0,0.0067
6.1288,0.0,-0.01,0.0
6.1488,0.0,-0.01,0.0
6.1688,0.0077,-0.01,-0.01
6.1888,0.01,-0.0036,-0.0064
6.2088,0.0073,0.0,0.0
6.2288,0.0,0.01,0.0
6.2488,0.0,0.01,0.0
6.2688,0.0,0.0,0.0
6.2888,0.0,0.0,0.0
6.3088,0.0,0.01,0.0
6.3288,0.0,0.01,0.0
6.3488,0.0,0.01,0.0
6.3688,0.0,0.0055,0.0
6.3888,0.0,0.0,0.0
6.4088,0.0,0.0,0.0
6.4288,0.0,-0.01,0.0
6.4488,0.0,-0.01,0.0
6.4688,0.0,-0.0014,0.0
6.4888,0.0,-0.006,0.0
6.5088,0.0012,0.0,0.0
6.5288,0.0,0.0,0.0
6.5488,0.0,0.0,0.0
6.5688,0.0,0.0,0.0
6.5888,0.0079,0.0,0.0
6.6088,0.0,-0.01,0.0
6.6288,0.0081,-0.0081,0.0
6.6488,0.0,0.0,0.0
6.6688,0.0,0.0033,0.0
6.6888,0.0,0.0008,0.0
6.7088,0.0,0.0,0.0
6.7288,0.0,0.0,0.0
6.7488,0.0,0.0,0.0
6.7688,0.0,0.0,0.0
6.7888,0.0,-0.01,-0.0071
6.8088,0.0,-0.01,0.0
6.8288,0.0,0.0,0.0
6.8488,0.0,0.0,0.0
6.8688,0.0,0.0058,0.0
6.8888,0.0,-0.0064,0.0
6.9088,0.0,-0.01,0.0
6.9288,0.0,0.0,0.0
6.9488,0.0,0.0,0.0
6.9688,0.0,0.01,0.0
6.9888,0.0,0.0,0.0
7.0088,0.0,0.0,0.0
7.0288,0.0,0.0,0.0
7.0488,0.0,0.0,0.0
7.0688,0.0,-0.01,0.0
7.0888,0.0,0.0,0.0
7.1088,0.0,0.0,0.0
7.1288,0.0,0.0,0.0
7.1488,0.0,0.0,0.0
7.1688,0.0,-0.0015,0.0
7.1888,0.0,0.0,0.0
7.2088,0.0,0.0,0.0
7.2288,0.0,0.0,0.0
7.2488,0.0,0.0,0.0
7.2688,0.0,0.0,0.0
7.2888,0.0,0.0,0.0
7.3088,0.0,0.01,0.0
7.3288,0.0,0.0,0.0
7.3488,0.0,0.0,-0.0097
7.3688,0.0,0.0,-0.01
7.3888,0.0,0.0,0.0
7.4088,0.0,0.0,0.0
7.4288,0.0,0.0,0.0
7.4488,0.0,0.0,0.0
7.4688,0.0,0.0,0.0
7.4888,0.0,0.0,0.0
7.5088,0.0,0.0,0.0
7.5288,0.0005,0.0,0.0
7.5488,0.0,0.0,0.0
7.5688,0.0,0.0,0.0
7.5888,0.0,0.0,0.0
7.6088,0.0,0.0,0.0
7.6288,0.0,0.0,0.0
7.6488,0.0,0.0,0.0
7.6688,0.0,0.0,0.0
7.6888,0.0,0.0,0.0
7.7088,0.0,0.0,0.0
7.7288,0.0,0.0,0.0
7.7488,0.0,0.0,0.0
7.7688,0.0,-0.0072,0.0
7.7888,0.0045,-0.0055,0.0
7.8088,0.0,0.0,0.0
7.8288,0.0,0.0,0.0
7.8488,0.0,0.0,0.0
7.8688,0.0,0.0,0.0
7.8888,0.0,0.0,0.0
7.9088,0.0,0.0,0.0
7.9288,0.0,0.0,0.0
7.9488,0.0022,0.0,-0.01
7.9688,0.0,0.0,0.0
7.9888,0.0,0.0,0.0
8.0088,0.0,0.0,0.0
8.0288,-0.0021,0.0,0.0
8.0488,0.0,0.0,0.0
8.0688,0.0,0.0,0.0
8.0888,0.0,-0.0085,0.0
8.1088,0.0,0.0,0.0
8.1288,0.0,0.0,0.0
8.1488,0.0051,0.01,0.0
8.1688,0.0,0.0,0.0
8.1888,0.0,0.0,0.0
8.2088,0.0,0.0,0.0
8.2288,0.0,0.0,0.0
8.2488,0.0,0.0,0.0
8.2688,0.0,0.0,0.0
8.2888,0.0,0.0,0.0
8.3088,0.0,0.01,0.0
8.3288,0.0,0.0,0.0
8.3488,0.0,0.0,0.0
8.3688,0.0,0.0,0.0
8.3888,0.0,0.0,0.0
8.4088,0.0,0.0,0.0
8.4288,0.0,0.0,0.0
8.4488,0.0,-0.01,0.0
8.4688,0.0,0.0,0.0
8.4888,0.0,0.0,0.0
8.5088,0.0,0.0,0.0
8.5288,0.0,0.0,0.0
