time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.003,0.0059,0.0047,0.0459,0.047
4.023,-0.0258,-0.0221,-0.0157,0.038
4.043,-0.0433,-0.0061,-0.0814,0.0923
4.063,-0.0492,0.011,-0.113,0.1252
4.083,-0.0498,-0.0143,-0.0469,0.0708
4.103,-0.0765,-0.0169,-0.0183,0.0811
4.123,-0.0472,-0.0281,-0.0106,0.0557
4.143,-0.0368,-0.0295,0.0023,0.0488
4.163,-0.0488,0.0022,-0.0186,0.0527
4.183,-0.0591,0.0076,-0.0332,0.0687
4.203,-0.0279,-0.0017,-0.0268,0.0388
4.223,0.0162,-0.0061,-0.003,0.0192
4.243,0.045,-0.001,-0.0199,0.0493
4.263,0.0504,-0.0247,-0.021,0.0605
4.283,0.0481,-0.0164,-0.0089,0.0517
4.303,0.0214,0.0063,-0.0055,0.023
4.323,-0.0254,0.0297,0.0057,0.0395
4.343,-0.0439,0.0104,0.0147,0.0479
4.363,-0.0532,-0.0089,-0.0047,0.054
4.383,-0.033,-0.0096,-0.0311,0.047
4.403,-0.0114,-0.0106,-0.023,0.0281
4.423,0.0027,-0.0064,-0.0203,0.0212
4.443,0.0091,0.0106,-0.021,0.0256
4.463,-0.0105,-0.0054,-0.0134,0.0183
4.483,-0.0222,-0.0064,-0.0054,0.0244
4.503,-0.0303,0.005,-0.0022,0.0311
4.523,-0.0092,0.0023,-0.0072,0.0171
4.543,-0.0066,0.0043,-0.011,0.017
4.563,-0.0094,-0.0219,-0.007,0.0273
4.583,-0.0008,-0.0104,-0.0057,0.0167
4.603,0.0193,0.0042,-0.0232,0.0306
4.623,0.0232,0.0125,-0.0093,0.0278
4.643,0.0013,0.0008,0.004,0.0051
4.663,-0.0042,-0.0268,0.0038,0.0279
4.683,-0.0145,-0.0447,-0.0009,0.0474
4.703,-0.0381,0.0108,-0.0074,0.0419
4.723,-0.0552,0.0451,-0.0024,0.0719
4.743,-0.0354,0.0081,0.0081,0.0376
4.763,-0.0023,-0.0105,-0.0215,0.0247
4.783,0.0239,-0.0135,-0.0352,0.0452
4.803,0.0361,0.0178,-0.0085,0.0406
4.823,0.026,-0.0015,-0.0094,0.028
4.843,-0.0184,-0.0113,0.0066,0.0231
4.863,-0.0253,-0.0181,0.0179,0.0389
4.883,-0.0126,-0.0183,0.0051,0.023
4.903,0.0072,-0.0019,-0.0336,0.0356
4.923,0.0358,0.0099,-0.0207,0.0443
4.943,0.0373,-0.0138,-0.026,0.0486
4.963,0.0313,0.0001,0.0081,0.0328
4.983,0.005,-0.0079,0.0091,0.0137
5.003,-0.004,0.0172,0.0192,0.0265
5.023,-0.037,0.0156,0.0017,0.0424
5.043,-0.0304,0.0126,-0.0107,0.0354
5.063,-0.0004,0.0003,-0.017,0.0192
5.083,0.0084,0.007,-0.0063,0.0132
5.103,0.0115,0.0049,0.0003,0.0138
5.123,0.0055,-0.0133,-0.0005,0.0146
5.143,-0.0107,-0.0202,0.0161,0.0292
5.163,-0.001,-0.0093,-0.005,0.0149
5.183,-0.0043,0.0048,-0.0082,0.0131
5.203,0.0152,0.0203,-0.0032,0.0272
5.223,-0.0028,-0.0132,0.0058,0.0215
5.243,-0.0126,-0.0181,0.0128,0.0261
5.263,-0.0093,-0.0161,-0.0088,0.0202
5.283,0.0177,0.0043,-0.0125,0.0231
5.303,0.0213,0.0359,-0.012,0.0443
5.323,0.0059,0.0124,-0.0081,0.0175
5.343,0.0023,-0.0223,0.0096,0.0243
5.363,-0.0169,-0.0459,0.0088,0.05
5.383,-0.0197,-0.003,0.006,0.0205
5.403,-0.0228,0.0165,-0.0009,0.0279
5.423,-0.0397,0.0273,-0.0099,0.0502
5.443,-0.0116,0.0051,-0.0326,0.0377
5.463,0.0209,0.0181,-0.025,0.0378
5.483,0.0303,0.0082,0.011,0.0332
5.503,0.0235,-0.0025,0.0266,0.0376
5.523,-0.0029,-0.0276,0.0178,0.0347
5.543,-0.0194,-0.0373,0.0105,0.0436
5.563,-0.0019,-0.0169,-0.0111,0.02
5.583,0.0101,0.0089,-0.0196,0.024
5.603,0.028,0.0085,-0.0289,0.0443
5.623,0.0246,-0.0214,-0.0054,0.0342
5.643,0.009,-0.0133,-0.0021,0.0195
5.663,-0.0058,0.0133,0.0198,0.026
5.683,-0.0514,0.0138,0.0081,0.054
5.703,-0.0478,0.0236,-0.0028,0.0536
5.723,-0.0218,0.0054,-0.0057,0.026
5.743,-0.0078,0.0007,-0.0043,0.0097
5.763,0.0201,-0.0143,-0.0142,0.0298
5.783,0.0177,-0.02,-0.0149,0.0323
5.803,0.0102,-0.0036,0.0027,0.0139
5.823,-0.0079,-0.0183,-0.0038,0.0229
5.843,-0.0067,-0.0041,-0.0016,0.0084
5.863,0.0106,0.008,0.011,0.023
5.883,0.0109,0.0044,0.0093,0.0151
5.903,-0.002,-0.0203,-0.005,0.021
5.923,0.0094,-0.0054,-0.0067,0.0138
5.943,0.0086,0.0079,0.0133,0.0187
5.963,0.0044,-0.0025,-0.0046,0.0077
5.983,0.0014,-0.0018,-0.0208,0.024
6.003,-0.0096,0.0044,-0.0091,0.0148
6.023,-0.0116,0.0126,0.001,0.0172
6.043,-0.0283,-0.004,0.0147,0.0317
6.063,-0.0103,-0.0224,0.003,0.0255
6.083,-0.0047,-0.0133,0.0066,0.016
6.103,0.0203,0.0099,-0.0009,0.0239
6.123,0.0287,0.0169,0.0002,0.0338
6.143,0.0164,0.0383,0.006,0.0448
6.163,0.0074,-0.0289,0.0143,0.036
6.183,0.0114,-0.0791,0.0136,0.082
6.203,-0.036,-0.0487,-0.0113,0.0639
6.223,-0.0221,0.069,0.0028,0.0731
6.243,-0.0265,0.0719,0.01,0.0773
6.263,-0.023,0.0095,-0.0092,0.0283
6.283,0.0086,-0.0135,-0.0309,0.0354
6.303,0.0307,-0.0099,0.0091,0.0337
6.323,0.0118,-0.0042,0.0095,0.0157
6.343,0.0072,-0.0162,-0.0061,0.0185
6.363,-0.0104,-0.0162,-0.0104,0.0242
6.383,-0.0212,-0.0033,-0.0031,0.0218
6.403,0.0074,0.0023,-0.0087,0.015
6.423,0.02,-0.0047,-0.0148,0.028
6.443,0.0234,-0.0309,0.0073,0.0399
6.463,0.0014,-0.0163,0.0027,0.017
6.483,0.01,0.0132,0.019,0.026
6.503,-0.0115,0.0315,-0.0166,0.0381
6.523,-0.008,0.0265,0.0025,0.0286
6.543,-0.0169,0.0106,0.0085,0.0256
6.563,-0.0141,-0.0021,-0.0092,0.0183
6.583,0.0116,-0.0236,-0.0182,0.033
6.603,0.0152,0.0034,-0.0061,0.0184
6.623,0.0027,0.0075,-0.0109,0.0141
6.643,0.0018,-0.0034,-0.014,0.0174
6.663,-0.0009,-0.0066,-0.0033,0.0079
6.683,0.0118,0.0023,0.0069,0.014
6.703,0.0113,-0.0089,0.0152,0.021
6.723,-0.0023,-0.0067,0.0088,0.0155
6.743,-0.0005,0.0111,0.0223,0.0251
6.763,0.0065,0.0145,-0.0022,0.0167
6.783,0.0139,-0.0103,-0.0304,0.0353
6.803,-0.0041,0.012,-0.0027,0.0135
6.823,-0.0194,0.0008,0.0028,0.02
6.843,-0.0096,-0.0029,0.021,0.0235
6.863,-0.013,-0.0082,0.0013,0.0165
6.883,-0.0085,0.0042,-0.001,0.011
6.903,0.0239,0.0162,-0.0047,0.0296
6.923,0.022,0.0291,0.0012,0.0373
6.943,0.0171,0.0177,0.0012,0.0249
6.963,0.0045,-0.0402,0.0063,0.0419
6.983,-0.0112,-0.0589,-0.006,0.0605
7.003,-0.0228,0.0007,-0.0028,0.027
7.023,-0.0248,0.0331,0.0016,0.0417
7.043,-0.0238,0.0275,0.017,0.0436
7.063,0.0132,-0.0011,-0.0166,0.022
7.083,0.0233,0.0024,-0.0272,0.0372
7.103,0.028,0.006,0.0094,0.0304
7.123,0.0194,0.0049,0.0082,0.0226
7.143,-0.0133,-0.024,-0.0078,0.0286
7.163,-0.0114,-0.0321,-0.0163,0.0382
7.183,-0.0133,-0.0095,0.0097,0.0225
7.203,0.0038,0.0059,-0.0153,0.0178
7.223,0.0172,-0.0003,-0.008,0.0196
7.243,-0.0092,-0.0191,-0.0006,0.0219
7.263,0.024,-0.0067,0.0056,0.0269
7.283,-0.0018,0.0026,0.0071,0.0099
7.303,-0.0142,0.0222,0.0148,0.0306
7.323,-0.0196,0.0139,0.0054,0.0267
7.343,-0.0354,0.0064,0.0059,0.0372
7.363,-0.017,-0.0187,-0.0049,0.0289
7.383,0.0278,-0.0139,-0.0153,0.035
7.403,0.0165,0.0137,-0.0158,0.0269
7.423,0.0112,-0.0002,-0.0091,0.0197
7.443,-0.016,-0.0228,0.004,0.0292
7.463,-0.0138,-0.0158,0.0031,0.0217
7.483,0.0048,0.003,-0.0019,0.011
7.503,-0.0054,0.0033,-0.0058,0.0084
7.523,-0.0049,0.0076,0.0064,0.0111
7.543,0.0056,-0.0025,0.0115,0.0131
7.563,0.0089,-0.0076,0.0019,0.0159
7.583,0.0028,-0.0065,0.0009,0.008
7.603,-0.0025,-0.0018,-0.0016,0.0071
7.623,0.0079,-0.0016,0.0051,0.0144
7.643,-0.0072,0.0146,0.0009,0.0172
7.663,-0.014,-0.0097,-0.0009,0.017
7.683,0.0031,-0.0144,-0.0028,0.015
7.703,-0.0065,-0.0002,-0.0031,0.0105
7.723,0.0007,0.0052,0.0031,0.0224
7.743,0.0085,-0.0133,0.0056,0.018
7.763,-0.0085,-0.0195,0.0194,0.0293
7.783,-0.0095,0.0031,0.0058,0.0133
7.803,0.0054,0.0157,-0.0044,0.0178
7.823,0.0264,0.0284,-0.0055,0.0398
7.843,-0.0083,0.0102,0.0206,0.025
7.863,0.019,-0.025,-0.005,0.0325
7.883,0.0114,-0.0387,-0.0036,0.0419
7.903,-0.0273,0.0094,0.0047,0.0304
7.923,-0.0278,0.0237,0.0075,0.0377
7.943,-0.0457,0.0246,-0.0006,0.0523
7.963,-0.0171,0.0223,-0.012,0.033
7.983,0.0489,0.0307,-0.0375,0.0689
8.003,0.0145,0.0087,0.0146,0.0225
8.023,0.0242,-0.0179,0.0212,0.0383
8.043,-0.0099,-0.0239,0.0094,0.0294
8.063,0.001,-0.0193,0.0021,0.0195
8.083,0.0159,-0.0012,-0.0042,0.0209
8.103,0.0272,0.0062,-0.009,0.03
8.123,0.0228,-0.0085,-0.0158,0.0293
8.143,0.0154,0.0105,-0.0029,0.0199
8.163,-0.0028,-0.0104,-0.0026,0.0113
8.183,-0.0127,0.0055,0.0162,0.0222
8.203,-0.0243,0.0076,0.0028,0.0276
8.223,-0.0403,0.02,0.0074,0.0462
8.243,-0.0142,0.001,0.0057,0.0156
8.263,-0.0093,0.0012,-0.0091,0.0133
8.283,0.0231,-0.0237,-0.0006,0.0334
8.303,0.0223,-0.0092,-0.0131,0.0284
8.323,0.0109,-0.008,0.0015,0.0137
8.343,-0.013,-0.0039,0.021,0.0255
8.363,0.0,0.0022,0.0151,0.0158
8.383,0.0093,0.0061,0.0041,0.0163
8.403,0.0139,-0.0016,0.0002,0.0156
8.423,0.0116,0.0056,0.0115,0.0216
8.443,0.0069,0.0096,0.003,0.0186
8.463,0.0013,-0.0096,0.007,0.0202
8.483,0.0021,-0.0122,0.0025,0.0148
8.503,-0.0,-0.0096,-0.012,0.0192
8.523,-0.0087,0.0049,-0.01,0.0157
8.543,-0.0047,0.0037,-0.0016,0.0076
8.563,-0.0005,0.0248,-0.003,0.0255
8.583,-0.0071,-0.0074,0.0086,0.0192
8.603,-0.0165,-0.0343,0.0026,0.0386
8.623,-0.0108,-0.0237,0.0114,0.0289
8.643,0.0116,-0.0006,-0.0087,0.0154
8.663,0.0335,0.0095,-0.0003,0.038
8.683,0.0092,0.0522,-0.0,0.054
8.703,0.0093,0.0074,0.0038,0.0151
8.723,0.0143,-0.0613,0.022,0.067
8.743,-0.0204,-0.0619,-0.0207,0.0688
8.763,-0.0222,-0.0083,-0.0206,0.0334
8.783,-0.0393,0.0763,0.0046,0.0869
8.803,-0.0391,0.0604,-0.0022,0.0727
8.823,0.0113,-0.0003,-0.0097,0.0173
8.843,0.0199,0.0024,-0.0104,0.0233
8.863,0.0178,-0.0003,0.0056,0.0189
8.883,0.013,-0.0067,-0.0102,0.0179
8.903,-0.0172,-0.0036,-0.0136,0.0222
8.923,-0.0165,-0.0359,-0.008,0.0408
8.943,-0.0163,-0.0197,0.0135,0.0291
8.963,0.0254,-0.0032,-0.0129,0.0294
8.983,0.0076,-0.0131,-0.003,0.0173
9.003,0.0136,-0.0057,-0.0016,0.0173
9.023,0.0194,0.0035,0.005,0.0208
9.043,-0.0097,0.0254,0.0068,0.0286
9.063,-0.0232,0.0184,0.0127,0.0348
9.083,-0.0363,0.0133,0.0142,0.0419
9.103,-0.0229,-0.0119,-0.0198,0.0327
9.123,0.0065,-0.0156,-0.0239,0.0308
9.143,0.0222,-0.0023,-0.017,0.0288
9.163,0.0027,-0.0027,-0.0174,0.0183
9.183,0.0198,-0.0108,0.0066,0.0244
9.203,0.0129,-0.0067,0.003,0.015
9.223,-0.0019,-0.0061,0.024,0.0251
9.243,-0.0038,0.0039,0.0169,0.0181
9.263,0.0127,-0.0168,0.0079,0.0238
9.283,0.0014,0.0047,0.0026,0.0198
9.303,0.0106,-0.0113,-0.0124,0.0235
9.323,-0.0016,0.0109,0.0026,0.0118
