time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0031,-0.02,0.04,-0.01
4.0231,-0.01,0.0186,-0.01
4.0431,0.0,0.02,-0.01
4.0631,0.0,0.02,0.0
4.0831,0.0,0.02,0.0
4.1031,0.0,0.01,0.0
4.1231,0.01,0.0,0.01
4.1431,0.01,-0.01,0.01
4.1631,0.01,-0.0129,0.01
4.1831,0.0,-0.0139,0.01
4.2031,0.0,-0.01,0.01
4.2231,0.0,-0.01,0.01
4.2431,0.0,-0.0015,0.0015
4.2631,0.0,-0.01,0.01
4.2831,0.0,-0.0075,0.0075
4.3031,0.0,0.0,0.01
4.3231,0.0,0.01,0.01
4.3431,-0.0041,0.0,0.0
4.3631,0.0,0.0079,0.0
4.3831,0.0,0.01,0.0
4.4031,-0.0046,0.01,0.0
4.4231,0.0,0.01,0.0
4.4431,0.0,0.01,0.0
4.4631,0.0,0.01,0.0
4.4831,0.0,0.0,0.0
4.5031,0.0,0.0,0.0
4.5231,0.0043,0.0,0.0057
4.5431,0.0,0.0,0.0
4.5631,0.0,-0.0038,0.0
4.5831,0.0,-0.01,0.0
4.6031,0.0,-0.01,0.0
4.6231,0.0,0.0,0.0
4.6431,0.0,0.0,0.0
4.6631,0.0,0.0,0.0
4.6831,-0.0003,0.0003,0.0
4.7031,0.0,0.01,0.0
4.7231,-0.01,0.01,0.0
4.7431,-0.01,0.01,0.0
4.7631,-0.01,0.0081,0.0
4.7831,0.0,0.0,0.0
4.8031,0.0,-0.0067,0.0
4.8231,0.01,-0.01,0.0
4.8431,0.01,-0.0012,0.0
4.8631,0.0,0.0,0.0
4.8831,0.0,0.0,0.0
4.9031,0.0,0.0001,-0.0099
4.9231,0.0,0.0,0.0
4.9431,-0.01,0.0003,0.0
4.9631,-0.0056,0.0,0.0
4.9831,-0.0021,0.0,0.0
5.0031,0.0,-0.01,0.0
5.0231,0.0,-0.01,0.0
5.0431,0.0,-0.01,0.0
5.0631,0.0,0.0,0.0
5.0831,0.0,0.0,0.0
5.1031,0.0,0.0,0.0
5.1231,0.0,0.0,0.0
5.1431,0.0,0.0,0.0
5.1631,0.0,0.0,0.0
5.1831,0.0,0.0038,0.0
5.2031,0.0,0.0075,0.0
5.2231,0.0,0.0,0.0
5.2431,0.0,0.0,0.0
5.2631,0.0,0.0,0.0
5.2831,0.0,0.0,0.0
5.3031,0.0,0.0,0.0
5.3231,0.0,0.0,0.0
5.3431,0.0,0.0,0.0
5.3631,0.0,0.0,0.0086
5.3831,0.0,0.0,0.0026
5.4031,0.0,0.0,0.0
5.4231,0.0,0.0,0.0
5.4431,0.0,0.0,0.0
5.4631,0.0,0.0,0.0
5.4831,0.0,0.0,0.0
5.5031,0.0017,0.0,0.0
5.5231,0.0032,0.0,0.0
5.5431,0.0,0.0,0.0
5.5631,0.0,0.0,0.0
5.5831,0.0,0.0,0.0
5.6031,0.0,0.0,0.0
5.6231,0.0,0.0,0.0
5.6431,0.0,-0.01,0.0042
5.6631,0.0,-0.01,0.0
5.6831,0.0,-0.01,0.0
5.7031,0.0,-0.01,0.0
5.7231,0.0,0.0,0.0
5.7431,-0.0081,0.0,0.0
5.7631,0.01,-0.01,0.0
5.7831,0.0,-0.02,0.0
5.8031,0.0,0.02,0.0
5.8231,-0.01,0.0,-0.01
5.8431,-0.01,-0.01,-0.0087
5.8631,-0.01,0.0,-0.01
5.8831,-0.0017,0.01,0.0
5.9031,0.0,0.01,0.0
5.9231,0.0,0.0,0.0
5.9431,0.01,-0.01,0.0
5.9631,0.01,-0.02,0.0
5.9831,0.01,-0.0177,0.0
6.0031,0.04,-0.03,-0.02
6.0231,-0.04,0.013,0.017
6.0431,0.03,0.0492,0.01
6.0631,-0.02,0.0,-0.01
6.0831,0.0067,-0.03,0.01
6.1031,0.0,0.02,0.0
6.1231,-0.01,0.01,-0.01
6.1431,-0.01,0.0,-0.01
6.1631,0.0,-0.01,-0.0024
6.1831,-0.0079,0.0,0.0
6.2031,-0.01,0.0,0.0
6.2231,-0.0012,0.0,0.0
6.2431,0.0,0.0,0.0
6.2631,0.0,-0.02,0.0
6.2831,0.0,-0.01,0.0
6.3031,0.0039,0.0,0.0
6.3231,0.0,0.0181,0.0
6.3431,0.0,0.01,0.0
6.3631,0.0,0.01,0.0
6.3831,0.01,0.01,-0.0051
6.4031,0.01,0.0,-0.01
6.4231,0.02,-0.01,-0.02
6.4431,0.02,-0.026,0.01
6.4631,-0.04,0.02,0.0162
6.4831,0.04,0.02,0.0
6.5031,-0.02,-0.0238,0.0
6.5231,-0.01,-0.03,0.01
6.5431,-0.01,0.01,0.0
6.5631,0.0,0.02,-0.01
6.5831,0.0,0.02,-0.01
6.6031,-0.01,-0.01,0.0
6.6231,0.0,-0.01,-0.01
6.6431,0.0,0.0,-0.01
6.6631,0.0,0.0,0.0
6.6831,0.0,-0.004,0.01
6.7031,0.0076,-0.0076,0.01
6.7231,0.0013,0.0,0.01
6.7431,0.02,-0.02,0.0
6.7631,0.0028,-0.03,0.02
6.7831,-0.0049,0.04,0.01
6.8031,0.0198,-0.0102,-0.02
6.8231,-0.02,-0.0266,-0.0034
6.8431,0.01,0.01,0.0
6.8631,-0.01,0.02,-0.01
6.8831,-0.0063,0.0,0.0
6.9031,-0.01,0.0,0.0
