time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0055,-0.0126,-0.0094,0.0066,0.017
4.0255,0.0077,-0.0107,0.0074,0.0148
4.0455,0.0437,-0.0033,0.0017,0.0451
4.0655,0.0382,0.0268,-0.0355,0.0602
4.0855,-0.0042,0.0058,-0.0547,0.0558
4.1055,-0.0638,-0.0022,-0.0709,0.0954
4.1255,-0.0561,-0.004,-0.0655,0.0865
4.1455,-0.1368,0.0551,-0.0738,0.1652
4.1655,-0.1314,-0.0258,-0.1245,0.1855
4.1855,0.035,-0.0132,0.0324,0.053
4.2055,-0.0188,-0.0188,-0.1088,0.112
4.2255,-0.0381,-0.0149,-0.0477,0.0661
4.2455,-0.0179,-0.0125,0.0718,0.076
4.2655,0.0658,-0.0104,0.0497,0.0839
4.2855,0.0625,0.0096,-0.0036,0.0635
4.3055,0.001,0.0051,0.0029,0.009
4.3255,-0.0367,0.0016,0.0245,0.044
4.3455,-0.003,0.0237,0.0016,0.0239
4.3655,0.0459,0.0247,0.0113,0.054
4.3855,0.0179,0.0028,-0.001,0.0188
4.4055,-0.0414,0.0017,-0.0311,0.0519
4.4255,-0.0482,0.0068,-0.04,0.0631
4.4455,-0.0318,0.0268,-0.0494,0.0648
4.4655,0.0005,0.018,-0.0553,0.0587
4.4855,-0.0121,-0.0182,-0.0132,0.0271
4.5055,-0.0632,-0.019,-0.029,0.0726
4.5255,-0.0352,0.0012,-0.0177,0.0399
4.5455,-0.0056,-0.0112,-0.0106,0.0167
4.5655,-0.0157,-0.0213,-0.0089,0.0284
4.5855,-0.0277,0.0128,-0.0261,0.04
4.6055,-0.0034,0.0206,0.0008,0.0278
4.6255,0.0186,0.0142,0.0227,0.0327
4.6455,0.0002,-0.0041,0.0007,0.0069
4.6655,-0.027,-0.023,-0.0137,0.038
4.6855,-0.0235,-0.0243,0.0057,0.0342
4.7055,-0.0246,-0.004,-0.0067,0.0256
4.7255,-0.0284,0.0302,-0.044,0.0607
4.7455,-0.0057,0.012,-0.0524,0.0542
4.7655,0.0482,0.0321,-0.0114,0.0593
4.7855,0.0689,0.0204,0.0277,0.0773
4.8055,0.025,0.0065,0.0246,0.0375
4.8255,-0.0042,-0.0118,0.0109,0.0172
4.8455,-0.025,-0.0166,0.0173,0.0355
4.8655,-0.0426,-0.0319,0.0057,0.0538
4.8855,-0.0116,-0.0122,-0.0119,0.021
4.9055,0.0072,-0.0106,-0.0051,0.014
4.9255,-0.0041,0.0055,-0.0072,0.0104
4.9455,0.0023,0.0089,-0.0106,0.0141
4.9655,-0.0061,0.0063,-0.013,0.0166
4.9855,0.0075,0.0108,-0.001,0.0138
5.0055,-0.0064,0.0136,-0.0053,0.0167
5.0255,-0.0077,-0.0003,0.0071,0.0116
5.0455,-0.0162,0.0014,-0.0003,0.0182
5.0655,0.0157,-0.0215,0.0036,0.0272
5.0855,0.0322,-0.0148,0.0091,0.0366
5.1055,0.011,0.0145,0.0225,0.0287
5.1255,0.0045,-0.0092,0.0098,0.0158
5.1455,0.0154,-0.0014,-0.0058,0.017
5.1655,0.002,-0.0082,0.0091,0.0151
5.1855,-0.0159,-0.0058,0.0062,0.0186
5.2055,-0.0087,-0.0022,-0.0105,0.0143
5.2255,-0.0111,-0.0065,-0.0093,0.0177
5.2455,0.0004,0.006,-0.0004,0.007
5.2655,-0.0055,0.007,-0.0102,0.0154
5.2855,-0.0216,-0.0068,-0.0057,0.0237
5.3055,-0.0089,0.0078,0.0128,0.018
5.3255,0.0005,-0.0043,0.0077,0.0094
5.3455,0.0075,0.0003,0.0039,0.0118
5.3655,0.0104,0.0082,0.0099,0.0171
5.3855,0.021,0.0007,0.0043,0.022
5.4055,0.0122,0.0019,0.0078,0.0163
5.4255,-0.0031,-0.0052,0.0011,0.0092
5.4455,0.0046,-0.001,0.0049,0.0089
5.4655,-0.0076,0.0067,-0.0041,0.012
5.4855,0.0062,0.0082,-0.0091,0.0147
5.5055,0.007,0.0028,0.0078,0.0123
5.5255,-0.0029,0.0168,-0.0034,0.0192
5.5455,-0.023,-0.0089,-0.0047,0.0255
5.5655,0.0047,-0.0019,-0.0013,0.0088
5.5855,0.014,0.0029,-0.0044,0.0155
5.6055,0.0131,-0.01,-0.0161,0.0238
5.6255,0.0065,-0.0004,0.0029,0.0078
5.6455,-0.0168,-0.0024,-0.0095,0.02
5.6655,0.0104,0.0053,0.0038,0.0131
5.6855,0.014,0.0004,0.0186,0.0236
5.7055,-0.0112,-0.0008,-0.0037,0.0133
5.7255,-0.0098,-0.0009,0.004,0.0114
5.7455,0.0001,-0.0043,0.0047,0.0077
5.7655,-0.0018,0.003,0.0118,0.0129
5.7855,-0.0093,0.0005,-0.0049,0.0114
