time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0054,0.0,0.0,0.0
4.0254,0.0,-0.0081,0.0
4.0454,0.01,0.0,0.0
4.0654,0.01,0.01,0.0
4.0854,0.0,0.02,0.0
4.1054,-0.01,0.02,0.0
4.1254,0.0,0.01,-0.0091
4.1454,0.0,0.0,-0.01
4.1654,-0.01,-0.01,-0.0066
4.1854,-0.01,-0.01,0.0
4.2054,-0.01,-0.0143,0.0
4.2254,-0.01,0.0,0.0
4.2454,-0.01,0.01,0.0
4.2654,-0.01,0.0,0.0
4.2854,-0.02,-0.02,-0.01
4.3054,-0.02,-0.02,-0.01
4.3254,-0.02,0.0,0.0
4.3454,-0.0165,0.0,0.0
4.3654,-0.0176,-0.01,0.0
4.3854,-0.0064,-0.01,0.0
4.4054,0.0,0.0,0.0
4.4254,-0.0006,0.0,0.0
4.4454,-0.01,0.01,0.0
4.4654,-0.01,0.01,0.0
4.4854,0.0,-0.01,-0.01
4.5054,-0.01,-0.0069,-0.01
4.5254,-0.0077,0.0,0.0
4.5454,-0.01,0.0,0.0
4.5654,-0.02,-0.01,0.0
4.5854,-0.0125,-0.0025,0.0
4.6054,0.0,0.0,0.0
4.6254,0.0,0.0,0.0
4.6454,0.0,0.0,0.0
4.6654,-0.0018,0.0,0.0
4.6854,-0.01,0.0,0.0
4.7054,0.0,0.0004,0.0
4.7254,0.008,0.01,0.0
4.7454,0.0,0.01,0.0
4.7654,0.0,0.01,0.0
4.7854,-0.01,0.0052,0.0
4.8054,0.0,0.0,0.0
4.8254,0.0,0.0,-0.003
4.8454,0.0,0.01,-0.01
4.8654,0.01,0.02,0.0
4.8854,0.01,0.01,0.0
4.9054,-0.0084,-0.01,0.0
4.9254,-0.01,-0.01,0.0
4.9454,-0.0044,-0.0044,0.0
4.9654,0.0,0.0,0.0
4.9854,0.0,0.0,0.0
5.0054,0.0,-0.01,0.0
5.0254,-0.01,-0.01,0.0
5.0454,-0.01,-0.01,0.0
5.0654,-0.01,-0.01,0.0
5.0854,-0.01,-0.0131,0.0
5.1054,-0.01,-0.01,-0.0099
5.1254,-0.01,0.0,0.0
5.1454,-0.01,-0.01,0.0
5.1654,0.0,-0.0067,0.0
5.1854,0.0,0.0,0.0
5.2054,0.0,-0.0118,0.0
5.2254,0.0,-0.01,0.0
