time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0037,0.0302,-0.0002,-0.0029,0.03
4.0237,0.0398,0.0128,0.0032,0.0423
4.0437,0.0508,-0.0348,0.041,0.0741
4.0637,0.0344,-0.0485,0.0649,0.0882
4.0837,0.005,-0.0456,-0.0067,0.0491
4.1037,-0.0504,-0.0144,-0.0566,0.0777
4.1237,-0.0926,-0.0111,-0.0048,0.0932
4.1437,-0.0232,-0.0159,0.0463,0.0544
4.1637,-0.0062,-0.0082,0.0436,0.0456
4.1837,-0.0198,0.0025,-0.0146,0.0293
4.2037,-0.0397,-0.016,-0.026,0.0508
4.2237,-0.0427,-0.0126,-0.0076,0.0457
4.2437,0.0057,-0.0171,0.049,0.0524
4.2637,0.0204,-0.0273,0.0125,0.04
4.2837,0.0135,-0.0301,-0.0437,0.0552
4.3037,0.0128,-0.0482,-0.0345,0.0611
4.3237,0.0358,-0.0412,-0.0245,0.06
4.3437,0.0442,0.0026,-0.0066,0.0454
4.3637,0.0076,-0.0075,-0.004,0.0157
4.3837,-0.015,-0.0372,0.0097,0.0429
4.4037,-0.0127,-0.0111,-0.0274,0.0328
4.4237,-0.0236,0.0105,-0.0556,0.0631
4.4437,-0.0483,0.0062,-0.0599,0.0769
4.4637,-0.0611,0.0009,-0.0156,0.0636
4.4837,-0.0232,0.0056,0.0285,0.0402
4.5037,0.0007,-0.0153,0.0693,0.0715
4.5237,-0.0032,-0.0367,0.0755,0.0839
4.5437,0.0057,-0.0323,0.0033,0.0343
4.5637,0.0235,-0.0224,-0.0379,0.05
4.5837,0.024,-0.0045,-0.0628,0.0674
4.6037,0.0309,-0.0056,-0.0216,0.0382
4.6237,0.0337,-0.0068,-0.0031,0.0345
4.6437,-0.0094,0.0173,-0.0486,0.0528
4.6637,-0.0154,0.0197,-0.0666,0.0723
4.6837,0.0029,0.0002,-0.0379,0.0382
4.7037,0.0332,-0.0229,-0.0111,0.0418
4.7237,-0.0042,-0.0069,0.0288,0.0303
4.7437,-0.0128,-0.028,0.0609,0.0688
4.7637,-0.0274,-0.0275,0.076,0.0853
4.7837,-0.0232,0.0018,0.0535,0.0584
4.8037,-0.0455,0.0121,-0.0081,0.0481
4.8237,-0.0363,0.0099,-0.0322,0.0505
4.8437,-0.0323,0.0098,-0.0448,0.0562
4.8637,-0.017,-0.0139,0.0486,0.0538
4.8837,0.0095,-0.0286,0.0399,0.0498
4.9037,-0.0069,-0.0149,-0.0162,0.0233
4.9237,0.0091,-0.0186,-0.0267,0.0354
4.9437,0.0189,-0.0257,-0.0591,0.0671
4.9637,0.0074,-0.0031,-0.058,0.0588
4.9837,-0.0315,0.0352,-0.0534,0.0717
5.0037,-0.0202,0.0282,-0.037,0.0508
5.0237,0.0056,0.0016,-0.0056,0.0091
5.0437,0.0057,-0.0019,-0.0185,0.0202
5.0637,0.0244,-0.0145,-0.0032,0.0284
5.0837,0.0222,0.0203,0.0153,0.0354
5.1037,-0.0036,0.0204,0.0259,0.0342
5.1237,-0.008,0.0049,0.0088,0.0175
5.1437,0.0326,-0.0222,0.0628,0.0745
5.1637,0.0402,-0.0316,0.0408,0.066
5.1837,0.0043,-0.049,-0.0119,0.0508
5.2037,-0.0496,-0.0171,-0.0063,0.053
5.2237,-0.0451,0.0022,0.016,0.0487
5.2437,-0.0112,0.0106,-0.023,0.0316
5.2637,-0.0222,-0.0089,-0.043,0.0492
5.2837,-0.043,-0.0003,0.0031,0.0434
5.3037,-0.0766,0.003,0.0328,0.0836
5.3237,-0.0739,-0.0159,-0.0055,0.0761
5.3437,0.03,0.0065,-0.0849,0.0907
5.3637,0.0708,-0.0275,-0.0588,0.0966
5.3837,0.0706,-0.0244,-0.0339,0.0825
5.4037,0.0741,0.0233,-0.038,0.0878
5.4237,0.0116,0.0351,-0.0345,0.0514
5.4437,-0.0002,0.0465,0.0024,0.0471
5.4637,0.0031,0.0002,-0.0022,0.0099
5.4837,0.0133,-0.0113,-0.0191,0.0261
5.5037,0.0225,-0.037,-0.0424,0.0612
5.5237,-0.004,-0.0535,0.0155,0.0571
5.5437,-0.0327,0.0195,0.0791,0.0889
5.5637,-0.0586,0.0265,0.039,0.0756
5.5837,-0.0233,0.0137,-0.0243,0.0364
5.6037,-0.0228,-0.0127,-0.0455,0.0522
5.6237,-0.0602,-0.025,-0.0259,0.0705
5.6437,-0.064,0.0157,0.0577,0.088
5.6637,-0.0852,0.0172,0.0756,0.1156
5.6837,-0.0323,-0.0225,0.0378,0.0559
5.7037,0.0165,-0.0171,-0.0317,0.0406
5.7237,0.0183,-0.0141,-0.0546,0.0593
5.7437,-0.0078,0.0124,0.0082,0.0198
5.7637,-0.0193,0.0458,0.0478,0.0691
5.7837,-0.0314,0.0371,0.0456,0.0675
5.8037,0.0189,-0.0207,0.0026,0.0285
5.8237,0.0358,-0.0253,-0.011,0.0454
5.8437,0.0628,-0.0115,0.0095,0.0653
5.8637,0.0046,0.0351,0.0094,0.0407
5.8837,-0.0179,0.0371,0.0002,0.043
5.9037,-0.0224,-0.0331,0.0256,0.0478
5.9237,0.0401,-0.0506,0.027,0.0701
5.9437,0.0027,-0.0381,0.0355,0.052
5.9637,-0.0424,0.0063,0.0284,0.0514
5.9837,-0.0686,0.0315,0.012,0.0769
6.0037,-0.0179,0.0246,-0.0133,0.0373
6.0237,-0.0113,-0.0219,0.0018,0.0269
6.0437,0.0137,-0.0232,0.0291,0.0395
6.0637,-0.018,-0.0079,0.0206,0.0289
6.0837,-0.0293,0.0385,-0.012,0.05
6.1037,-0.0191,0.0304,-0.0115,0.0382
6.1237,0.0145,0.0127,0.0242,0.0317
6.1437,0.0291,-0.0276,0.0388,0.056
6.1637,0.0046,-0.0179,0.0233,0.0303
6.1837,-0.0092,-0.0128,-0.0057,0.017
6.2037,0.0012,-0.0002,-0.0028,0.0045
6.2237,0.0101,0.0023,-0.0029,0.0123
6.2437,0.01,0.015,-0.0049,0.0182
6.2637,0.035,-0.0133,-0.0323,0.05
6.2837,-0.0047,-0.0005,-0.0424,0.0442
6.3037,0.0051,0.0032,-0.0045,0.0096
6.3237,0.0196,-0.004,0.0084,0.0236
6.3437,0.0145,-0.018,0.0064,0.0254
6.3637,0.0013,-0.0163,0.0054,0.0189
6.3837,-0.0167,-0.0052,-0.0162,0.0258
6.4037,-0.0144,0.0089,-0.0385,0.0436
6.4237,-0.0024,-0.0051,-0.0257,0.0276
6.4437,0.0288,0.0078,-0.0367,0.0492
6.4637,0.0155,0.0367,-0.0788,0.0884
6.4837,-0.0114,0.0309,-0.0232,0.0409
6.5037,-0.0377,-0.0153,0.0229,0.0471
6.5237,-0.0227,-0.0513,0.0355,0.0666
6.5437,0.0061,-0.02,0.0457,0.0525
6.5637,-0.006,0.0093,-0.032,0.034
6.5837,-0.006,-0.0107,-0.0778,0.0795
6.6037,0.0351,-0.0235,-0.0352,0.0551
6.6237,0.032,-0.026,-0.0066,0.0446
6.6437,0.0249,0.0118,0.0374,0.047
6.6637,0.0586,0.0366,-0.0185,0.0723
6.6837,0.068,-0.0344,-0.0369,0.085
6.7037,0.0385,-0.0427,-0.0308,0.0651
6.7237,-0.0397,0.0227,-0.0456,0.0648
6.7437,-0.135,0.0508,-0.0711,0.1611
6.7637,-0.1693,0.056,-0.0002,0.1787
6.7837,-0.1062,0.0236,0.038,0.1154
6.8037,-0.0569,-0.0111,0.0429,0.0722
6.8237,-0.0127,-0.0173,0.0196,0.0295
6.8437,0.0143,-0.0292,0.044,0.0553
6.8637,0.0206,-0.0144,0.0325,0.0415
6.8837,0.044,0.0113,-0.0186,0.0496
6.9037,0.0497,-0.0049,-0.041,0.0653
6.9237,0.0572,-0.0,0.0008,0.0578
6.9437,0.0862,0.0003,0.0034,0.0863
6.9637,0.1082,-0.0075,-0.0037,0.1087
6.9837,0.0799,-0.0072,-0.0662,0.1038
7.0037,0.0521,0.0086,-0.0791,0.0951
7.0237,0.0015,-0.0242,-0.0499,0.0567
7.0437,0.0117,-0.0143,-0.0268,0.0331
7.0637,-0.0232,0.0144,0.0237,0.0363
7.0837,-0.0512,0.0079,0.0185,0.0559
7.1037,-0.1054,-0.0002,-0.0003,0.1056
7.1237,-0.0842,0.0097,-0.0185,0.0871
7.1437,-0.0642,0.0174,-0.0146,0.0697
7.1637,-0.0378,-0.0061,0.0228,0.0448
7.1837,-0.0188,-0.027,0.0415,0.0535
7.2037,-0.0032,-0.0166,0.0625,0.0655
7.2237,-0.0036,0.017,0.0126,0.0229
7.2437,0.0481,0.0428,-0.0378,0.0747
7.2637,0.1477,-0.0224,-0.0947,0.1777
7.2837,0.1615,-0.0503,-0.041,0.1749
7.3037,0.0821,-0.0512,0.0125,0.0982
7.3237,-0.0311,0.0048,0.0027,0.0326
7.3437,-0.1497,0.0829,-0.0025,0.1715
7.3637,-0.1652,0.0784,-0.0432,0.1881
7.3837,-0.1159,-0.0011,-0.0166,0.1177
7.4037,-0.0641,-0.0386,0.0605,0.0966
7.4237,-0.0651,-0.0334,0.1093,0.1323
7.4437,-0.0656,0.0068,0.0761,0.101
7.4637,-0.0388,0.018,-0.0363,0.0564
7.4837,-0.0104,0.0111,-0.0497,0.0515
7.5037,0.0404,0.0097,-0.005,0.0418
7.5237,0.0641,-0.0051,0.0089,0.0653
7.5437,0.0794,-0.0043,0.0092,0.0802
7.5637,0.0762,-0.0308,-0.0465,0.0945
7.5837,0.0828,-0.0241,-0.0816,0.119
7.6037,0.0624,-0.0138,-0.0471,0.0795
7.6237,0.0675,-0.0325,-0.0223,0.0781
7.6437,0.0479,-0.0158,0.0479,0.072
7.6637,0.0038,0.0412,0.0462,0.0637
7.6837,-0.0808,0.0243,0.0,0.0846
7.7037,-0.0835,-0.0002,-0.0338,0.09
7.7237,-0.0615,-0.0052,-0.0418,0.0751
7.7437,-0.0485,0.0251,-0.0217,0.0591
7.7637,-0.0365,0.0043,0.0465,0.0598
7.7837,-0.036,0.0112,0.0344,0.0511
7.8037,-0.0458,-0.0023,0.0307,0.0556
7.8237,-0.0147,0.0082,-0.0172,0.0254
7.8437,0.0092,0.007,-0.0555,0.0567
7.8637,0.0616,-0.0089,-0.069,0.0932
7.8837,0.0839,-0.0145,-0.0038,0.0861
7.9037,0.1043,-0.0034,0.0072,0.1058
7.9237,0.0739,0.0096,-0.0246,0.0794
7.9437,0.0607,0.0045,-0.0452,0.0758
7.9637,0.0471,-0.0321,-0.0539,0.0783
7.9837,0.0055,-0.0124,-0.0254,0.029
8.0037,-0.0069,-0.0031,0.0257,0.0272
8.0237,-0.0344,0.0191,0.0548,0.0677
8.0437,-0.0482,0.0161,0.0521,0.0734
8.0637,-0.0566,-0.0056,0.0088,0.0585
8.0837,-0.0373,-0.007,0.0298,0.049
8.1037,-0.066,0.0176,0.0591,0.0905
8.1237,-0.0592,0.0206,0.0399,0.075
8.1437,-0.0644,0.0121,0.0301,0.0718
8.1637,-0.0347,-0.0001,0.0191,0.0392
8.1837,-0.0146,0.0071,-0.016,0.0232
8.2037,-0.0006,-0.0074,-0.0491,0.0495
8.2237,0.0233,-0.016,-0.0485,0.0562
8.2437,0.0281,0.0026,-0.0484,0.0574
8.2637,0.0502,0.0266,-0.0129,0.0585
8.2837,0.025,0.0174,0.0267,0.0426
8.3037,-0.0004,-0.0279,0.0329,0.0463
8.3237,-0.0157,-0.0452,0.0165,0.0516
8.3437,-0.0236,-0.0226,0.0414,0.0531
8.3637,0.004,0.007,-0.0129,0.0151
8.3837,0.0125,0.0041,-0.0303,0.0329
8.4037,0.0289,0.0035,-0.0337,0.0455
8.4237,0.0399,0.012,-0.0322,0.0532
8.4437,0.0062,0.0326,-0.0736,0.0821
8.4637,-0.0039,0.0083,-0.0525,0.0543
8.4837,0.0036,-0.0021,0.0036,0.0121
8.5037,0.0106,-0.0068,0.0241,0.0276
8.5237,0.0128,-0.0124,-0.0017,0.0182
8.5437,0.0065,-0.0029,0.0178,0.0207
8.5637,0.0054,-0.0133,0.0234,0.0275
8.5837,0.0143,-0.0208,0.0398,0.0468
8.6037,0.011,-0.0152,0.0504,0.056
8.6237,0.0013,-0.0009,0.034,0.0343
8.6437,-0.0139,0.0021,-0.0158,0.022
8.6637,-0.0397,0.0221,-0.0191,0.0492
8.6837,-0.0235,0.0056,-0.0262,0.036
8.7037,0.0009,0.0213,-0.0335,0.0399
8.7237,-0.0058,0.0021,-0.0258,0.0281
8.7437,-0.0342,-0.0046,-0.004,0.0354
8.7637,-0.0312,0.0032,-0.0006,0.035
8.7837,-0.0241,0.0218,-0.0028,0.0347
8.8037,-0.0013,-0.0031,0.0047,0.0073
8.8237,0.0029,-0.0251,-0.0007,0.025
8.8437,0.0042,0.0062,-0.0106,0.0152
8.8637,-0.03,0.0193,0.0062,0.0362
8.8837,-0.0421,0.0254,0.0286,0.0582
8.9037,-0.0376,-0.016,-0.005,0.0413
8.9237,-0.0006,-0.0308,0.0058,0.032
8.9437,0.024,-0.0211,0.0318,0.0452
8.9637,0.0057,-0.0116,0.0619,0.0638
8.9837,-0.0147,-0.0058,0.0354,0.0391
9.0037,-0.0473,-0.0103,0.046,0.0669
9.0237,-0.0208,0.0168,0.0242,0.0396
9.0437,0.0137,0.0335,-0.0312,0.0479
9.0637,0.0193,0.0223,-0.0544,0.0626
9.0837,0.0218,-0.001,-0.0385,0.0463
9.1037,0.0261,0.0049,-0.0256,0.0378
9.1237,0.0186,0.011,-0.0021,0.0222
9.1437,0.0009,-0.0019,0.0184,0.0196
9.1637,-0.018,-0.0238,0.0248,0.0388
9.1837,0.0117,0.0013,0.0164,0.0208
9.2037,0.0335,-0.001,0.018,0.0393
9.2237,0.0491,-0.0027,-0.0205,0.0537
9.2437,0.0466,0.0108,-0.0583,0.0754
9.2637,0.0075,-0.0113,-0.0687,0.0711
9.2837,0.0031,-0.0107,-0.0281,0.0306
9.3037,0.0122,0.0071,0.0215,0.028
9.3237,-0.0042,0.0075,0.0299,0.0311
9.3437,-0.0219,0.0147,0.0104,0.0297
9.3637,-0.0301,-0.0019,-0.0023,0.0318
9.3837,-0.0208,-0.0305,0.0176,0.0411
9.4037,-0.0189,-0.0232,0.0117,0.0323
9.4237,-0.0079,0.0018,-0.0264,0.0277
9.4437,-0.0328,0.0315,-0.0408,0.0629
9.4637,-0.031,0.0221,-0.0045,0.0386
9.4837,-0.0499,-0.0176,0.0347,0.0639
9.5037,-0.0596,-0.0236,0.0469,0.0794
9.5237,-0.0564,-0.004,0.0398,0.0707
9.5437,-0.0409,0.0033,-0.0046,0.0417
9.5637,0.0164,-0.0005,-0.0155,0.0223
9.5837,0.0346,-0.0253,0.0192,0.0485
9.6037,0.0166,-0.0234,0.0383,0.0482
9.6237,-0.0039,0.0142,-0.0079,0.0171
9.6437,-0.0083,0.0058,-0.0482,0.0503
9.6637,0.0444,0.0065,-0.0633,0.0788
9.6837,0.0591,-0.0206,-0.0235,0.0672
9.7037,0.0667,0.0109,-0.0027,0.0677
9.7237,0.0372,0.0036,-0.011,0.0388
9.7437,-0.0268,-0.0016,-0.0305,0.0412
9.7637,-0.0288,-0.0124,-0.0199,0.0377
9.7837,-0.0309,-0.0272,0.0275,0.0505
9.8037,-0.0202,-0.0117,0.0523,0.0571
9.8237,-0.0276,-0.0136,0.0304,0.044
9.8437,-0.0217,0.0179,-0.0385,0.0484
9.8637,-0.0128,0.006,-0.0525,0.0547
9.8837,-0.0181,-0.0016,-0.0363,0.0409
9.9037,-0.0077,-0.05,-0.0023,0.0511
9.9237,-0.0088,-0.0097,0.0164,0.0235
9.9437,-0.0244,0.0118,-0.024,0.0367
9.9637,-0.021,0.0522,-0.0533,0.0778
9.9837,0.0493,0.0061,-0.0922,0.1052
10.0037,0.079,-0.0443,-0.0812,0.1222
10.0237,0.075,-0.0136,-0.0424,0.0876
10.0437,0.0617,0.0176,0.0187,0.0677
10.0637,0.035,0.0177,0.0103,0.0407
10.0837,0.0107,-0.004,-0.0488,0.0508
10.1037,-0.0052,0.0176,-0.0433,0.0489
10.1237,-0.0463,0.0268,-0.0027,0.0554
10.1437,-0.0062,0.0101,0.0289,0.0336
10.1637,-0.003,-0.0302,0.0024,0.0308
10.1837,0.0011,-0.0269,0.0083,0.029
10.2037,-0.0331,-0.0024,-0.0206,0.0393
10.2237,-0.0332,0.026,-0.0301,0.0519
10.2437,-0.0495,0.0299,0.0034,0.0582
10.2637,-0.0246,0.0112,0.0138,0.0316
10.2837,0.0181,-0.0445,0.0371,0.0613
10.3037,0.0146,-0.0213,0.0589,0.0645
10.3237,-0.0291,0.0051,-0.0186,0.038
10.3437,-0.0561,0.0166,-0.0523,0.0789
10.3637,-0.0171,-0.0064,0.0033,0.0189
10.3837,0.0117,-0.0215,0.0543,0.0593
10.4037,0.0094,-0.0207,0.0517,0.0568
10.4237,0.0053,-0.0041,0.0203,0.0228
10.4437,0.01,0.0193,-0.0186,0.03
10.4637,0.0056,0.0225,-0.0347,0.043
10.4837,0.0329,0.0064,-0.0618,0.072
10.5037,0.0523,-0.008,0.0098,0.054
10.5237,0.013,-0.022,0.0579,0.0638
10.5437,-0.0353,-0.0062,0.0479,0.0605
10.5637,-0.0244,0.01,-0.0211,0.0341
10.5837,0.0031,-0.0085,-0.0327,0.0348
10.6037,0.0552,-0.0395,-0.0068,0.0687
10.6237,0.0607,0.0093,-0.0084,0.0625
10.6437,0.0297,0.0522,-0.0284,0.0665
10.6637,0.0129,0.0349,-0.052,0.0643
10.6837,0.012,0.0013,-0.0431,0.0456
10.7037,0.0135,-0.0093,-0.0096,0.0238
10.7237,-0.0245,0.0078,0.0452,0.0538
10.7437,-0.0436,-0.0079,0.0538,0.0701
10.7637,-0.0217,-0.0061,0.0493,0.0545
10.7837,-0.004,-0.0191,0.0373,0.0423
10.8037,-0.0117,-0.0096,0.051,0.0538
10.8237,-0.0222,0.0077,0.0024,0.0237
10.8437,-0.02,-0.0021,0.0065,0.0257
10.8637,0.0281,0.0022,0.0466,0.0549
10.8837,0.0439,-0.0038,0.045,0.0631
10.9037,0.0345,0.0114,-0.0205,0.0424
10.9237,0.0067,0.001,-0.0793,0.0799
10.9437,0.0152,-0.0194,-0.0713,0.0754
10.9637,0.0124,0.0211,-0.0323,0.0412
10.9837,-0.0108,-0.01,0.02,0.0257
11.0037,-0.0249,-0.0134,0.0088,0.0298
11.0237,-0.0236,0.0049,-0.0275,0.0391
11.0437,-0.0092,0.0221,-0.0359,0.0429
11.0637,-0.0096,0.007,-0.0387,0.042
11.0837,-0.0073,0.0269,-0.0124,0.0318
11.1037,0.0015,-0.0024,-0.0048,0.0067
11.1237,-0.0013,-0.0019,0.0053,0.0062
11.1437,-0.0072,-0.0042,-0.0096,0.0157
11.1637,-0.0179,-0.0181,0.001,0.026
11.1837,0.008,-0.0151,0.0018,0.0172
11.2037,0.0147,0.0304,-0.0186,0.0398
11.2237,-0.0205,-0.0035,-0.0536,0.0581
11.2437,-0.0015,-0.0239,-0.056,0.0616
11.2637,0.0085,-0.0035,-0.0457,0.0467
11.2837,0.0185,-0.0061,0.0033,0.0198
11.3037,0.0248,0.0057,0.0222,0.0338
11.3237,-0.0112,-0.0077,0.0033,0.017
11.3437,0.0071,0.0107,-0.0071,0.0144
11.3637,0.0127,0.0066,-0.0369,0.0395
11.3837,0.0089,0.0017,-0.0314,0.0345
11.4037,-0.0028,-0.0147,-0.0028,0.0173
11.4237,0.0088,0.003,0.0506,0.0512
11.4437,-0.0362,0.0037,0.0626,0.0728
11.4637,-0.0537,0.0327,0.0086,0.0649
11.4837,-0.0503,0.0049,0.0084,0.0529
11.5037,-0.0064,-0.0007,0.0516,0.0548
11.5237,0.0004,-0.0097,0.0659,0.0671
11.5437,-0.0322,-0.002,0.0357,0.0496
11.5637,-0.0373,0.0109,0.0096,0.0402
11.5837,-0.0298,-0.0077,-0.0038,0.031
11.6037,-0.0165,-0.0085,0.0304,0.0378
11.6237,-0.0025,0.0199,0.0433,0.0497
11.6437,-0.0101,0.0222,-0.0071,0.0288
11.6637,0.0001,0.012,-0.0404,0.0422
11.6837,0.0111,0.0043,-0.0322,0.0342
11.7037,-0.0185,0.0152,0.0262,0.0361
11.7237,-0.081,-0.018,0.05,0.0968
11.7437,-0.0775,-0.0073,0.0556,0.0955
11.7637,-0.0897,0.0269,0.0411,0.1027
11.7837,-0.0212,0.0158,0.0035,0.0299
11.8037,0.0318,0.0364,-0.0239,0.0554
11.8237,0.0859,0.001,-0.0299,0.0911
11.8437,0.0874,-0.0246,-0.0252,0.0946
11.8637,0.0951,-0.0238,-0.0112,0.099
11.8837,0.1091,0.0209,-0.0374,0.1177
11.9037,0.1057,0.0313,-0.0864,0.1405
11.9237,0.0944,0.0059,-0.0496,0.1069
11.9437,0.0614,0.0082,-0.0128,0.0645
11.9637,0.0045,-0.0103,0.0133,0.019
11.9837,-0.0367,-0.0057,-0.0009,0.0377
12.0037,-0.0654,0.0043,-0.0183,0.0687
12.0237,-0.0879,0.0125,0.0011,0.0883
12.0437,-0.0962,0.0176,0.0337,0.1036
12.0637,-0.0627,0.0236,0.0517,0.0845
12.0837,-0.0465,0.0167,0.0249,0.0561
12.1037,-0.0203,-0.0149,0.0185,0.0342
12.1237,0.0619,-0.0239,0.0444,0.081
12.1437,0.0627,-0.0171,0.0808,0.1038
12.1637,0.0325,0.0098,0.0337,0.0479
12.1837,0.0085,0.0281,-0.0451,0.054
12.2037,0.0211,-0.0079,-0.027,0.0357
12.2237,0.0172,-0.0154,0.0066,0.0279
12.2437,0.0379,-0.0219,0.0426,0.0611
12.2637,0.0428,0.0129,0.0195,0.0496
12.2837,0.0048,0.0148,-0.0004,0.0164
12.3037,-0.0109,-0.0209,0.0241,0.0336
12.3237,-0.0137,0.0174,0.0308,0.0382
12.3437,-0.0251,-0.0138,0.0361,0.0469
12.3637,-0.0091,0.01,0.0166,0.0221
12.3837,-0.0057,0.0361,0.0069,0.0382
12.4037,-0.0477,0.009,0.0255,0.0567
12.4237,-0.0508,-0.0349,0.0663,0.0908
12.4437,-0.0913,0.0037,0.0791,0.1212
12.4637,-0.103,0.012,0.0738,0.1277
12.4837,-0.109,-0.0217,0.0474,0.1214
12.5037,-0.0556,0.0006,0.0376,0.067
12.5237,-0.002,0.0091,0.0375,0.0387
12.5437,0.0333,-0.0258,0.0684,0.081
12.5637,-0.001,-0.0617,0.1135,0.1301
12.5837,-0.05,-0.0504,0.1546,0.1705
12.6037,-0.088,0.0183,0.1116,0.1431
12.6237,-0.0839,0.0543,0.0019,0.1007
12.6437,-0.0484,0.0268,-0.0286,0.0627
12.6637,-0.0078,-0.0327,-0.0001,0.0341
12.6837,-0.0268,-0.0323,0.0402,0.0585
12.7037,-0.0456,0.0058,0.0,0.047
12.7237,-0.0636,0.0459,-0.0179,0.0809
12.7437,-0.042,0.0215,-0.0143,0.0513
12.7637,0.006,0.0157,-0.0078,0.0242
12.7837,0.0419,-0.009,0.0052,0.0438
12.8037,0.0394,-0.0221,0.0056,0.0463
12.8237,0.0348,0.0054,-0.0123,0.0372
12.8437,0.0194,0.004,-0.0315,0.0371
12.8637,0.0279,0.0183,-0.0475,0.058
12.8837,0.0497,0.0142,-0.0227,0.0567
12.9037,0.0405,-0.0207,-0.0132,0.0501
12.9237,0.0271,-0.0191,0.0124,0.036
12.9437,0.0109,-0.0158,0.0637,0.0669
12.9637,-0.0065,-0.023,0.0828,0.0862
12.9837,-0.0079,-0.0051,0.041,0.042
13.0037,-0.0062,-0.0055,-0.0066,0.0137
13.0237,-0.0273,0.007,-0.0143,0.0346
13.0437,-0.0269,0.0306,0.0049,0.0413
13.0637,-0.0236,0.0252,0.0037,0.035
13.0837,-0.0109,-0.0082,0.004,0.019
13.1037,-0.0088,0.0108,0.0048,0.015
13.1237,-0.0305,0.0494,0.0194,0.0615
13.1437,-0.0576,0.0153,0.0216,0.0635
13.1637,-0.0434,0.0153,-0.0042,0.0468
13.1837,-0.0419,-0.011,0.0014,0.0433
13.2037,-0.0272,-0.0032,0.0219,0.0375
13.2237,-0.0018,0.0214,0.0285,0.0363
13.2437,-0.0253,0.0046,0.0315,0.0416
13.2637,-0.013,0.0076,-0.0023,0.0191
13.2837,0.0185,-0.0112,-0.0585,0.0627
13.3037,0.0087,-0.0053,-0.0327,0.0352
13.3237,-0.0056,0.0105,0.0645,0.0663
13.3437,-0.0007,0.0056,0.0825,0.0831
13.3637,-0.0122,-0.0247,0.0758,0.0816
13.3837,-0.0123,-0.0122,0.0267,0.032
13.4037,0.0033,-0.0043,-0.0014,0.0059
13.4237,-0.0189,0.0424,-0.0161,0.051
13.4437,-0.0809,0.0348,-0.047,0.1002
13.4637,-0.0676,0.0207,-0.0404,0.0819
13.4837,0.015,0.0007,0.0493,0.0517
13.5037,0.0298,-0.0012,0.0308,0.0456
13.5237,0.0271,-0.0044,-0.0048,0.0283
13.5437,-0.0046,-0.0047,-0.0027,0.0101
13.5637,0.0017,0.0006,0.0035,0.0043
13.5837,0.027,0.0064,0.0246,0.0387
13.6037,-0.006,-0.053,0.0416,0.0682
13.6237,0.0118,-0.0565,0.0962,0.112
13.6437,-0.019,-0.0059,0.0856,0.0883
13.6637,-0.0882,-0.0303,0.0267,0.0987
13.6837,-0.0363,-0.0595,-0.007,0.0702
13.7037,0.0735,0.009,-0.0176,0.0765
13.7237,0.116,0.0497,-0.028,0.1293
13.7437,0.1055,0.0373,-0.0781,0.137
13.7637,0.0352,0.0097,-0.0935,0.1001
13.7837,0.0038,0.0112,-0.0643,0.0685
13.8037,0.0237,0.0497,-0.0442,0.0706
13.8237,0.0389,0.0627,-0.0717,0.1029
13.8437,0.0421,0.0195,-0.0933,0.1057
13.8637,0.0217,-0.0134,-0.0563,0.0626
13.8837,0.0366,-0.0063,-0.0184,0.0426
13.9037,0.0323,0.0114,-0.0102,0.036
13.9237,0.0295,-0.0022,-0.0152,0.0336
13.9437,0.0335,-0.0176,-0.0029,0.0397
13.9637,0.0403,-0.0278,0.0552,0.075
13.9837,0.0456,-0.0478,0.1044,0.1236
14.0037,-0.0016,-0.0121,0.101,0.102
14.0237,-0.0318,0.0268,0.0514,0.0692
14.0437,-0.0719,0.0208,-0.0417,0.086
14.0637,-0.0766,0.0206,-0.071,0.1062
14.0837,-0.0212,0.0129,-0.0397,0.0474
14.1037,0.0244,0.029,0.0222,0.0443
14.1237,0.0279,0.004,0.0491,0.0613
14.1437,0.0008,-0.0109,0.0366,0.0387
14.1637,-0.0051,-0.017,0.0318,0.037
14.1837,-0.0042,-0.0207,0.0394,0.0451
14.2037,0.0152,0.0037,0.0514,0.0537
14.2237,0.0125,-0.0038,0.0723,0.0736
14.2437,0.0316,-0.0077,0.0268,0.044
14.2637,0.0048,0.0221,-0.0009,0.0229
14.2837,-0.0104,0.036,-0.0347,0.0517
