time,wx (rad/s),wy (rad/s),wz (rad/s)
4.0049,1.34,-1.34,0.49
4.0249,1.8487,-1.0307,0.0807
4.0449,2.4428,-0.4115,-0.2
4.0649,2.4219,0.2022,-0.0139
4.0849,2.2063,0.5718,0.19
4.1049,1.6688,-0.2036,0.18
4.1249,1.3063,-1.0374,0.3169
4.1449,1.3774,-0.8215,0.49
4.1649,1.58,0.0423,0.2719
4.1849,1.5309,0.5082,0.3291
4.2049,1.4654,0.7246,0.5693
4.2249,1.2427,0.1853,0.8487
4.2449,0.8648,-0.4919,0.95
4.2649,0.3872,-1.2713,0.8315
4.2849,0.1632,-1.6784,0.6132
4.3049,-0.0189,-1.6823,0.2511
4.3249,-0.1888,-1.3025,0.0525
4.3449,-0.4436,-1.0428,-0.1136
4.3649,-0.722,-0.859,-0.231
4.3849,-0.9734,-0.5833,-0.3834
4.4049,-1.09,-0.3223,-0.6077
4.4249,-0.9542,-0.0742,-0.75
4.4449,-0.6798,0.1002,-0.5896
4.4649,-0.5235,0.1235,-0.2771
4.4849,-0.5003,-0.0497,0.0795
4.5049,-0.46,-0.1737,0.1263
4.5249,-0.53,-0.4292,-0.09
4.5449,-0.452,-0.668,0.1141
4.5649,-0.2594,-0.6394,0.5906
4.5849,-0.233,-0.507,0.703
4.6049,-0.3937,-0.2427,0.6663
4.6249,-0.6657,0.5048,0.4243
4.6449,-0.4196,1.027,0.1257
4.6649,1.0177,-0.2163,0.1486
4.6849,1.109,-0.9609,-0.0164
4.7049,-0.3064,0.6629,-0.4164
4.7249,-0.4189,1.0478,-0.8722
4.7449,-0.1508,0.3438,-1.0292
4.7649,-0.2101,-0.3752,-1.0249
4.7849,-0.4871,-0.7271,-0.7957
4.8049,-0.8905,-1.0195,0.0207
4.8249,-1.745,2.5214,0.0687
4.8449,-2.364,5.7302,-0.03
4.8649,-1.9618,5.8135,-0.0788
4.8849,-0.534,4.6988,-0.21
4.9049,-0.1482,0.2918,0.2483
4.9249,-1.0386,-1.042,0.19
4.9449,-1.1168,-2.1764,0.11
4.9649,-0.5998,-1.5461,-0.1835
4.9849,-0.4869,-0.4327,-0.1965
5.0049,-0.6261,0.0305,-0.13
5.0249,-0.4807,0.5107,-0.16
5.0449,-0.3673,0.5918,-0.2173
5.0649,-0.4787,1.2434,-0.3087
5.0849,-0.54,1.7332,-0.43
5.1049,-0.4847,1.6794,-0.46
5.1249,-0.18,0.796,-0.3852
5.1449,-0.2027,0.39,-0.2473
5.1649,-0.3943,0.8215,-0.1157
5.1849,-0.5083,1.3817,-0.0583
5.2049,-0.3681,1.2022,-0.0241
5.2249,0.08,0.36,-0.01
5.2449,0.1,0.69,0.02
5.2649,0.1795,1.2991,0.0395
5.2849,0.4703,1.2197,0.4503
5.3049,0.6782,0.6672,0.7782
5.3249,0.8437,-0.9305,1.1968
5.3449,1.164,-0.826,1.28
5.3649,1.5524,-0.6941,1.17
5.3849,1.9913,-0.8057,1.1743
5.4049,2.0616,-0.83,1.1392
5.4249,2.2186,-0.5159,0.9173
5.4449,1.9168,-0.1868,0.7284
5.4649,1.6877,0.3384,0.63
5.4849,1.4394,0.5306,0.55
5.5049,1.3614,0.6886,0.53
5.5249,1.51,0.94,0.61
5.5449,1.2153,0.5765,0.5812
5.5649,0.6927,0.0814,0.6886
5.5849,0.5499,-0.2102,0.7301
5.6049,0.5216,-0.2484,0.74
5.6249,0.0445,-0.9527,0.5245
5.6449,-0.19,-1.12,0.28
5.6649,-0.4639,-1.16,0.088
5.6849,-0.7389,-1.0756,-0.1144
5.7049,-0.8274,-0.9963,-0.1974
5.7249,-1.13,-0.69,-0.6295
5.7449,-1.0428,-0.7986,-0.8386
5.7649,-0.6836,-0.7936,-0.8779
5.7849,-0.37,-0.4913,-0.5939
5.8049,-0.37,-0.4218,-0.4927
5.8249,-0.5551,0.3649,-0.04
5.8449,-0.4977,0.0831,-0.2546
5.8649,-0.3603,-0.5289,-0.5097
5.8849,-0.31,-1.0718,-0.4112
5.9049,-0.5375,-1.3512,0.415
5.9249,-0.7449,-1.1602,0.6549
5.9449,-0.5918,-0.1927,0.6218
5.9649,0.0419,0.214,0.43
5.9849,0.6129,0.0074,0.45
6.0049,0.7698,-0.01,0.4101
6.0249,-0.2301,0.6875,-0.2125
6.0449,-0.2495,1.18,-0.4602
6.0649,0.0911,0.8857,-0.7511
6.0849,0.1363,0.2852,-0.9237
6.1049,-0.1168,-0.1784,-0.8116
6.1249,-0.6061,-0.2039,-0.5508
6.1449,-1.4824,1.721,-0.47
6.1649,-1.7027,2.4054,-0.6073
6.1849,-0.9053,1.7153,-0.6576
6.2049,-0.625,1.3812,-0.5762
6.2249,-0.6806,0.1188,-0.0497
6.2449,-0.8734,-0.5566,-0.0333
6.2649,-0.6116,-0.75,-0.09
6.2849,-0.5222,-0.6056,-0.1822
6.3049,-0.7043,-0.2935,-0.32
6.3249,-0.79,0.0662,-0.3881
6.3449,-0.75,0.19,-0.4441
6.3649,-0.6076,0.3372,-0.42
6.3849,-0.4828,0.6645,-0.39
6.4049,-0.432,0.818,-0.4
6.4249,-0.4,0.92,-0.5191
6.4449,-0.3594,1.1106,-0.47
6.4649,-0.296,1.16,-0.42
6.4849,-0.24,0.8194,-0.39
6.5049,-0.24,0.4783,-0.38
6.5249,-0.31,0.5117,-0.3983
6.5449,-0.2279,0.5979,-0.2379
6.5649,-0.0735,0.47,-0.0235
6.5849,0.0458,0.5558,0.1558
6.6049,0.2297,0.9296,0.2399
6.6249,0.8992,0.6115,0.7192
6.6449,1.27,-0.2348,1.041
6.6649,1.0286,-1.0741,1.1714
6.6849,1.1115,-1.1328,1.24
6.7049,1.8374,-0.7853,0.9853
6.7249,1.6354,-0.67,0.6836
6.7449,1.2608,-0.74,0.4154
6.7649,1.17,-0.6239,0.2961
6.7849,1.29,-0.2004,0.3859
6.8049,1.36,0.3267,0.46
6.8249,1.26,0.89,0.65
6.8449,1.1924,0.7548,0.6824
6.8649,0.987,0.427,0.55
6.8849,0.7109,0.1309,0.5691
6.9049,0.5686,0.1286,0.5986
6.9249,0.4243,-0.1757,0.58
6.9449,0.3175,-0.2075,0.5675
6.9649,0.204,-0.206,0.414
6.9849,0.0318,-0.2941,0.2959
