time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.0097,1.3616,1.5777,-4.7004,5.142
4.0297,-0.7045,-0.276,-5.5772,5.6362
4.0497,-1.8175,-1.4683,-5.7508,6.2078
4.0697,-2.7135,-1.9129,-6.0935,6.9406
4.0897,0.5788,0.0386,7.512,7.5369
4.1097,2.3373,0.4019,5.6634,6.1438
4.1297,1.4148,-0.4021,-2.6419,3.0374
4.1497,0.8725,-0.5539,-3.0341,3.2051
4.1697,0.4043,0.2632,-0.2646,0.5941
4.1897,0.0002,0.8014,0.4171,0.9061
4.2097,-0.4405,0.6505,0.0799,0.7912
4.2297,-0.8467,0.6438,0.027,1.0646
4.2497,-0.5005,0.379,-0.0834,0.6341
4.2697,-0.1472,0.3349,-0.175,0.4066
4.2897,0.2785,-0.0506,-0.1581,0.3244
4.3097,0.2256,-0.1064,-0.1826,0.3105
4.3297,0.0446,0.0276,0.1618,0.1787
4.3497,-0.1789,0.2997,1.2173,1.2662
4.3697,-0.4937,0.5991,1.6196,1.7963
4.3897,-0.9456,0.5782,1.2547,1.6749
4.4097,-1.8208,0.3116,0.4872,1.9104
4.4297,-2.1444,0.1321,0.1356,2.1527
4.4497,-2.266,-0.0266,0.0297,2.2666
4.4697,-1.9578,-0.2836,0.8943,2.1761
4.4897,-1.787,0.0056,1.8847,2.5983
4.5097,-2.0437,-0.0036,2.2071,3.0081
4.5297,-2.9852,0.224,2.3055,3.7788
4.5497,-3.86,0.4731,2.6955,4.7321
4.5697,-3.6145,0.5917,3.1322,4.8199
4.5897,-2.9697,1.0609,3.099,4.4212
4.6097,-2.8695,0.5872,3.3563,4.4562
4.6297,-2.6172,-0.0338,2.9075,3.9134
4.6497,-1.2122,-1.4296,2.0426,2.792
4.6697,0.8653,-3.3528,0.1511,3.4659
4.6897,1.3683,-4.7026,-2.1503,5.3527
4.7097,1.7926,-5.8634,-4.2603,7.4675
4.7297,1.8099,-5.1374,-4.7913,7.255
4.7497,2.3104,-1.9523,-2.2986,3.8055
