accx,accy,accz
0.1811413,0.7878133,0.581194
0.1803886,0.78823,0.5840168
0.1845716,0.7888803,0.5806201
0.1871044,0.7884942,0.5742789
0.1864613,0.7865438,0.5701844
0.186145,0.7878105,0.570179
0.1899235,0.7879078,0.5720006
0.1930647,0.7879235,0.5769331
0.1901308,0.7896034,0.5754691
0.1840766,0.7883853,0.5736857
0.1787438,0.7869169,0.5782781
0.1804751,0.7865416,0.5768502
0.1866441,0.7899806,0.5729889
0.1881043,0.7968576,0.5690532
0.1875201,0.7985047,0.5686374
0.1864577,0.7965345,0.5745978
0.185567,0.7961915,0.575487
0.1859632,0.7949749,0.5749763
0.1832877,0.7909108,0.5751798
0.1815546,0.7868142,0.573915
0.1845881,0.7869043,0.5729752
0.1872259,0.7895137,0.5696355
0.1861786,0.7908085,0.5705974
0.184416,0.7919494,0.5726649
0.1856936,0.7914407,0.5703077
0.1882394,0.7873332,0.5692349
0.1909168,0.784322,0.5675774
0.1900958,0.7842649,0.5685369
0.1861476,0.7862471,0.5704174
0.1862147,0.7911444,0.5679628
0.1860613,0.7954339,0.5684897
0.1856696,0.7927887,0.5718814
0.1872312,0.7878314,0.573933
0.1874654,0.789523,0.5715887
0.1909742,0.7898757,0.5679724
0.1934969,0.7875851,0.5715632
0.192846,0.7904579,0.5745219
0.1931137,0.7899848,0.573154
0.1904921,0.7884006,0.5730692
0.1878819,0.7894387,0.5701012
0.185964,0.7865715,0.5670995
0.1845911,0.7861633,0.5698601
0.1854505,0.7866547,0.5729005
0.1863978,0.785388,0.5736249
0.190015,0.7865583,0.5780548
0.1909218,0.7866116,0.5823931
0.1872313,0.7887051,0.5736915
0.1842326,0.7925297,0.5637072
0.180511,0.7926859,0.5683254
0.1802723,0.792049,0.5721741
0.1828297,0.7916275,0.5705076
0.1839791,0.7914465,0.5729121
0.1859775,0.7918321,0.5715874
0.1889061,0.7913084,0.5685703
0.1914498,0.7897842,0.5700025
0.190219,0.7884267,0.5690626
0.1885659,0.7886658,0.5688503
0.18936,0.7890693,0.5708247
0.1883425,0.787866,0.5714765
0.187979,0.7871017,0.5714196
0.1875998,0.7877908,0.5705506
0.1869051,0.7886359,0.5736831
0.18752,0.7899458,0.5754878
0.1846476,0.7911016,0.5700089
0.1822847,0.7919169,0.5664985
0.1838059,0.793324,0.5671994
0.1855268,0.7920095,0.5691339
0.1874289,0.7881771,0.5710671
0.1879252,0.7869959,0.5737714
0.1873017,0.7883892,0.5761257
0.1874743,0.7893995,0.5747635
0.1875796,0.788719,0.5750721
0.1874844,0.7878636,0.5772027
0.1874397,0.788402,0.5779735
0.1875798,0.7898731,0.5778524
0.1869295,0.7935433,0.5758588
0.1847823,0.7963858,0.5760281
0.1833223,0.7925071,0.5765682
0.1864823,0.786928,0.574466
0.1901352,0.7858691,0.5733031
0.1863268,0.7848397,0.5719192
0.1828897,0.7842837,0.5711033
0.1852495,0.7880893,0.5757409
0.185302,0.7899656,0.5825271
0.1851678,0.7894709,0.5809749
0.1876786,0.7904351,0.5748146
0.1878182,0.7890977,0.5747115
0.1877572,0.7866263,0.5746399
0.1903184,0.7860143,0.5718291
0.192275,0.7877314,0.5714586
0.1910688,0.7896831,0.5704087
0.1894267,0.7879147,0.5700488
0.1900764,0.7868124,0.5745609
0.1886776,0.7881917,0.5762215
0.1855944,0.7894416,0.5723477
0.1858872,0.7916165,0.5719201
0.1869846,0.7922465,0.5747942
0.1885609,0.7909542,0.5767655
0.1910099,0.7898918,0.5766496
0.1897136,0.7881611,0.5732056
0.1881076,0.7867169,0.5719042
0.1900625,0.7862243,0.5730728
0.190812,0.7869899,0.5735939
0.1894438,0.7897924,0.5756323
0.1878185,0.7910426,0.5752675
0.1862884,0.7897928,0.5733235
0.1873128,0.7884423,0.5740189
0.1885165,0.7843387,0.574373
0.1880124,0.781358,0.5751595
0.1898361,0.7870995,0.5752362
0.1900367,0.7931665,0.5735745
0.1871269,0.7919484,0.5734398
0.1874528,0.7914384,0.5726826
0.1886946,0.7922617,0.5723863
0.1889127,0.7890187,0.5752131
0.188989,0.7871617,0.5791237
0.1877064,0.7868138,0.5837655
0.1873145,0.785404,0.5861577
0.1873515,0.7867251,0.5807176
0.1863846,0.7880699,0.5716622
0.1850684,0.7890216,0.5699569
0.1845542,0.7895343,0.5694539
0.186687,0.7881981,0.5624127
0.1881883,0.7891301,0.5627721
0.1881533,0.7891508,0.5725807
0.1908898,0.7883622,0.5787106
0.1938947,0.7893741,0.5773368
0.1917398,0.7882993,0.5753571
0.1887961,0.7870317,0.5806614
0.1896385,0.7865656,0.5827673
0.1864303,0.7891247,0.5766651
0.1813707,0.7932535,0.5736188
0.1844867,0.7907321,0.5737276
0.1878606,0.7879289,0.5740702
0.187444,0.7884586,0.5735471
0.188827,0.7868944,0.5743327
0.1900066,0.7863586,0.5770452
0.1899281,0.786346,0.5774456
0.1877894,0.7854429,0.5798479
0.1849681,0.7853461,0.5813002
0.1859868,0.7835966,0.5791767
0.1867625,0.7832055,0.5789007
0.1854357,0.7864312,0.5781308
0.1853154,0.7882425,0.5772778
0.1846585,0.7878436,0.5757983
0.184675,0.7881805,0.5736317
0.1870991,0.7899951,0.574121
0.1887997,0.7899708,0.5745601
0.1892318,0.7881938,0.574494
0.189033,0.7888815,0.5748589
0.1895467,0.7892587,0.574975
0.1908211,0.7883311,0.5730105
0.189907,0.7883785,0.57063
0.1882077,0.7879398,0.5718501
0.1872581,0.7880265,0.5734508
0.1869404,0.7875435,0.5733911
0.1872036,0.7860428,0.5709664
0.186639,0.7865345,0.5692065
0.1874339,0.7880364,0.5739325
0.1881675,0.7902052,0.5780243
0.1872878,0.7908295,0.5756637
0.1894016,0.7888547,0.5734397
0.191117,0.7886935,0.5736838
0.189689,0.7894068,0.5714614
0.1884131,0.7905093,0.5683232
0.1874236,0.7920248,0.5667232
0.1890117,0.7890915,0.5655302
0.1912761,0.7834578,0.568482
0.1902358,0.7810431,0.5737729
0.1898477,0.7837031,0.578674
0.1899433,0.7869141,0.5798826
0.18642,0.7866727,0.5749536
0.1826142,0.7884094,0.5734201
0.1837206,0.7913227,0.5716161
0.1887543,0.7892928,0.5722729
0.1932297,0.7869303,0.5804601
0.1939644,0.7866909,0.5777135
0.1925255,0.7862067,0.5740555
0.192949,0.787715,0.576518
0.193131,0.7899209,0.5737839
0.1905383,0.789643,0.576127
0.1876957,0.7893922,0.5761146
0.1849301,0.7899771,0.5715501
0.1833874,0.7901533,0.5716981
0.1843661,0.79037,0.570041
0.1858179,0.7893385,0.571643
0.1867552,0.7883988,0.5749781
0.1870933,0.7889008,0.57678
0.1882572,0.7878471,0.5784749
0.188689,0.7863822,0.5768564
0.1869263,0.7865961,0.577465
0.1872954,0.7870379,0.5746317
0.1880017,0.7870091,0.5703589
0.186755,0.7873153,0.5736048
0.1860066,0.7881131,0.5740911
0.1851879,0.78787,0.5722629
0.1859495,0.7871662,0.5721616
0.1868309,0.7860579,0.5723391
0.1855988,0.7853895,0.5743612
0.1864778,0.7866908,0.5753124
0.1886141,0.7855855,0.5757516
0.1907918,0.782943,0.5774678
0.1925035,0.7826088,0.5782852
0.1905747,0.785736,0.5717934
0.1895908,0.7906784,0.5639359
0.1900116,0.7885454,0.5697609
0.1865631,0.7856331,0.5753973
0.1835608,0.7887657,0.5716331
0.1844653,0.7883904,0.5743303
0.1853733,0.78846,0.5783337
0.1853355,0.7898432,0.5758955
0.1889726,0.7881132,0.5759538
0.1934659,0.7887527,0.5771856
0.1918795,0.7874099,0.5769121
0.190479,0.7846432,0.5779081
0.1911628,0.7849802,0.5769945
0.1880834,0.7842031,0.574785
0.1865362,0.7840358,0.574876
0.187919,0.7846345,0.5749337
0.1869982,0.7864046,0.5740257
0.1846181,0.7895709,0.5728755
0.1826889,0.7890093,0.5713001
0.1829369,0.7889969,0.5710069
0.1846615,0.7916531,0.5711605
0.1866504,0.7918045,0.568593
0.1899817,0.7897581,0.5666982
0.190591,0.7883138,0.5689741
0.189404,0.7899607,0.5702602
0.190531,0.7920374,0.5705496
0.1882188,0.7925206,0.5716587
0.184564,0.7932501,0.5703352
0.1848119,0.7922086,0.5711848
0.1854591,0.7911259,0.5743497
0.1861581,0.7918261,0.5760271
0.1845466,0.7919078,0.5766149
0.1824246,0.7922866,0.5724087
0.1853706,0.7917677,0.5699322
0.1897178,0.7879218,0.5741969
0.1925916,0.7852433,0.5777594
0.1910119,0.7886498,0.5779715
0.187156,0.791375,0.5747152
0.1875914,0.7873108,0.5726545
0.1885324,0.7847369,0.5737446
0.1889116,0.7864455,0.5737621
0.1893159,0.7864038,0.5733927
0.1884286,0.7859333,0.5726153
0.1892415,0.7875085,0.5720428
