accx,accy,accz
0.7873638,0.4104304,0.4732112
0.7872865,0.4121585,0.4760389
0.7878707,0.4151119,0.4731766
0.7885771,0.4107396,0.4705635
0.789897,0.4085728,0.4720393
0.790829,0.411266,0.4694351
0.7901055,0.4123411,0.4690211
0.7902898,0.4130696,0.470883
0.7918195,0.4146232,0.4700369
0.7934975,0.4175004,0.4675481
0.7946364,0.4189593,0.4644811
0.7918442,0.4177353,0.4675391
0.7891669,0.4179079,0.4713191
0.7912554,0.4176259,0.4688492
0.792433,0.4142862,0.4680344
0.7911676,0.4114553,0.4679094
0.7906742,0.4121309,0.4647346
0.7909658,0.4134241,0.4623703
0.7935728,0.4130413,0.462031
0.7967887,0.4141643,0.4627388
0.794303,0.4153298,0.4629911
0.7902436,0.4151461,0.4643433
0.7900135,0.416497,0.4674742
0.7888876,0.4169187,0.4668279
0.7892491,0.4166561,0.4633081
0.792224,0.4175754,0.4625073
0.7917324,0.4172646,0.4626721
0.791356,0.4165652,0.4622767
0.7924033,0.4159007,0.4625807
0.7931473,0.4142795,0.4627565
0.7951231,0.4125517,0.4632566
0.7948979,0.4128266,0.4640742
0.7947233,0.4139076,0.4631022
0.7965447,0.4124333,0.4621269
0.7953175,0.4114601,0.4634768
0.7927623,0.4117911,0.4643565
0.7912266,0.4141933,0.4630623
0.7911721,0.4183232,0.4602158
0.7922558,0.417405,0.4584325
0.7913298,0.4182882,0.4632183
0.7906738,0.4213203,0.4689343
0.7920491,0.4145621,0.4660544
0.7952732,0.4083796,0.4637345
0.7995687,0.4111322,0.4671474
0.7982957,0.4124289,0.4670105
0.7931934,0.4110044,0.4653654
0.7909005,0.4120662,0.4638028
0.7910864,0.4130999,0.4604479
0.7920014,0.4154327,0.4607182
0.7898264,0.4196621,0.4584654
0.7881644,0.4172808,0.4541011
0.7911322,0.4140249,0.4598427
0.7922486,0.4151113,0.4669037
0.7917795,0.4137291,0.4674835
0.7924819,0.4153009,0.4684507
0.7932538,0.4179915,0.4690911
0.7932189,0.4158558,0.4661184
0.7917205,0.4145597,0.4627448
0.7919293,0.4127921,0.4642899
0.7935167,0.4122424,0.4671876
