accx,accy,accz
0.9885424,0.02456399,0.2339501
0.9900083,0.02880656,0.2389557
0.9877458,0.02677405,0.2340663
0.9978473,0.03589975,0.2191046
0.9961708,0.03916003,0.221698
0.9921324,0.02164172,0.2202819
0.9901403,0.0002285588,0.2162158
0.9881325,0.00936307,0.2199367
0.9946928,0.04449568,0.2349742
0.992546,0.06116168,0.2547369
0.9963497,0.03577103,0.2401157
1.012597,-0.007009778,0.21822
1.026826,-0.01053419,0.2188214
1.029359,0.004810046,0.2151796
0.9892239,0.006936938,0.2298511
0.9521821,0.02285737,0.2581995
0.9739686,0.02277685,0.2536558
0.9990078,0.01063881,0.2456282
0.9982676,0.01646932,0.2528989
1.000494,0.01107972,0.2498562
1.000601,0.01110348,0.2507978
0.9934537,0.01752604,0.2570637
0.9927904,0.01675968,0.2539755
0.9937044,0.02600067,0.2512837
0.9961103,0.02657348,0.2470805
1.00048,0.02621741,0.2446005
0.9961816,0.03068899,0.2455382
0.994067,0.02534132,0.243032
0.9930733,0.02630257,0.2449486
0.988547,0.02559708,0.2450917
0.9903903,0.02310163,0.2431921
0.9911383,0.02676706,0.2464402
0.9916164,0.02354357,0.2484609
0.9940476,0.02034031,0.2522864
0.9943083,0.01492345,0.2517936
0.9963339,0.006815701,0.2480358
0.9978342,0.006662302,0.2518413
0.9972644,0.007454953,0.2514525
0.9954967,0.01112317,0.2472765
0.9939522,0.01738978,0.2445184
0.9926765,0.02149601,0.2414582
0.9925118,0.02876012,0.2439405
0.9938579,0.03781924,0.2463439
0.9926113,0.04420149,0.2473336
0.9932877,0.040555,0.24908
0.9955604,0.02965654,0.2482429
0.9966402,0.02373036,0.2497194
0.9981378,0.02595419,0.2505896
0.9966556,0.03820031,0.2491126
0.9951895,0.04852835,0.2485866
0.9916953,0.04625373,0.2458207
0.9873641,0.04133548,0.2433231
0.9919181,0.0357679,0.2418279
0.9966275,0.03046926,0.2433596
0.9954956,0.03401547,0.2481998
0.9939348,0.04034624,0.2485774
0.9925658,0.03912852,0.2497114
0.9930076,0.03681688,0.2513996
0.9943697,0.03453751,0.2481965
0.9943158,0.0284212,0.2465444
0.9936109,0.02831786,0.243323
0.9927626,0.02530742,0.2395243
0.9928865,0.01713564,0.239265
0.9931741,0.02635927,0.2379401
0.9920129,0.03961097,0.2392078
