accx,accy,accz
0.8196169,-0.1523413,-0.2422404
0.7263481,-0.1258414,-0.1893542
0.7224561,-0.1287885,-0.1984056
0.738002,-0.1454875,-0.2260944
0.778136,-0.1552341,-0.1702969
0.8337465,-0.2126298,-0.1433626
0.8332373,-0.2259102,-0.153768
0.7790485,-0.2006561,-0.08247691
0.7469656,-0.2140471,-0.02173189
0.7593049,-0.2060002,-0.04876722
0.8223562,-0.199729,-0.1240764
1.023634,-0.1953431,-0.1956127
1.210724,-0.1644344,-0.2282532
1.199154,-0.1473014,-0.2131743
1.191154,-0.1225652,-0.1765107
1.25175,-0.1278222,-0.1295897
1.208684,-0.1879457,-0.02689001
1.195745,-0.2555073,-0.02242764
1.301555,-0.3414472,-0.2466015
1.315069,-0.4350869,-0.5460139
1.181611,-0.5161423,-0.6958346
0.9337341,-0.5348926,-0.5162188
0.7311251,-0.4290494,-0.3070211
0.7493088,-0.2680887,-0.3612186
0.8767369,-0.1551993,-0.4280687
1.052244,-0.1495634,-0.4628542
1.109254,-0.2469725,-0.4318112
0.9695751,-0.3362027,-0.2897141
0.8362572,-0.3297099,-0.2566698
0.6973052,-0.249262,-0.2510407
0.6496896,-0.1632887,-0.2392731
0.7258442,-0.1150836,-0.2885834
0.7553711,-0.1123288,-0.2960397
0.8365118,-0.1312759,-0.3058493
0.9340802,-0.1434794,-0.2888417
0.9267762,-0.1595929,-0.2447136
0.8863454,-0.1554734,-0.2204978
0.8475746,-0.1109598,-0.1559903
0.8387766,-0.06302219,-0.135353
0.8867962,-0.03236207,-0.1446614
0.9732741,-0.04674702,-0.1586666
1.044187,-0.09422355,-0.2295407
1.080409,-0.1512256,-0.2365786
1.131563,-0.1785606,-0.1579069
1.195357,-0.07284678,-0.0934392
1.22254,0.08086831,-0.10991
1.212374,0.1088467,-0.1799359
1.207781,0.001186935,-0.2859141
1.183848,-0.1969817,-0.5134131
1.097055,-0.3795165,-0.6520028
0.9667648,-0.4243495,-0.5375771
0.8809346,-0.3759568,-0.4664593
0.9842795,-0.3651103,-0.5134989
1.171701,-0.3466613,-0.4913026
1.233486,-0.2560126,-0.4386407
1.2273,-0.2131215,-0.4048761
1.158067,-0.19307,-0.3522805
0.9829646,-0.1331804,-0.3022732
0.7950897,-0.1249187,-0.2243726
0.6565218,-0.1351977,-0.1487814
0.6281513,-0.1288906,-0.16049
0.6777042,-0.1275149,-0.1874742
0.7300259,-0.1008342,-0.2003309
0.8053069,-0.08284803,-0.2009205
0.8399138,-0.1252164,-0.1637954
0.7998573,-0.2077081,-0.1204386
0.7650724,-0.2660793,-0.04039441
0.7796791,-0.2925527,-0.005482295
0.8840652,-0.3001735,-0.1038341
1.069676,-0.2803744,-0.2219351
1.202189,-0.255426,-0.2960338
1.229117,-0.2035528,-0.2943858
1.269833,-0.1494679,-0.1898509
1.314031,-0.1227625,-0.01157557
1.256651,-0.08681303,0.09668882
1.189468,-0.1341974,-0.05852516
1.195893,-0.3157219,-0.3575008
1.140222,-0.5363906,-0.6207355
1.001019,-0.6375131,-0.7393433
0.9410097,-0.5118031,-0.5258259
0.8791415,-0.3463528,-0.2837207
0.8006593,-0.2405435,-0.3391982
0.9046582,-0.1371513,-0.3628
1.030441,-0.1559093,-0.3174528
1.047173,-0.2254332,-0.3760978
1.019264,-0.2283343,-0.3374539
0.8547207,-0.2144041,-0.2529299
0.6627747,-0.1593419,-0.2312079
0.6426653,-0.1411881,-0.211983
0.7461001,-0.153413,-0.2534983
0.8259303,-0.1401475,-0.2731965
0.8689106,-0.1843375,-0.251346
0.9235906,-0.1891512,-0.2466523
0.8940378,-0.1332852,-0.1838718
0.8463549,-0.08339414,-0.130328
0.8668361,-0.0257595,-0.1313102
0.8647822,-0.02751932,-0.1485537
0.9107747,-0.03366679,-0.1941314
0.9983917,-0.04981302,-0.2323552
1.094448,-0.1834953,-0.2198912
1.244197,-0.3069742,-0.1573239
1.268493,-0.24128,-0.1266457
1.172693,-0.02455849,-0.1568102
1.157399,0.1064985,-0.2187038
1.160326,0.04494961,-0.3088409
1.120751,-0.1156495,-0.3998456
1.041097,-0.2624946,-0.5191588
0.9273009,-0.307621,-0.5634922
0.9636715,-0.3028052,-0.4959603
1.119225,-0.3566748,-0.5055537
1.230062,-0.4314588,-0.511402
1.31495,-0.3906438,-0.4613848
1.24029,-0.2816128,-0.4228613
1.078615,-0.1755441,-0.3272638
1.016099,-0.07167751,-0.316829
0.893998,-0.1181695,-0.3494116
0.7446449,-0.1735443,-0.2512017
0.6685831,-0.1467905,-0.1961303
0.6502883,-0.2101928,-0.1670865
0.7030069,-0.1907934,-0.1332181
0.7700799,-0.1379897,-0.1833377
0.8525213,-0.1720007,-0.1766036
0.8602139,-0.1525718,-0.1389172
0.7985347,-0.1836141,-0.09776529
0.7901717,-0.2330138,-0.03263315
0.8142806,-0.246848,-0.09326015
0.9346779,-0.2860952,-0.1781264
1.088933,-0.2574992,-0.1920971
1.162369,-0.2003115,-0.207206
1.194169,-0.1587069,-0.1777568
1.217549,-0.1714215,-0.09863343
1.275827,-0.2637336,-0.04982617
1.331288,-0.3452887,-0.2042324
1.359024,-0.4485653,-0.5347574
1.232594,-0.5146806,-0.6559464
0.8921721,-0.4918931,-0.4624334
0.6681261,-0.4334434,-0.2833604
0.7010599,-0.2874758,-0.3247212
0.8700393,-0.1703476,-0.4202567
1.062823,-0.1646701,-0.4439341
1.156985,-0.2067838,-0.447468
1.135624,-0.2833634,-0.3721944
0.99997,-0.282307,-0.2491827
0.8163454,-0.2341011,-0.1701407
0.7337987,-0.2131602,-0.1626184
0.7557625,-0.1579,-0.2348711
0.7742339,-0.1378236,-0.2607525
0.8082627,-0.1496193,-0.2662721
0.8726791,-0.1352998,-0.2822818
0.8430809,-0.1195359,-0.2331997
0.7922922,-0.07467417,-0.1963674
0.8040201,-0.02192989,-0.1496953
0.8209268,-0.0004908163,-0.1371765
0.8917519,-0.009586396,-0.1972113
0.9676825,-0.04045773,-0.2148457
1.027611,-0.107306,-0.2309168
1.1266,-0.1909802,-0.2087277
1.201814,-0.1635737,-0.1485226
1.249509,-0.04767735,-0.134171
1.252571,0.01844308,-0.1428116
1.230601,-0.02799065,-0.2274462
1.236175,-0.198514,-0.3792247
1.174483,-0.3597391,-0.5336993
1.020137,-0.393205,-0.5752225
0.8489941,-0.3561635,-0.4961939
0.8054436,-0.3631401,-0.4997031
0.9552601,-0.3950839,-0.5072801
1.099141,-0.3552602,-0.4281211
1.145673,-0.3045692,-0.3541732
1.140308,-0.2458916,-0.3095737
1.048389,-0.176697,-0.3377473
0.8958257,-0.1758722,-0.3329203
0.761869,-0.1693937,-0.2612368
0.6964296,-0.1621447,-0.2317205
0.6879229,-0.1563894,-0.2115154
0.7251145,-0.1314373,-0.2063249
0.7828812,-0.1716951,-0.1818962
0.7821287,-0.2158758,-0.1233431
0.7679674,-0.24704,-0.0647609
0.7663616,-0.2501392,0.00912615
0.7536517,-0.2061947,-0.0418042
0.8492826,-0.2047066,-0.1623963
1.066448,-0.1661899,-0.2058701
1.24994,-0.1270183,-0.2796912
1.28568,-0.1566473,-0.3126749
1.232969,-0.1606643,-0.2170611
1.228283,-0.2021917,-0.07594011
1.23563,-0.2759962,-0.004775629
1.249493,-0.3331487,-0.2115621
1.279855,-0.4407044,-0.5682566
1.15071,-0.5535814,-0.6660744
0.9050979,-0.5557437,-0.4741482
0.7936041,-0.4232588,-0.3243318
0.8461826,-0.2443431,-0.3829684
0.9380773,-0.09486874,-0.429093
