accx,accy,accz
0.6292234,0.1060658,-0.0003893258
0.6496102,0.03336769,-0.02987041
0.8726365,0.03513867,-0.01852339
1.164015,0.1473728,0.03977171
1.27811,0.235568,0.1142919
0.9806071,0.1520593,-0.03011194
0.5408304,-0.04760921,-0.2023545
0.4361368,-0.1973952,-0.2279466
0.4977787,-0.3519984,-0.2314606
0.7906451,-0.5211446,-0.1757945
1.517343,-0.6852202,-0.08092325
1.972329,-0.6668679,-0.07064606
1.836136,-0.4639756,-0.3499955
1.745761,-0.356247,-0.5608473
1.721382,-0.3008039,-0.09682782
1.295618,-0.1898249,0.3822465
0.8595723,-0.0651636,0.1716083
0.8482946,-0.1012071,3.781186e-05
0.8602077,-0.2511557,0.1458569
0.7388799,-0.2291484,0.0810954
0.6376553,-0.1618138,0.0764273
0.4810665,-0.07121707,0.1186993
0.355798,0.02803028,-0.02406564
0.3672641,-0.04615217,0.0488058
0.4512977,-0.08894858,0.08571024
0.5754433,-0.1227744,0.01817237
0.7523812,-0.1705681,0.08882778
1.029483,-0.1804609,0.004308517
1.2897,-0.3016434,-0.08973235
1.302195,-0.3058677,-0.1631228
1.20942,-0.2822175,-0.2265049
1.190309,-0.3661335,-0.07421047
1.089623,-0.2924521,-0.009823182
1.04718,-0.2261786,-0.06056403
1.218178,-0.204482,-0.1291497
1.330476,-0.1695956,-0.3146037
1.341386,-0.1963442,-0.5169167
1.454515,-0.1041299,-0.6280417
1.710583,0.01786004,-0.6178933
1.815028,0.05422841,-0.6060663
1.404876,0.01926874,-0.4126391
0.7959824,-0.05754503,0.05297927
0.5954737,0.06153187,0.3125054
0.6928067,0.2179325,0.3157824
0.7617185,0.1858349,0.2187071
0.9865958,0.05358229,-0.07716956
1.28106,-0.1029225,-0.3603345
1.264986,-0.05400334,-0.3062981
1.050849,0.08277879,-0.09103293
0.8332248,0.0764836,-0.03016351
0.7617208,0.07818498,-0.002809521
0.8966385,0.02090523,-0.03509918
0.9863021,-0.04174322,-0.1429728
1.009479,0.0019006,-0.08417738
1.031627,-0.003627499,-0.05357234
0.9708256,0.02335809,-0.04654074
0.8763468,0.05898414,0.04728083
0.8223236,-0.0241963,0.006139424
0.8536177,-0.1119777,-0.06733994
0.8904747,-0.1231047,-0.1358737
0.8456317,-0.07320065,-0.1623443
0.8110628,-0.05702365,-0.09235594
0.8001991,-0.06343737,-0.1068045
0.8315922,-0.02594559,-0.07362338
0.9305249,0.01117096,-0.02798242
0.946342,0.03412955,-0.07737698
0.8576071,0.02510801,-0.03606605
0.7508621,0.03216214,0.06456681
0.6213156,0.05078682,0.1359625
0.529521,-0.03877752,0.01051694
0.6370293,-0.2302915,-0.2228933
1.068214,-0.4433491,-0.2132824
1.607596,-0.5290636,-0.1659694
1.815094,-0.4616486,-0.2136502
1.700224,-0.3728246,-0.1804731
1.559592,-0.2546385,-0.09109445
1.40891,-0.1645399,0.07058805
1.353136,-0.1427156,0.1581576
1.458728,-0.0650801,0.02833491
1.383943,-0.01848904,-0.04396288
1.111226,-0.09762491,0.05386883
0.8212943,-0.161734,0.1259724
0.6492931,-0.1510686,0.1226623
0.6723291,-0.1131904,0.1174185
0.5458988,-0.08046554,0.1192441
0.4909291,-0.07223678,0.1033888
0.6554801,-0.08510019,0.04714623
0.6064505,-0.1076152,-0.02818399
0.6572691,-0.1212671,-0.0327645
0.7330769,-0.1290783,-0.001707685
0.6839842,-0.137378,-0.01462176
0.8824139,-0.149904,-0.007619828
1.029631,-0.1919243,-0.009316651
1.171554,-0.2543728,-0.08867764
1.269674,-0.2859046,-0.1799434
1.136402,-0.2793147,-0.2001034
1.204618,-0.2844816,-0.1005413
1.166322,-0.2588187,-0.01186182
1.010214,-0.1942342,-0.05608496
1.100954,-0.1988882,-0.08907645
