accx,accy,accz
0.5523182,-0.1257202,0.2305961
0.7838001,-0.227117,0.2441071
0.855047,-0.3300477,0.3065896
0.9058479,-0.3244286,0.3640359
0.9723128,-0.3037059,0.4000363
0.9873697,-0.2398822,0.4113474
1.141536,-0.2237318,0.4007357
1.173357,-0.3184992,0.3616273
1.049721,-0.4477047,0.2225921
1.068987,-0.7237931,0.03738329
1.127984,-0.9225207,-0.08849057
1.150076,-0.7368747,-0.1224217
0.9748897,-0.5034538,-0.1467701
0.7556955,-0.5366304,-0.2201976
0.935727,-0.575969,-0.1895097
1.161366,-0.5270448,-0.1201455
1.125018,-0.5541607,-0.08843287
0.9718509,-0.4308822,0.0118395
0.695722,-0.1676176,0.006812984
0.526192,-0.03459143,-0.09397048
0.5733535,0.01139809,-0.1603313
0.6702849,-0.04601996,-0.2228238
0.8500446,-0.1436707,-0.2022503
0.974772,-0.2427159,-0.1937883
0.9249671,-0.3459356,-0.1662434
0.8553004,-0.2827723,-0.05113601
0.8018098,-0.1253674,-0.06190784
0.8531149,0.06057769,-0.1317475
1.016354,0.1467971,-0.1501237
1.143026,0.00344531,-0.1048359
1.279054,-0.07991568,-0.01611485
1.360139,-0.08050751,-0.03310977
1.369301,-0.1374522,-0.05937062
1.420886,-0.2034341,-0.08283665
1.387817,-0.2915647,-0.2209144
1.335866,-0.3041443,-0.3020783
1.374372,-0.3555002,-0.2660574
1.346915,-0.5652955,-0.2598476
1.248505,-0.6463075,-0.2956938
1.104291,-0.6048657,-0.2517102
1.002832,-0.5668868,-0.1029788
1.072239,-0.3784501,0.01523339
1.111013,-0.1908134,-0.01546883
1.024501,-0.2826327,-0.08746174
0.8883217,-0.4350911,-0.03528608
0.6595074,-0.4009522,-0.01082551
0.5434811,-0.3538888,-0.03550509
0.6500296,-0.317785,0.02023486
0.7195338,-0.2339864,0.01988821
0.7298884,-0.2069299,0.05509042
0.658638,-0.1450607,0.1744622
0.4829118,-0.1208827,0.1971568
0.4915168,-0.1946664,0.1702525
0.5820086,-0.2171035,0.1399231
0.6507184,-0.3362125,0.186504
0.8832001,-0.4541329,0.262533
0.9755753,-0.3333894,0.2493984
0.8946523,-0.2144745,0.2566483
0.969376,-0.2454983,0.2515577
1.0924,-0.2545632,0.2431382
1.210634,-0.2646005,0.2626972
1.274577,-0.4712694,0.2161337
1.25303,-0.7026985,0.09959005
1.292747,-0.7653212,-0.03790907
1.214603,-0.7345727,-0.02865166
0.998973,-0.6378269,0.003041833
0.9092234,-0.5772258,-0.1020673
0.9716823,-0.5669405,-0.1136664
1.101488,-0.5596119,-0.08663277
1.143241,-0.5105101,-0.0755824
1.054939,-0.3394381,-0.01814844
0.8566703,-0.1841628,-0.03008875
0.6224217,-0.09635174,-0.02734809
0.6196849,-0.1281581,-0.04810893
0.7323163,-0.2293277,-0.1438267
0.7985219,-0.20964,-0.1595037
0.9409432,-0.2600011,-0.1622884
0.9981569,-0.3103085,-0.1504025
0.9473608,-0.2319362,-0.07656501
0.9192037,-0.1910673,-0.04302162
0.8445964,-0.05858363,-0.05241153
0.8611503,0.06706102,-0.09425023
0.9950967,0.06241553,-0.122424
1.109193,0.05065594,-0.08208638
1.268142,-0.05315055,-0.03161447
1.366006,-0.1400748,-0.01157771
1.36278,-0.1312413,-0.02288448
1.379186,-0.1374882,-0.08009185
1.358076,-0.1562414,-0.1634181
1.359287,-0.2648699,-0.1924134
1.360821,-0.4387056,-0.2234067
1.277137,-0.5903064,-0.3154941
1.181741,-0.6901822,-0.2897083
1.031579,-0.6699766,-0.1246566
0.9396172,-0.5597774,0.02106652
1.004125,-0.426671,0.05219778
1.039263,-0.3834249,-0.04340646
0.9651199,-0.4297184,-0.09640878
0.8141649,-0.4086098,-0.07914934
0.6519723,-0.3408047,-0.07039617
0.6079017,-0.2803182,-0.0371624
0.7537158,-0.2443669,-0.06939837
0.8559677,-0.2477276,-0.07421669
0.7248442,-0.2102868,0.1156295
0.5842466,-0.1507028,0.279943
0.5694135,-0.1405369,0.2489152
0.7132375,-0.180909,0.2090007
0.9482497,-0.2790177,0.283174
1.028575,-0.3561774,0.3088166
1.015611,-0.3099778,0.31953
1.036844,-0.2393502,0.3952834
1.059998,-0.2568771,0.3837485
1.10177,-0.2933711,0.3536147
1.129503,-0.4178903,0.2339825
1.154378,-0.7244723,-0.03201406
1.213829,-0.9058641,-0.117384
1.230429,-0.791716,-0.0879265
1.156171,-0.7014816,-0.1498295
1.068688,-0.7266948,-0.188284
1.074393,-0.6363558,-0.1531969
1.094719,-0.5053538,-0.1324294
1.05785,-0.4761239,-0.1378636
1.045564,-0.3758495,-0.1183351
0.9327446,-0.1761766,-0.1300075
0.7693175,-0.1028851,-0.1433148
0.8144793,-0.1952023,-0.1624287
0.8494803,-0.256502,-0.2353176
0.7889726,-0.2505413,-0.224924
0.8248211,-0.306637,-0.1753223
0.8201619,-0.3720468,-0.119587
0.7526545,-0.3710767,-0.01472547
0.7050753,-0.2255573,0.003320035
0.6617161,0.05093308,-0.0500864
0.7021128,0.1822211,-0.110566
0.7666,0.1449954,-0.1444011
0.8611402,0.04313825,-0.08697056
1.062959,-0.08784163,-0.01702063
1.169382,-0.08992981,0.006476286
1.206793,-0.0511085,0.01679917
1.339691,-0.1003461,-0.003528537
1.432752,-0.1520604,-0.06747942
1.486347,-0.1969681,-0.09515789
1.520094,-0.1999804,-0.09433606
1.484782,-0.196111,-0.1420409
1.497641,-0.3516241,-0.1721264
1.455788,-0.5317148,-0.1424434
1.215467,-0.5221161,-0.08304885
0.9391379,-0.4532312,-0.0156371
0.8880642,-0.4340649,0.01226823
1.077935,-0.3994705,-0.02491121
1.157752,-0.3865377,-0.08497159
1.066951,-0.4546344,-0.09863973
0.9239917,-0.5209214,-0.09772307
0.7030439,-0.4981241,-0.09042702
0.6468106,-0.4081757,-0.06650852
0.6970866,-0.2731864,-0.109831
0.6640334,-0.1491092,-0.1321223
0.7003721,-0.1227697,-0.01559004
0.6370295,-0.1339078,0.1579452
0.4564906,-0.1250256,0.2511822
0.4170037,-0.1433124,0.2202929
0.4624303,-0.1801007,0.2081153
0.5774123,-0.2519218,0.2528212
0.7164139,-0.3622591,0.2730753
0.7632678,-0.3743859,0.3052237
0.8235229,-0.3034947,0.3394436
0.9586588,-0.2799974,0.3686539
1.054605,-0.2609398,0.3952664
1.140901,-0.2392632,0.388733
1.322139,-0.2633615,0.3752393
1.40337,-0.3622053,0.2696636
1.414697,-0.5944428,0.1090153
1.476275,-0.7558279,0.08244136
1.191305,-0.6841415,0.05209912
0.7712155,-0.6590284,-0.06032454
0.8089294,-0.7459695,-0.08544705
1.023321,-0.7520624,-0.1079828
1.123417,-0.7293709,-0.1738911
1.157564,-0.6097051,-0.1367299
1.006369,-0.3204614,-0.07247959
0.7782038,-0.1424159,-0.06915646
0.699692,-0.07701559,-0.08355299
0.6798138,0.0513981,-0.1306328
0.6614752,0.01614828,-0.166383
0.6959023,-0.1537129,-0.1496784
0.7471121,-0.1592685,-0.1214197
0.833347,-0.1843758,-0.1007141
0.9132944,-0.2589942,-0.1326097
0.9352115,-0.1817979,-0.1855181
0.9439341,-0.1322251,-0.1815545
0.9371688,-0.06469639,-0.1688579
0.9591903,0.02280271,-0.1629515
1.065847,-0.06779761,-0.1262225
1.272659,-0.0936954,-0.06942862
1.436287,-0.05918621,-0.02242993
1.400285,-0.1034338,-0.03368722
1.395753,-0.1595772,-0.06808174
1.448442,-0.3380706,-0.07289416
1.372412,-0.4682924,-0.1185799
1.345856,-0.4367765,-0.197426
1.359074,-0.4845182,-0.2398024
1.316365,-0.5811382,-0.2743909
1.252996,-0.5891941,-0.2707703
1.036369,-0.5630757,-0.1539813
0.8819068,-0.5158768,-0.007985841
0.984109,-0.3731273,-0.00119753
1.02972,-0.273673,-0.07597843
0.9569484,-0.3303569,-0.07511604
0.8542122,-0.4039975,-0.06319849
0.6671483,-0.4411766,-0.04936629
0.5883848,-0.4004253,-0.01371074
0.7028651,-0.2907755,-0.03558427
0.722866,-0.2194834,-0.01875188
0.6051298,-0.1639404,0.07102462
0.5228009,-0.1354849,0.182651
0.5134829,-0.1553205,0.2657781
0.6275292,-0.2159355,0.1993522
0.7501053,-0.3521747,0.1598538
0.7944813,-0.4316854,0.2773965
0.914454,-0.3833173,0.3510858
0.996405,-0.2997196,0.3457158
0.9674688,-0.1748765,0.3335727
1.05774,-0.1442652,0.3218746
1.197589,-0.2778819,0.27962
1.216865,-0.3942763,0.1926087
1.293371,-0.5882727,0.09682309
1.423753,-0.8152048,0.00561483
1.29308,-0.7059995,0.04615482
0.9375191,-0.4612145,0.1271885
0.7141025,-0.4464557,-0.03273136
0.839033,-0.4792737,-0.191463
1.079938,-0.4958717,-0.1404585
1.085052,-0.5501788,-0.06096748
1.006214,-0.42843,0.0357119
0.901968,-0.1881485,0.08047392
0.7071958,-0.01973818,0.02209756
0.6803038,0.01963039,-0.01141922
0.7144195,-0.07608188,-0.0637015
0.6908988,-0.1401559,-0.1286757
0.7611337,-0.1882117,-0.1402922
0.8322182,-0.2322125,-0.1467263
0.9264374,-0.2162037,-0.1461103
1.032676,-0.2548044,-0.1463971
1.023565,-0.2226247,-0.1460006
0.9974879,-0.1282779,-0.1223697
1.007622,-0.07928487,-0.1075739
1.039591,0.02503209,-0.09999533
1.137482,0.0470927,-0.08247082
1.31269,-0.02336738,-0.05958296
1.431803,-0.06454665,-0.04372638
1.417829,-0.1286624,-0.02579689
1.370692,-0.21639,-0.0139312
1.333166,-0.3416628,-0.07556465
1.375012,-0.4518934,-0.1718355
1.437409,-0.5111404,-0.2255985
1.391825,-0.5637209,-0.2874167
1.318447,-0.5934488,-0.3360206
1.14412,-0.594262,-0.201825
0.9173399,-0.5189339,0.05211186
0.9186844,-0.4186571,0.09135352
1.003744,-0.3705191,-0.05796371
0.9616986,-0.3761725,-0.1409822
0.8472129,-0.4633187,-0.1590112
0.6443471,-0.5018775,-0.0961921
0.4836509,-0.4457222,0.0003452664
0.5265794,-0.3726865,0.01931901
0.6200466,-0.2904957,0.02790702
0.6538836,-0.2323167,0.05945923
0.577699,-0.1540059,0.1413163
0.4664476,-0.108762,0.2141744
0.5660733,-0.1553238,0.1634312
0.6881813,-0.2452095,0.1295982
0.6757298,-0.3943813,0.2238573
0.7548828,-0.4392854,0.3146339
0.872241,-0.3260749,0.3091269
0.941321,-0.2326939,0.3046574
1.019518,-0.1905989,0.3329834
1.108934,-0.2173532,0.3250799
1.187138,-0.2692119,0.3190043
1.171093,-0.2941978,0.2871429
1.208299,-0.4403766,0.1952347
1.460317,-0.7725192,0.1289489
1.598308,-1.003547,0.08740242
1.215214,-0.7970135,0.04993288
0.7497329,-0.5591253,0.03108862
0.8590114,-0.7914807,-0.05011083
0.980415,-0.9548589,-0.1773403
0.9287762,-0.8269205,-0.1753809
1.178909,-0.7696702,-0.1269008
1.061492,-0.5404751,-0.1527512
0.7532177,-0.2400799,-0.1378417
0.9010995,-0.109681,-0.1730543
0.8651568,0.03961406,-0.2708947
0.8021139,-0.04991465,-0.2715892
0.8796423,-0.3277375,-0.2381961
0.7772759,-0.4413384,-0.1808976
0.8610958,-0.4658146,-0.1470358
0.9557033,-0.3765862,-0.1778477
0.9427073,-0.2510836,-0.193605
0.9870022,-0.1638017,-0.2386262
0.9181533,-0.05929181,-0.2260716
0.8826345,-0.08211355,-0.1368155
0.8502914,-0.0934113,-0.08975765
0.8144367,0.04241962,-0.04481065
0.8619051,0.1150198,-0.01562046
0.8988468,0.08265936,0.00157764
1.047444,0.04812669,0.04050076
1.167032,0.06677863,0.1130801
1.249816,0.05974471,0.1690598
1.43619,0.0001719136,0.1171423
1.507638,-0.04228273,0.09050431
1.514036,-0.1701899,0.07351186
1.474832,-0.2846953,-0.02441995
1.388197,-0.2671279,-0.05278282
1.426619,-0.3074606,-0.03060162
1.423474,-0.4098235,-0.04902827
1.334505,-0.5043303,-0.119179
1.203197,-0.5672246,-0.1792832
0.9723975,-0.5163892,-0.09648075
0.9195028,-0.3893233,0.03934089
1.079175,-0.2393894,0.06813588
1.113646,-0.1481483,-0.006361722
0.9842244,-0.1756934,-0.07920383
0.7903923,-0.2098476,-0.07090757
0.6087396,-0.210187,-0.03780536
0.5770337,-0.2177916,-0.02138015
0.6673861,-0.202159,0.008339404
0.6975416,-0.1917119,0.07492115
0.5771363,-0.2059258,0.2034778
0.4787645,-0.2098418,0.3031963
0.5976843,-0.2546115,0.2407493
0.762096,-0.3375005,0.1824914
0.8471939,-0.4218892,0.3025209
0.9748796,-0.4812435,0.3923439
1.064935,-0.4374742,0.3726553
1.079474,-0.358217,0.3915676
1.131562,-0.3266211,0.4073263
1.133799,-0.3621249,0.3609688
1.076816,-0.495837,0.2448187
1.045702,-0.6483399,0.04526667
0.9979479,-0.7812466,-0.09421459
0.9893621,-0.8303179,-0.0680313
0.9880126,-0.7362718,-0.05036248
0.9395428,-0.6332094,-0.1339075
1.007733,-0.5539933,-0.1873931
1.084648,-0.5035157,-0.2242309
1.025311,-0.4462145,-0.1834538
0.945101,-0.2430044,-0.01587204
0.7844617,-0.06561541,0.03791723
0.6060258,-0.04553724,0.00675124
0.6111971,-0.06231404,-0.03297815
0.6898103,-0.1060393,-0.1368525
0.7524407,-0.1563065,-0.1726313
0.8339213,-0.2217749,-0.170971
0.8607897,-0.3090879,-0.1651809
0.8410624,-0.3269549,-0.1202794
0.8513544,-0.2782539,-0.1050864
0.8678248,-0.1723121,-0.1097339
0.9425158,-0.04942017,-0.1370939
1.133926,0.0174138,-0.1392421
1.323102,0.02329825,-0.1171697
1.424529,-0.04633668,-0.1056397
1.454051,-0.1353193,-0.05192415
1.444939,-0.1969391,-0.0556219
1.424859,-0.2685277,-0.1464457
1.39883,-0.3460429,-0.221353
1.397415,-0.4205794,-0.2307277
1.390534,-0.5263116,-0.2424705
1.281397,-0.6437413,-0.316805
1.076022,-0.6655104,-0.2466022
0.9098034,-0.5983944,-0.05049745
0.8941129,-0.4883948,0.03407617
0.9491506,-0.3522091,0.01432473
0.9665389,-0.316673,-0.06314748
0.9269396,-0.3401041,-0.08926623
0.743253,-0.3180095,-0.05850639
0.5378571,-0.3144862,-0.06221408
0.5861209,-0.2904212,-0.03126142
0.6653845,-0.2226345,0.0380356
0.5830311,-0.2013392,0.1540832
0.6048691,-0.2166246,0.2310605
0.6521323,-0.2081834,0.1766399
0.6454952,-0.1918066,0.1445891
0.7688334,-0.2208444,0.1548775
0.8610831,-0.2972521,0.2213285
0.890948,-0.3452461,0.3322314
0.8653388,-0.2574247,0.3153152
0.7515417,-0.137273,0.2875415
0.8345077,-0.1902012,0.3235681
0.9663057,-0.3469381,0.2356525
1.055922,-0.5974903,0.06386635
1.313883,-0.9292215,-0.02193791
1.408212,-0.9876939,-0.001883341
1.199388,-0.7608244,-0.01425949
0.9690165,-0.5591088,-0.1424225
0.9231673,-0.4420741,-0.2212299
1.038765,-0.4202342,-0.2005732
1.074079,-0.4490349,-0.135613
1.042842,-0.4304682,0.004419284
0.9379669,-0.3145318,0.05764672
0.7248659,-0.1263688,0.01467625
0.6111912,-0.06477075,-0.005248624
0.5946059,-0.1252418,-0.08426782
0.6202517,-0.150379,-0.1244117
0.721475,-0.1881512,-0.121492
0.8791052,-0.2416869,-0.1771691
0.9951693,-0.2751592,-0.1716787
0.9596823,-0.2912407,-0.1472494
0.9141094,-0.2068393,-0.1579098
0.9342224,-0.07233672,-0.1556795
0.9929831,-0.02239627,-0.1802911
1.170939,0.001295377,-0.2031388
1.325107,0.01547627,-0.1990045
1.362884,-0.05469503,-0.1779135
1.428446,-0.1658303,-0.130951
1.464977,-0.2850131,-0.1056133
1.392359,-0.3715345,-0.147372
1.350489,-0.4067135,-0.1991592
1.381594,-0.4642164,-0.2011296
1.403308,-0.5243611,-0.2310714
1.390514,-0.5497598,-0.2774523
1.252392,-0.5282119,-0.235784
1.004581,-0.4731342,-0.1615304
0.9156128,-0.4345138,-0.09513756
0.9809168,-0.3662063,-0.04155414
0.9617481,-0.2722027,-0.02016579
0.9272481,-0.2465267,-0.01146886
0.8933442,-0.3365965,-0.04787239
0.6723358,-0.4441016,-0.06586673
0.4778345,-0.4304599,-0.03997034
0.5578514,-0.3734678,-0.04777788
0.6455072,-0.3190017,-0.02905043
0.6040552,-0.2462172,-0.006083715
0.580715,-0.215895,0.03515949
0.5479707,-0.2121495,0.1660804
0.5767042,-0.2338241,0.2290386
0.7326311,-0.286139,0.2058103
0.8360553,-0.3778745,0.2374734
0.8959044,-0.448363,0.3109954
0.9496055,-0.3716899,0.3432417
0.9868301,-0.2732732,0.3460323
1.08151,-0.2259204,0.3711072
1.137431,-0.2077671,0.3504694
1.209451,-0.3327189,0.2627896
1.370011,-0.5473668,0.1452273
1.406509,-0.6721843,0.05782464
1.22812,-0.5888356,0.06844671
0.891332,-0.4599146,0.01665561
1.228004,-0.3138728,0.3429084
1.19238,-0.4432184,0.2337209
1.182312,-0.7964264,0.07232716
1.252938,-1.089039,-0.0222999
1.24478,-0.9315384,-0.02032174
0.9744785,-0.6676192,-0.06220063
0.6633741,-0.6261776,-0.1279179
0.7372113,-0.5047909,-0.1091982
0.9988489,-0.2745763,-0.10199
1.028349,-0.1748794,-0.1421807
0.9155219,-0.1248292,-0.1108398
0.7243168,-0.1573857,-0.07332418
0.6066873,-0.2330286,-0.07589614
0.6571389,-0.2712038,-0.1094937
0.6648403,-0.3327366,-0.1837123
0.8163688,-0.3201575,-0.1799907
1.015476,-0.3627227,-0.1773065
0.956792,-0.3983826,-0.2112156
0.9145074,-0.2061325,-0.1391515
0.9446124,0.04465114,-0.09222037
0.9580657,0.2279068,-0.1142106
1.092326,0.1371761,-0.09892595
1.326378,-0.07806323,-0.05777695
1.433524,-0.1024921,-0.00723304
1.38404,-0.135453,-0.00542272
1.416356,-0.184846,-0.03557999
1.429419,-0.3034349,-0.1304365
1.362693,-0.4264479,-0.3423295
1.407181,-0.3555532,-0.4402473
1.394629,-0.4489817,-0.3878926
1.212679,-0.651662,-0.3348395
1.000304,-0.7071388,-0.1814635
0.9173611,-0.6689314,-0.03237238
0.9905947,-0.417822,-0.09099448
0.9552077,-0.1949409,-0.1443524
0.7680487,-0.2745503,-0.09603855
0.5878004,-0.3696588,-0.09843962
0.5238955,-0.3015907,-0.08640414
