time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),task
50.8488,-0.2549,-0.2963,-0.326,0.5813,climbing_down
5.9451,0.18,-0.1943,0.1247,0.2934,standing
10.3858,-0.0142,0.0051,-0.0161,0.0227,sitting
9.7053,-1.6612,-1.9409,-1.3201,2.8791,Climbing_up
41.3453,0.0798,-0.1822,-0.1681,0.294,Climbing_up
6.9858,0.0388,0.0002,-0.055,0.0671,sitting
34.2453,0.1533,-0.243,-0.2303,0.3898,Climbing_up
83.1288,-0.9156,0.8726,1.0642,1.6825,climbing_down
6.9837,0.0799,-0.0072,-0.0662,0.1038,standing
15.1165,-0.0171,0.0608,0.0201,0.067,laying
8.7855,0.0044,0.0072,-0.0011,0.0089,sitting
5.5029,-5.589,0.9014,1.8327,5.9588,walking
5.6886,-0.0596,0.0228,-0.0769,0.0999,sitting
8.7486,-0.0068,0.0028,-0.0154,0.0171,sitting
12.1297,0.8897,0.1384,0.9593,1.3178,walking
14.9165,0.0022,0.0036,-0.0057,0.0073,laying
15.9232,-7.5464,-1.1094,3.9994,8.621,climbing_down
9.5429,-2.1535,3.3225,1.4231,4.2081,walking
47.7488,-0.2491,-0.3072,-0.386,0.624,climbing_down
14.486,0.0023,0.0057,-0.004,0.0088,laying
4.2253,-0.5173,-0.2523,-0.903,1.0874,Climbing_up
11.8086,-0.0228,0.0164,-0.0059,0.0293,sitting
48.6088,-0.2507,-0.3041,-0.3694,0.6121,climbing_down
75.1088,-0.97,2.6336,0.4283,2.8412,climbing_down
4.726,0.9643,0.2883,-0.857,1.3257,laying
7.0288,3.6996,-10.0583,-0.2245,10.7197,climbing_down
11.1862,-3.7457,5.4817,4.4969,8.0195,climbing_down
65.5053,0.1586,-0.4524,1.2624,1.4152,Climbing_up
9.6837,0.0591,-0.0206,-0.0235,0.0672,standing
7.4055,0.0021,-0.0022,0.002,0.008,sitting
9.0565,-0.0159,-0.0252,-0.0168,0.0341,laying
6.0288,0.8674,1.6873,-0.3619,1.9505,climbing_down
110.9288,0.6274,-0.645,0.4921,1.0328,climbing_down
56.4488,-0.2654,-0.2766,-0.2175,0.5043,climbing_down
4.9854,0.7472,-2.3846,2.8432,3.7881,standing
73.9688,-0.2335,-0.1585,-1.1719,1.2055,climbing_down
14.8488,-0.5184,-0.3973,-11.1465,11.1762,climbing_down
42.3088,-0.2389,-0.3263,-0.4914,0.6988,climbing_down
54.5053,-0.0564,-0.0694,-0.0528,0.1165,Climbing_up
14.3686,0.1076,0.0221,-0.0099,0.1108,sitting
88.8688,4.4134,1.2246,0.1836,4.5875,climbing_down
41.7688,-0.2378,-0.3282,-0.5019,0.7062,climbing_down
9.8639,-1.9686,0.1923,-1.2733,2.3529,Climbing_up
94.5288,-0.2231,0.0952,-2.183,2.2778,climbing_down
4.9897,3.1365,0.5813,-0.6227,3.253,walking
24.3253,0.256,-0.3281,-0.3172,0.5236,Climbing_up
24.1688,-0.0619,0.0484,0.7514,0.7563,climbing_down
37.7488,-0.2303,-0.3423,-0.5798,0.7615,climbing_down
61.0288,-0.2739,-0.2605,-0.1287,0.4414,climbing_down
11.5097,4.1957,0.9485,-2.3707,4.9125,walking
48.4088,-0.2503,-0.3048,-0.3733,0.6149,climbing_down
88.5053,-0.2438,-0.073,-0.2057,0.5978,Climbing_up
79.5488,1.8646,-11.7252,-3.0518,12.2594,climbing_down
5.0853,-3.3158,1.6601,2.6598,4.5746,Climbing_up
7.1851,-0.0943,0.0474,-0.0066,0.1063,standing
5.2055,-0.0087,-0.0022,-0.0105,0.0143,sitting
61.1053,0.0475,0.7565,0.4189,0.898,Climbing_up
17.2453,3.7737,-0.8913,-0.425,3.9013,Climbing_up
8.5439,-2.1106,0.9978,0.0158,2.3365,Climbing_up
8.583,-0.0071,-0.0074,0.0086,0.0192,laying
9.0829,3.2998,-1.1084,3.1325,4.7161,walking
15.3254,-0.0341,0.0181,-0.006,0.0397,standing
70.1253,-3.8942,-0.9731,0.854,4.1099,Climbing_up
88.1488,4.9635,-0.9359,-1.5244,5.2762,climbing_down
8.667,-4.817,0.8505,0.3509,4.9054,walking
17.7853,1.9236,2.1049,-2.4152,3.7385,Climbing_up
4.0847,-0.7352,-5.5399,3.9866,6.8708,Climbing_up
8.1655,0.0019,-0.0113,0.0054,0.0138,sitting
10.6086,-0.0028,-0.0001,-0.0139,0.0144,sitting
18.306,-0.0241,-0.0141,0.0007,0.0286,laying
29.5853,0.2015,-0.283,-0.2712,0.4527,Climbing_up
39.1288,-0.2329,-0.3375,-0.5531,0.7425,climbing_down
57.3688,-0.2671,-0.2733,-0.1997,0.4917,climbing_down
4.0832,1.2396,-2.6075,0.7026,2.9818,climbing_down
5.1429,-0.9434,-1.7917,1.2538,2.4188,walking
5.063,-0.0004,0.0003,-0.017,0.0192,laying
13.886,-0.021,-0.036,0.0063,0.0426,laying
13.6097,-1.6175,-0.1137,2.5918,3.0572,walking
7.2447,0.2506,-2.1937,0.4405,2.2568,Climbing_up
15.7058,-0.0085,0.0022,0.0253,0.0289,sitting
5.4432,0.7532,-1.1695,-1.5545,2.1096,climbing_down
86.2288,0.3839,-0.5953,-7.7295,7.7626,climbing_down
7.107,5.8675,-2.0273,-3.0518,6.946,walking
46.9688,-0.2476,-0.3099,-0.4012,0.6347,climbing_down
15.3462,1.4857,-0.801,0.5526,1.8052,climbing_down
84.3453,-0.5419,-0.0837,1.101,1.23,Climbing_up
52.6253,-0.037,-0.0855,-0.0693,0.1419,Climbing_up
11.7462,1.4804,3.3851,0.2676,3.7215,climbing_down
13.1851,0.0381,0.0063,0.0342,0.0514,standing
61.7053,5.7272,-0.4557,2.1565,6.148,Climbing_up
37.2288,-0.2293,-0.3441,-0.5899,0.7686,climbing_down
77.2488,5.011,0.9917,11.4267,12.5175,climbing_down
16.6239,3.5332,3.9383,-2.9467,6.0574,Climbing_up
13.0262,-3.6639,6.5656,0.428,7.5338,climbing_down
23.6688,-0.243,0.4125,-0.0587,0.4838,climbing_down
